SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC(C)C(C)C1=CC=N1,123.19899999999998,1,0,2,1,1,12.36,2.2468000000000004,1
CCC(CC)C(C)(F)F,136.185,0,0,3,0,2,0.0,3.0778000000000016,0
CCC=NC1=CC(F)=C1C,139.17299999999997,1,0,2,1,2,12.36,2.608200000000001,0
CCC(C)C1(C)N=CN1,126.20299999999999,2,1,2,1,2,24.39,1.3802,2
CCC(F)C(C)=C(C)C,130.20599999999996,0,0,2,0,1,0.0,3.0908000000000015,1
CC(C)Cc1cnc(F)[nH]1,142.177,1,1,2,1,3,28.68,1.7472999999999999,0
CCC=NC(C)(C)C(C)F,145.22099999999998,1,0,3,0,2,12.36,2.6038000000000006,1
COCC(C)C(F)C(C)F,152.184,1,0,4,0,3,9.23,1.965,3
CC(C)CC(F)N(C)C,133.21,1,0,3,0,2,3.24,1.8897,1
C#CCCc1[nH]ccc1F,137.15699999999998,0,1,2,1,2,15.79,1.7195999999999998,0
CC(C)C(C)(N)C(F)F,137.173,1,1,2,0,3,26.02,1.6249,1
CC(C)CCCC(F)F,136.185,0,0,4,0,2,0.0,3.0778000000000016,0
COC(CC(F)F)C(C)C,152.184,1,0,4,0,3,9.23,2.3126000000000007,1
CCCC(C)C(=N)C(F)F,149.18399999999997,1,1,4,0,3,23.85,2.7074700000000007,1
C=CN(C)C(C)CC(C)F,145.22099999999998,1,0,4,0,2,3.24,2.1982999999999997,2
C=CCC1CC1C=CC,122.21099999999997,0,0,3,1,0,0.0,2.774700000000001,2
CCc1nc(C)[nH]c1C,124.18699999999998,1,1,1,1,2,28.68,1.5889399999999998,0
CC(C)(C)CC=NC(F)F,149.18399999999997,1,0,2,0,3,12.36,2.716000000000001,0
C#CC(F)C(C)CCC,128.18999999999997,0,0,3,0,1,0.0,2.3939000000000004,2
C#CC1=CC(F)=CC=NN1,136.129,2,1,0,1,3,24.39,0.9459,0
CCCC(O)NC(C)(C)F,149.20899999999997,2,2,4,0,3,32.26,1.4001,1
CC(C)C1(C)CCN1C,127.231,1,0,1,1,1,3.24,1.7366,1
CCCC1CCCC1O,128.215,1,1,2,1,1,20.23,1.9475000000000002,2
CC(C=CF)C(C)(C)F,134.16899999999998,0,0,2,0,2,0.0,2.8538000000000014,1
CN=CC(C)C(C)(C)C,127.231,1,0,1,0,1,12.36,2.3692,1
CCC(C)(C)C(C)(O)F,134.19399999999996,1,1,2,0,2,20.23,2.1006000000000005,1
CC=CN(F)C(C)CC,131.194,1,0,3,0,2,3.24,2.505000000000001,1
COC(C)C(C)C(C)(F)F,152.18399999999997,1,0,3,0,3,9.23,2.3126000000000007,2
CCC1CCOC1C(C)F,146.20499999999998,1,0,2,1,2,9.23,2.1595000000000004,3
CCNC(C)C(F)CC,133.21,1,1,4,0,2,12.03,1.7325000000000002,2
CCCC(F)(F)C(C)CF,154.17499999999998,0,0,4,0,3,0.0,3.027400000000002,1
COCC(C)(C)CC(F)F,152.18399999999997,1,0,4,0,3,9.23,2.3142000000000005,0
CCC#CC1CCCCC1,136.23799999999997,0,0,0,1,0,0.0,2.980100000000001,0
CCC(C)C(C)(C)N,115.22,1,1,2,0,1,26.02,1.7698,1
CC(C)CC(F)CC(C)F,150.212,0,0,4,0,2,0.0,3.1187000000000022,2
CCC=C1C=C(C)CC1,122.21099999999998,0,0,1,1,0,0.0,3.0629000000000017,0
CCC(F)C(C)C(C)F,136.18499999999997,0,0,3,0,2,0.0,2.728600000000001,3
CC1=CC(C)=C(F)C=CN1,139.173,1,1,0,1,2,12.03,2.2506000000000004,0
CCC(C)(C)CC(C)=N,127.23099999999998,1,1,3,0,1,23.85,2.8523700000000005,0
CCCN(C)C(C)C(F)F,151.19999999999996,1,0,4,0,3,3.24,1.9818,1
CC=NC(C)C(C)CCC,141.258,1,0,4,0,1,12.36,2.9018000000000015,2
CC#CC(CCC)C(F)F,146.18,0,0,3,0,2,0.0,2.6911000000000014,1
C#CCC(F)C(C)CC,128.18999999999997,0,0,3,0,1,0.0,2.3939000000000004,2
CC(F)OCC(C)(C)C,134.194,1,0,2,0,2,9.23,2.3646000000000003,1
CC(=N)C(C)CC(C)F,131.194,1,1,3,0,2,23.85,2.4102700000000006,2
CCC(F)C(C)C(F)F,140.14799999999997,0,0,3,0,3,0.0,2.635700000000001,2
CCC(F)C(C)(F)OC,138.15699999999998,1,0,3,0,3,9.23,2.0666,2
CCC#CN(C)CC(C)F,143.20499999999998,1,0,2,0,2,3.24,1.6471,1
CC(C)CC=NC(C)C,127.23099999999998,1,0,3,0,1,12.36,2.511700000000001,0
CC#CC(F)(F)C(C)C,132.153,0,0,1,0,2,0.0,2.301,0
C=C(C)C(C)OC(F)F,136.141,1,0,3,0,3,9.23,2.1902,1
CCC(C)C(C)(F)CF,136.185,0,0,3,0,2,0.0,2.730200000000001,2
CC=CC(C)CCN(F)F,149.184,1,0,4,0,3,3.24,2.659700000000001,1
C#CC(=C)CC(C)(F)F,130.137,0,0,2,0,2,0.0,2.2211,0
CCCC(F)=NC(C)C(C)F,163.21099999999998,1,0,4,0,3,12.36,2.9010000000000016,2
CC(C)C1(C)CCC1F,130.206,0,0,1,1,1,0.0,2.7806000000000015,2
CCCC(C)(F)C(C)=N,131.194,1,1,3,0,2,23.85,2.5543700000000005,1
CN=C(CC(C)F)C(C)C,145.22099999999998,1,0,3,0,2,12.36,2.4613000000000005,1
