SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1C=CC2CCNC12,123.199,1,1,0,2,1,12.03,1.1703999999999999,3
COC12C=C(O)C1CC2,126.15499999999999,2,1,1,2,2,29.46,1.2371,2
OCC1CCC2CC2NC1,141.214,2,2,1,2,2,32.26,0.36679999999999985,3
CCC1=COC2C=CC12,122.16699999999996,1,0,1,2,1,9.23,1.8651,2
CC1=CC2CC(O)OC12,126.15499999999999,2,1,0,2,2,29.46,0.6698,3
CC12C=CCOCC1=CO2,138.166,2,0,0,2,2,18.46,1.2455999999999998,1
CCC12CN=CCC1C2,123.19899999999997,1,0,1,2,1,12.36,1.8772,2
CCC1OC2C=CC2(C)O1,140.18199999999996,2,0,1,2,2,18.46,1.4664,3
CC1(O)CCCC2COC21,142.198,2,1,0,2,2,29.46,0.9363,3
CC1(C)N=C2COCC21,125.17099999999999,2,0,0,2,2,21.59,0.8660000000000001,1
OC12CCCC1CCN2,127.187,2,2,0,2,2,32.26,0.4684,2
OCC12C=CCC1COC2,140.182,2,1,1,2,2,29.46,0.5713999999999999,2
OCC1=C(O)C2CCC12,126.15499999999997,2,2,1,2,2,40.46,0.8306,2
CC1C2CC=COC1O2,126.15499999999997,2,0,0,3,2,18.46,1.2813999999999999,3
CC(=O)C1OC12CCC2,126.155,2,0,1,2,2,29.6,0.8968999999999999,1
CC1(C)C=CC2OC2O1,126.15499999999997,2,0,0,2,2,21.759999999999998,1.0762999999999998,2
CCC12C=CC(CO)N1C2,139.19799999999998,2,1,2,2,2,23.240000000000002,0.3815,3
CC1(C)C2C=COCC21,124.18299999999998,1,0,0,2,1,9.23,1.8025,2
CC(=O)CCC12CC1C2,124.18299999999999,1,0,3,2,1,17.07,1.7656,0
CC1OC2CCC1CC2O,142.198,2,1,0,3,2,29.46,0.9346999999999999,4
CC1COC2COC(C1)C2,142.19799999999995,2,0,0,2,2,18.46,1.2003,3
CC1OC2C=CC(CO)C12,140.182,2,1,1,2,2,29.46,0.5682,4
CC1CC2=CC(CO2)C1,124.18299999999998,1,0,0,2,1,9.23,1.9465999999999999,2
CC1C=C2COCC21C,124.18299999999999,1,0,0,2,1,9.23,1.599,2
CC1(C)C2CCOC21O,128.171,2,1,0,2,2,29.46,0.7513000000000001,2
OCC1=CC=CC2=CC1O2,136.14999999999998,2,1,1,3,2,29.46,0.7575999999999999,1
CC1=CC2CC(O)CC12,124.18299999999999,1,1,0,2,1,20.23,1.3334,3
CCC1COC2(CO)CC12,142.19799999999998,2,1,2,2,2,29.46,0.7938000000000001,3
OC1CC2C=CCCOC12,140.182,2,1,0,2,2,29.46,0.7122999999999999,3
CCC1CC1(C#N)C1CC1,135.20999999999998,1,0,2,2,1,23.79,2.3362800000000004,2
CC1(O)CCC2CCC1O2,142.198,2,1,0,2,2,29.46,1.0788,3
CC1CC2=CCOC1C2,124.18299999999998,1,0,0,2,1,9.23,1.7415,2
COC1C=C2OCCC21,126.155,2,0,1,2,2,18.46,0.9354,2
CC1OC(C)C2CC1CO2,142.19799999999998,2,0,0,2,2,18.46,1.1986999999999999,4
CC(C)=C1OC2C=CC12,122.16699999999996,1,0,0,2,1,9.23,1.8651,2
O=C1OCCC2C=CCC12,138.166,2,0,0,2,2,26.3,1.1256000000000002,2
O=CC1CCC2CC1C2,124.18299999999999,1,0,1,3,1,17.07,1.6215,1
OCC1CC2CCC12CO,142.198,2,2,2,2,2,40.46,0.38730000000000003,3
CC1(C)C(O)C2OCCC21,142.19799999999998,2,1,0,2,2,29.46,0.7922,3
CC1NC(C)C12CC2=O,125.17099999999999,2,1,0,2,2,29.1,0.3257999999999999,2
CC1C2CN1C(C)(C)C2,125.21499999999999,1,0,0,3,1,3.24,1.489,3
COC1=CC2CCC=C2O1,138.166,2,0,1,2,2,18.46,1.7983,1
CC1=COC2CCC12C,124.18299999999999,1,0,0,2,1,9.23,2.0891,2
C=C1COCC12CC2C,124.18299999999998,1,0,0,2,1,9.23,1.599,2
OC12CCCCCC1=CO2,140.182,2,1,0,2,2,29.46,1.5532,1
CC1CC2(CCC#N)OC12,137.18200000000002,2,0,2,2,2,36.32,1.4675799999999999,3
CC1(C)OC2C=COC21,126.15499999999997,2,0,0,2,2,18.46,1.0762999999999998,2
CC12C=CC(CCC1=O)N2,137.18200000000002,2,1,0,2,2,29.1,0.6359999999999999,2
OC1CC=C2CCCC2O1,140.182,2,1,0,2,2,29.46,1.204,2
OC1CC2C=CCC=C12,122.16699999999997,1,1,0,2,1,20.23,1.2535,2
CC1=C2CCOC(C1)O2,126.15499999999999,2,0,0,2,2,18.46,1.4271,1
CC1CC2CCC2(C)N1,125.215,1,1,0,2,1,12.03,1.5369,3
