SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1(O)CC(O)C(=O)N1,131.131,3,3,0,1,4,69.56,-1.4243000000000001,2
O=C1CC(O)NC1CO,131.131,4,3,1,1,4,69.56,-1.7719000000000007,2
O=CC1C(O)C(O)C1O,132.11499999999998,4,3,1,1,4,77.76,-2.1022000000000003,2
N=C1OC(CO)C1CO,131.131,4,3,2,1,4,73.54,-1.03673,2
NC1=CC(N)C(=O)C1N,127.147,4,3,0,1,4,95.13,-1.933699999999999,2
N#CC1NCC(=N)C1CO,139.15800000000002,4,3,1,1,4,79.9,-0.8899500000000002,2
N#CC1(O)CNCC1N,127.147,4,3,0,1,4,82.07,-1.8284199999999995,2
N=C(O)CC(=O)C1CN1,128.131,3,3,3,1,4,83.09,-0.5473300000000001,1
N=C1OCC(CO)C1=O,129.11499999999998,4,2,1,1,4,70.38,-0.8285300000000002,1
N#CC1NCC(=O)C1O,126.11499999999998,4,2,0,1,4,73.12,-1.5882200000000002,2
N#CC1NC(=O)CCO1,126.115,3,1,0,1,4,62.120000000000005,-0.6274200000000001,1
N#CC1(C=NO)CC1O,126.11499999999997,4,2,1,1,4,76.61,-0.27901999999999993,2
N#CC(O)C1CNC1CN,141.17399999999998,4,3,2,1,4,82.07,-1.582419999999999,3
N#CC(O)C1NCC1N,127.147,4,3,1,1,4,82.07,-1.8300199999999993,3
O=CC1(O)C(O)C1CO,132.11499999999998,4,3,2,1,4,77.76,-2.1006,3
NC1C(=O)CNCC1O,130.14700000000002,4,3,0,1,4,75.35000000000001,-2.153099999999999,2
COC1N=CCC(O)C1O,145.158,4,2,1,1,4,62.05,-0.8448,3
O=C(CO)C1CNC1=O,129.115,3,2,2,1,4,66.4,-1.7062000000000002,1
N#CC1NCCC1NCO,141.174,4,3,2,1,4,68.08,-1.2201199999999999,2
NC1(C=O)CNCC1=O,128.131,4,2,1,1,4,72.19,-1.9448999999999999,1
NCC1C(=O)CN=C1N,127.147,4,2,1,1,4,81.47,-1.4987999999999995,1
N=C1C=C(O)NCCO1,128.131,4,3,0,1,4,65.34,-0.01713000000000009,0
N#CC1(C=O)NCC1N,125.131,4,2,1,1,4,78.91,-1.6218199999999996,2
