SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#Cc1ncccn1,104.11199999999998,2,0,0,1,2,25.78,0.4578999999999999,0
N#CC1=CCOC1=CO,123.11099999999998,3,1,0,1,3,53.25,0.86598,0
N#CC1=CCC(=O)O1,109.08399999999999,3,0,0,1,3,50.09,0.3407799999999999,0
N#CC#CCC1=CN=N1,117.11099999999999,3,0,1,1,3,48.51,1.21068,0
COC1=CC(=O)CO1,114.1,3,0,1,1,3,35.53,0.07350000000000001,0
N#CC1=CC=NCCO1,122.127,3,0,0,1,3,45.379999999999995,0.49488,0
N=C1OCC=CCO1,113.11599999999999,3,1,0,1,3,42.31,0.52417,0
N#CC1=NCCCC1=O,122.127,3,0,0,1,3,53.22,0.31388000000000005,0
N#CC1=NCC=CC1=O,120.11099999999998,3,0,0,1,3,53.22,0.08988000000000002,0
N#CC1=CC=CC1O,107.11199999999997,2,1,0,1,2,44.019999999999996,0.3670799999999999,1
C#Cc1ocnc1N,108.10000000000001,3,1,0,1,3,52.05,0.2381000000000001,0
CCc1cc(N)no1,112.132,3,1,1,1,3,52.05,0.8191999999999999,0
N#CCC1(C#N)CNC1,121.143,3,1,1,1,3,59.61,0.013259999999999994,0
O=Cc1cccnc1,107.11199999999998,2,0,1,1,2,29.96,0.8940999999999999,0
Cn1ccnc1C#N,107.116,3,0,0,1,3,41.61,0.2917799999999999,0
O=C1C=CCC1=CO,110.112,2,1,0,1,2,37.3,0.9572999999999998,0
N#CC1=NCCCO1,110.116,3,0,0,1,3,45.379999999999995,0.32878000000000007,0
N#CC1C=CCOC1,109.128,2,0,0,1,2,33.019999999999996,0.71258,1
N#CCC1C=CNC1,108.14399999999999,2,1,1,1,2,35.82,0.6331799999999999,1
N#CC1=CCCOC1,109.128,2,0,0,1,2,33.019999999999996,0.8566799999999999,0
CC1=NCCC1=O,97.11699999999999,2,0,0,1,2,29.43,0.42010000000000003,0
N=C1C=CCC(=O)O1,111.1,3,1,0,1,3,50.150000000000006,0.46676999999999996,0
N#CC1=CCOC1=NO,124.09899999999999,4,1,0,1,4,65.61,0.25428,0
O=C1C=CC=COC1,110.112,2,0,0,1,2,26.3,0.6556,0
CC(=O)c1ncco1,111.09999999999998,3,0,1,1,3,43.1,0.8772,0
N#Cc1ccccn1,104.11199999999998,2,0,0,1,2,36.68,0.9532799999999999,0
Cn1cncc1CC#N,121.14299999999999,3,0,1,1,3,41.61,0.4861799999999999,0
N#CC1(C#N)CCO1,108.1,3,0,0,1,3,56.81,0.19266,0
N#Cc1cccnc1,104.11199999999998,2,0,0,1,2,36.68,0.9532799999999999,0
N#CC1NCCC1=N,109.132,3,2,0,1,3,59.67,-0.10834999999999989,1
N#CC1C=CC(=O)N1,108.1,2,1,0,1,3,52.89,-0.4354200000000001,1
NC(=O)NC1CCC1,114.148,1,2,1,1,3,55.120000000000005,0.2071999999999996,0
C#CC1=NC=C(C)OO1,123.11099999999998,3,0,0,1,3,30.82,0.8412,0
N#CC1CCNC(=O)C1,124.143,2,1,0,1,3,52.89,0.03617999999999971,1
N#CC1CCC(=N)CO1,124.143,3,1,0,1,3,56.870000000000005,0.70875,1
CC(=O)OC1=CCO1,114.1,3,0,1,1,3,35.53,0.4211,0
N#CC1=NCCC1=CN,121.143,3,1,0,1,3,62.17,0.19728000000000012,0
N#CC1=NCC=CN1,107.11599999999999,3,1,0,1,3,48.18,0.025380000000000014,0
Cc1ccc(C#N)o1,107.11200000000001,2,0,0,1,2,36.93,1.4597,0
N#CC1=CCC1CN,108.144,2,1,1,1,2,49.81,0.41498,1
CCC1=CC(=O)CO1,112.12799999999999,2,0,1,1,2,26.3,0.8796,0
CC1(C)COCC1=O,114.14399999999999,2,0,0,1,2,26.3,0.6119,0
CC1(C#N)NCCO1,112.13199999999999,3,1,0,1,3,45.05,-0.15402000000000005,1
N#CC1=NC=CCCO1,122.12699999999998,3,0,0,1,3,45.379999999999995,0.8424800000000001,0
CC1CC(=O)OC1=O,114.09999999999998,3,0,0,1,3,43.370000000000005,0.09599999999999997,1
N#CC1=CCC=NCN1,121.143,3,1,0,1,3,48.18,0.4154799999999999,0
O=C1OC=CCCO1,114.1,3,0,0,1,3,35.53,1.057,0
N#CC#CCC1CN1,106.12799999999999,2,1,1,1,2,45.730000000000004,-0.12472,1
N#CC1=CCNC1CO,124.14299999999999,3,2,1,1,3,56.05,-0.59952,1
N#CC1CCCCO1,111.144,2,0,0,1,2,33.019999999999996,1.07908,1
Cc1cnoc1C#N,108.1,3,0,0,1,3,49.82,0.8546999999999999,0
CC1(C#N)COCN1,112.132,3,1,0,1,3,45.05,-0.15402,1
N#CCn1cccn1,107.11599999999997,3,0,1,1,3,41.61,0.40667999999999993,0
CC1(C#N)NCC1=O,110.11599999999999,3,1,0,1,3,52.89,-0.5590200000000001,1
N=C1CCC(=O)OC1,113.11599999999999,3,1,0,1,3,50.150000000000006,0.34317000000000003,0
N#CCC#CC1=CCO1,119.12299999999998,2,0,0,1,2,33.019999999999996,0.81758,0
CC1(C)COC1C#N,111.14399999999999,2,0,0,1,2,33.019999999999996,0.93498,1
CCc1coc(=O)cn1,125.12699999999998,3,0,1,1,3,43.1,0.5972,0
N#CC1=NC=CCC1,106.12799999999999,2,0,0,1,2,36.15,1.25848,0
N#CC1=CCC(=O)NO1,124.09899999999999,3,1,0,1,4,62.120000000000005,-0.15462000000000015,0
CC(=O)C1=CC(=O)N1,111.09999999999998,2,1,1,1,3,46.17,-0.4109,0
CN=C1CC=CCC1=O,123.15499999999997,2,0,0,1,2,29.43,0.9763,0
CC1=CC(=O)OC1=O,112.08399999999999,3,0,0,1,3,43.370000000000005,0.016100000000000003,0
N#CCc1ccon1,108.09999999999998,3,0,1,1,3,49.82,0.74068,0
Cc1nccnc1C#N,119.127,3,0,0,1,3,49.57,0.6567,0
CC1=NC=COC1,97.11699999999999,2,0,0,1,2,21.59,0.9487,0
Cc1cc(C#N)no1,108.10000000000001,3,0,0,1,3,49.82,0.8547,0
N#Cc1ccoc1C#N,118.09499999999998,3,0,0,1,3,60.72,1.0229599999999999,0
COC1CCC(=O)C1,114.144,2,0,1,1,2,26.3,0.7544000000000001,1
N#CC1CCOCC1,111.144,2,0,0,1,2,33.019999999999996,0.93658,0
CC1(C#N)OCCO1,113.116,3,0,0,1,3,42.25,0.27298,0
N#CC1CCCC1=O,109.128,2,0,0,1,2,40.86,0.8791800000000001,1
Cc1cn[n-]c1C#N,106.108,2,0,0,1,3,50.78,0.21889999999999987,0
O=C1CCC(=O)OC1,114.1,3,0,0,1,3,43.370000000000005,-0.10750000000000004,0
N#CC1=CC(CO)CC1,123.15499999999999,2,1,1,1,2,44.019999999999996,0.8386799999999999,1
N#CC1CCOC1,97.117,2,0,0,1,2,33.019999999999996,0.5464800000000001,1
CN=C1CCOC1=O,113.11599999999999,3,0,0,1,3,38.66,0.0040999999999999925,0
N#CC1(C#N)CCCN1,121.143,3,1,0,1,3,59.61,0.15575999999999995,0
N#CC1=CCC(=O)CO1,123.11099999999999,3,0,0,1,3,50.09,0.38327999999999995,0
N#CC1=NCCOC1,110.116,3,0,0,1,3,45.379999999999995,-0.018819999999999948,0
