SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#Cc1nccc(N)n1,119.127,3,1,0,1,3,51.8,0.040099999999999913,0
C#Cc1cc(CO)no1,123.11099999999999,3,1,1,1,3,46.260000000000005,0.1482,0
O=Cc1ccc(O)nc1,123.11099999999998,3,1,1,1,3,50.19,0.5996999999999999,0
CC1=CC=C(C)N(N)[N-]1,124.16700000000003,2,1,0,1,3,43.36,1.272,0
COc1cc(C=N)c[nH]1,124.14299999999999,2,2,2,1,3,48.87,1.02097,0
CC(=O)OC1=CCOC1,128.12699999999998,3,0,1,1,3,35.53,0.4636,0
Cc1cc(N)nc(C)n1,123.15900000000002,3,1,0,1,3,51.8,0.6756399999999999,0
Cc1cnc(C=O)cn1,122.12699999999998,3,0,1,1,3,42.85,0.5975199999999999,0
C#Cc1ncc(C=N)o1,120.11099999999998,3,1,1,1,3,49.88,0.65357,0
Cc1ncncc1CO,124.14299999999997,3,1,1,1,3,46.010000000000005,0.27731999999999984,0
Cc1occ(C=O)c1O,126.11099999999998,3,1,1,1,3,50.44,1.10612,0
Nc1ccc(C=O)cn1,122.127,3,1,1,1,3,55.980000000000004,0.47630000000000006,0
C#Cc1ocnc1CO,123.11099999999999,3,1,1,1,3,46.260000000000005,0.14819999999999994,0
CNc1cc(C)ncc1N,137.18599999999998,3,2,1,1,3,50.94,1.01392,0
CCn1oc(=O)cc1C,127.14299999999997,3,0,1,1,3,35.14,0.76962,0
CC1(N=O)CCCOC1,129.159,3,0,1,1,3,38.66,1.3219,1
N#CC(=N)CNC1CC1,123.15899999999999,3,2,3,1,3,59.67,0.28175,0
CC1=COC(=O)NN1C,128.131,3,1,0,1,4,41.57,0.43429999999999996,0
COc1cc(C)oc1N,127.143,3,1,1,1,3,48.39,1.17882,0
CCc1ncnc(C)n1,123.15899999999999,3,0,1,1,3,38.67,0.7424199999999999,0
CCc1nc[nH]c1C=O,124.14299999999997,2,1,2,1,3,45.75,0.7846,0
N#CC1=NCOCCC1,124.143,3,0,0,1,3,45.379999999999995,0.7188800000000001,0
O=C1CC=C(CO)C(=O)C1,140.13799999999998,3,1,1,1,3,54.37,-0.1629000000000001,0
CC(=O)c1ncccn1,122.12699999999998,3,0,1,1,3,42.85,0.6792,0
CC1=NC=CC(C=O)O1,125.12699999999997,3,0,1,1,3,38.66,0.5162,1
O=C1CCNCCC1=O,127.14299999999999,3,1,0,1,3,46.17,-0.4920000000000002,0
CC1(O)CCOCC1=O,130.143,3,1,0,1,3,46.53,-0.2732000000000001,1
N=C(CN)CC1(N)CC1,127.191,3,3,3,1,3,75.89,-0.15373000000000037,0
CC1COC(=O)CC1=O,128.12699999999998,3,0,0,1,3,43.370000000000005,0.13850000000000007,1
C#Cc1ncoc1O,109.08399999999997,3,1,0,1,3,46.260000000000005,0.3614999999999999,0
