SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CCC1=C2C=C=CCC21,118.17899999999996,0,0,1,2,0,0.0,2.437800000000001,1
CC1CC2=CC=CC1(C)C2,134.22199999999995,0,0,0,2,0,0.0,2.918800000000002,2
CC1=CC=C2CNCC12,121.183,1,1,0,2,1,12.03,1.0921,1
C1=CC2(C1)CCCCC2,122.211,0,0,0,2,0,0.0,2.8968000000000016,0
CCC1(C)C2C=CC=CN21,135.20999999999995,1,0,1,2,1,3.01,1.9227999999999998,2
C1=CC(C2CC=CC2)C1,120.195,0,0,1,2,0,0.0,2.5287000000000006,1
C=CC1(C)C(C)C2CC21,122.21099999999997,0,0,1,2,0,0.0,2.4645,4
CC1=CN2C=CC2CC1,121.18299999999998,1,0,0,2,1,3.24,1.8819000000000001,1
CC1=CC2CCNCC12,123.19900000000001,1,1,0,2,1,12.03,1.172,2
CC(C)C1(O)C2CC21C,126.19899999999997,1,1,1,2,1,20.23,1.4133,3
C1=CC2=CC(CC1)CC2,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
OC1CC=CC2CCC2C1,138.20999999999998,1,1,0,2,1,20.23,1.7235,3
C1=CCCC2CCC=1C2,120.195,0,0,0,2,0,0.0,2.6618000000000013,1
CC=CC12C=CC1CC2,120.19499999999998,0,0,1,2,0,0.0,2.5287000000000006,2
CCCC12CC=C1CC2,122.21099999999998,0,0,2,2,0,0.0,2.8968000000000016,1
C1=COC2C=C2CCC1,122.167,1,0,0,2,1,9.23,2.0092,1
CCC1=CC2(C)C(C)C12,122.21099999999997,0,0,1,2,0,0.0,2.608600000000001,3
CC1=CC=CCC12CC2,120.19500000000001,0,0,0,2,0,0.0,2.6728000000000014,0
CC1=CC(C)=C2CCC12,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
CCC1C2=C(C)C1C(C)C2,136.23799999999997,0,0,1,3,0,0.0,2.9987000000000013,3
CC1C=CCCC2C=CC12,134.222,0,0,0,2,0,0.0,2.774700000000001,3
CC1(CCC2CC2)C=C1,122.21099999999998,0,0,3,2,0,0.0,2.752700000000001,0
CC=C1CC2CCC2C1,122.21099999999998,0,0,0,2,0,0.0,2.752700000000001,2
CCC12C=CC(C)C1CC2,136.23799999999997,0,0,1,2,0,0.0,2.9987000000000013,3
CC1C=CNC2(CC2)C1,123.199,1,1,0,2,1,12.03,1.6621,1
CC1=C2CC=CC(C1)C2,120.19499999999998,0,0,0,2,0,0.0,2.6728000000000014,1
CC1=CC(C)C2=CC2C1,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC1=C2CCCC2=CC1,120.195,0,0,0,2,0,0.0,2.8169000000000013,0
CC1C=C2CCC(C)C21,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,3
CC1=C2CCCCC=C12,120.195,0,0,0,2,0,0.0,2.8169000000000013,0
CC1(C)C2C=COCC21,124.18299999999998,1,0,0,2,1,9.23,1.8025,2
CCC12C=CC1CC2(C)C,136.23799999999997,0,0,1,2,0,0.0,2.9987000000000013,2
CC1CC1C1=CC=C1,106.16799999999998,0,0,1,2,0,0.0,2.1386000000000003,2
CC1(C)C=C2CCCC21,122.211,0,0,0,2,0,0.0,2.752700000000001,1
C=C1CCC2CCC12C,122.21099999999998,0,0,0,2,0,0.0,2.752700000000001,2
CC12CC=C=C1CCC2,120.19500000000001,0,0,0,2,0,0.0,2.6618000000000013,1
CCC12C=CC=CCC1C2,134.22199999999995,0,0,1,2,0,0.0,2.918800000000002,2
CC1=CC2=CC(C1)C2C,120.19499999999998,0,0,0,3,0,0.0,2.5287000000000006,2
C#CC12CCC1C2CC,120.19499999999998,0,0,1,2,0,0.0,2.0558,3
C1=CN2CC=CC(=C1)C2,119.16699999999997,1,0,0,2,1,3.24,1.3119,0
CC12CC=C=C1OCC2,122.167,1,0,0,2,1,9.23,1.8557000000000001,1
CC1(C)C2CC#CCC21,120.195,0,0,0,2,0,0.0,2.0558,2
CC1=CC2CC(O)CC12,124.18299999999999,1,1,0,2,1,20.23,1.3334,3
CC1=C=C2C(C)CCC12,120.19499999999998,0,0,0,2,0,0.0,2.5177000000000005,2
CC1=C2CC=CC1CC2,120.19499999999998,0,0,0,2,0,0.0,2.6728000000000014,1
CC1CCOC2(C)CCC12,140.226,1,0,0,2,1,9.23,2.2115,3
CC1=C2C=CC(C)CC12,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
CC1CC2=CCOC1C2,124.18299999999998,1,0,0,2,1,9.23,1.7415,2
C1=CCC2CC2CCCC1,136.238,0,0,0,2,0,0.0,3.142800000000002,2
CC1C=CC=C2NCC21,121.18299999999999,1,1,0,2,1,12.03,1.2956,2
CC1C2C=CC=CC1CC2,134.22199999999998,0,0,0,2,0,0.0,2.774700000000001,2
CC1=C2CCCC(C1)C2,122.211,0,0,0,2,0,0.0,2.8968000000000016,1
CC(C)C12C=CCC1CC2,136.23799999999997,0,0,1,2,0,0.0,2.9987000000000013,2
CC1C2C=C2CC1(C)C,122.211,0,0,0,2,0,0.0,2.608600000000001,2
CC1(C)CCC=C1C1CC1,136.23799999999997,0,0,1,2,0,0.0,3.142800000000002,0
CC1=COC2CCC12C,124.18299999999999,1,0,0,2,1,9.23,2.0891,2
CC1=CNC(C2CC2)CC1,137.226,1,1,1,2,1,12.03,2.0522,1
OCC1C=CC2CCC1C2,138.20999999999998,1,1,1,2,1,20.23,1.581,3
CC1=C(C)C1=C1CCC1,120.195,0,0,0,2,0,0.0,2.8169000000000013,0
CC1CC1C=C1CCC1,122.211,0,0,1,2,0,0.0,2.752700000000001,2
CC1=CC2(C)CC=CC2C1,134.22199999999998,0,0,0,2,0,0.0,2.918800000000002,2
CC1=CC2CCC2C=C1,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC1CC=C2CNC21C,123.199,1,1,0,2,1,12.03,1.3145,2
CC1=CC2CC=C2C=CC1,132.206,0,0,0,2,0,0.0,2.8389000000000015,1
CC1=CCC2CCNC12,123.199,1,1,0,2,1,12.03,1.3145,2
CCC12C=C(C)C1CCC2,136.23799999999997,0,0,1,2,0,0.0,3.142800000000002,2
CCC1(C)CC2=CCC21,122.21099999999997,0,0,1,2,0,0.0,2.752700000000001,2
CC1CC(C)N2C=CCC12,137.226,1,0,0,2,1,3.24,2.0027,3
CC(C)C1C2=CCC1C2,122.21099999999998,0,0,1,3,0,0.0,2.608600000000001,2
CC1=C=CC2CC(C)OC12,136.194,1,0,0,2,1,9.23,1.895,3
CCC1NCC12CCC2,125.215,1,1,1,2,1,12.03,1.5385,1
