SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1CN2C1C2(C)C,111.18799999999997,1,0,0,2,1,3.01,1.0989,3
C1=CC2(C1)CCCCC2,122.211,0,0,0,2,0,0.0,2.8968000000000016,0
COC1(C)CC12CC2C,126.19899999999998,1,0,1,2,1,9.23,1.8214000000000001,3
C1=CC(C2CC=CC2)C1,120.195,0,0,1,2,0,0.0,2.5287000000000006,1
C=CC1(C)C(C)C2CC21,122.21099999999997,0,0,1,2,0,0.0,2.4645,4
CC(C)C1(O)C2CC21C,126.19899999999997,1,1,1,2,1,20.23,1.4133,3
C1=CC2=CC(CC1)CC2,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
C1=CCCC2CCC=1C2,120.195,0,0,0,2,0,0.0,2.6618000000000013,1
CCCC12CC=C1CC2,122.21099999999998,0,0,2,2,0,0.0,2.8968000000000016,1
C1=COC2C=C2CCC1,122.167,1,0,0,2,1,9.23,2.0092,1
CC1=CC=CCC12CC2,120.19500000000001,0,0,0,2,0,0.0,2.6728000000000014,0
CCC1=CC2(C)C(C)C12,122.21099999999997,0,0,1,2,0,0.0,2.608600000000001,3
CC1=CC(C)=C2CCC12,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
CC1CC2=CCCC2N1,123.19899999999998,1,1,0,2,1,12.03,1.4569999999999999,2
CC1C=CCCC2C=CC12,134.222,0,0,0,2,0,0.0,2.774700000000001,3
COC1CC1C=C1CC1,124.18299999999999,1,0,2,2,1,9.23,1.7415,2
CC1CC1C1C=CNC1,123.19899999999998,1,1,1,2,1,12.03,1.3755,3
CC=C1CC2CCC2C1,122.21099999999998,0,0,0,2,0,0.0,2.752700000000001,2
CC1CCC2NCC12,111.18799999999999,1,1,0,2,1,12.03,1.0043,3
CC1C=CNC2(CC2)C1,123.199,1,1,0,2,1,12.03,1.6621,1
CC1=C2CC=CC(C1)C2,120.19499999999998,0,0,0,2,0,0.0,2.6728000000000014,1
CCC1NC1C1CCC1,125.21499999999999,1,1,2,2,1,21.94,1.5369,2
CCN1CC(C)C12CC2,125.21499999999999,1,0,1,2,1,3.24,1.4906,1
[C-]C1=C(C)C2CCC2C1,119.18699999999998,0,0,0,2,0,0.0,2.3208900000000003,2
CC1=CC(C)C2=CC2C1,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC1C=C2CCC(C)C21,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,3
CC1=C2CCCCC=C12,120.195,0,0,0,2,0,0.0,2.8169000000000013,0
CCC12C=CC1CC2(C)C,136.23799999999997,0,0,1,2,0,0.0,2.9987000000000013,2
CC1CC1C1=CC=C1,106.16799999999998,0,0,1,2,0,0.0,2.1386000000000003,2
CC1(C)C=C2CCCC21,122.211,0,0,0,2,0,0.0,2.752700000000001,1
C=C1CCC2CCC12C,122.21099999999998,0,0,0,2,0,0.0,2.752700000000001,2
CC12CC=C=C1CCC2,120.19500000000001,0,0,0,2,0,0.0,2.6618000000000013,1
CCC12C=CC=CCC1C2,134.22199999999995,0,0,1,2,0,0.0,2.918800000000002,2
C#CC12CCC1C2CC,120.19499999999998,0,0,1,2,0,0.0,2.0558,3
C1=CN2CC=CC(=C1)C2,119.16699999999997,1,0,0,2,1,3.24,1.3119,0
CCC1=CC2CC2NC1,123.19899999999998,1,1,1,2,1,12.03,1.3145,2
CN1C2C=C=CCC1C2,121.18299999999999,1,0,0,3,1,3.24,1.1741,2
CC1C2=CCCC1=C2,106.16799999999999,0,0,0,3,0,0.0,2.2827,1
CCC12CCCN(C1)C2,125.215,1,0,1,3,1,3.24,1.4922,0
CC1=C2CC=CC1CC2,120.19499999999998,0,0,0,2,0,0.0,2.6728000000000014,1
CC1=C2C=CC(C)CC12,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
CC1C2C=CC=CC1CC2,134.22199999999998,0,0,0,2,0,0.0,2.774700000000001,2
CCC1C2C(CC)C12C,124.22699999999999,0,0,2,2,0,0.0,2.6885000000000012,2
OC1(C=C2CC2)CCC1,124.183,1,1,1,2,1,20.23,1.6216,0
CC1CC2CCN(C1)C2,125.21500000000002,1,0,0,2,1,3.24,1.3481,3
CCC1CC12COC2(C)C,140.226,1,0,1,2,1,9.23,2.2115,2
