SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CCC(=O)CCCC=N,137.182,2,1,5,0,2,40.92,1.3986699999999999,0
CC(=O)OC=CC(C)O,130.143,3,1,2,0,3,46.53,0.444,1
CCCC(=O)C(C)NC=O,143.18599999999998,2,1,5,0,3,46.17,0.49010000000000004,1
C#CCNC(=O)CC(C)=O,139.154,2,1,3,0,3,46.17,-0.2850999999999999,0
CNCC(CO)C(C)=O,131.17499999999998,3,2,4,0,3,49.33,-0.5967,1
CC(C)(CO)C(=O)O,118.13199999999998,2,2,2,0,3,57.53,0.08950000000000002,0
CC(CC=O)CC(N)C#N,140.186,3,1,4,0,3,66.88,0.4524800000000001,2
C#COC(N)C(C)C=O,127.14299999999997,3,1,3,0,3,52.32,-0.2865000000000002,2
CC(=O)C(C)ON(C)C,131.175,3,0,3,0,3,29.54,0.45710000000000006,1
C#CCCNC(O)CC#N,138.16999999999996,3,2,4,0,3,56.05,-0.16862000000000033,1
CC#CC(CC#N)OC=N,136.154,3,1,3,0,3,56.87,0.9156500000000001,1
CC(C)(N)CC(=O)C#N,126.15899999999999,3,1,2,0,3,66.88,0.20647999999999989,0
CCNCC(=O)C(C)=O,129.159,3,1,4,0,3,46.17,-0.246,0
CC(=N)C(=O)CC(C)N,128.17499999999998,3,2,3,0,3,66.94,0.33247000000000015,1
CC(N)C(C)(O)C=O,117.14799999999997,3,2,2,0,3,63.32,-0.7165000000000001,2
CC#CCOC(C)N,113.16,2,1,2,0,2,35.25,0.33100000000000007,1
CCNCC#CNC,112.17599999999999,2,2,2,0,2,24.06,-0.22380000000000022,0
CNC(C)CCC(C)=O,129.203,2,1,4,0,2,29.1,0.9634999999999998,1
CC(O)CC(N)C=O,117.148,3,2,3,0,3,63.32,-0.7165000000000001,2
CC#CC(O)(O)CC,114.14399999999998,2,2,1,0,2,40.46,0.10060000000000002,0
CCNC(C)(C#N)OC,128.17499999999998,3,1,3,0,3,45.05,0.4820800000000001,1
CC#CC(O)C(=O)C#N,123.11099999999999,3,1,1,0,3,61.089999999999996,-0.5367200000000001,1
C#CC(C=O)C(O)O,114.09999999999998,3,2,2,0,3,57.53,-1.2546000000000002,1
CC(=O)NCC(C)CC=O,143.18599999999998,2,1,4,0,3,46.17,0.3475999999999999,1
CCC(=CC=O)CCC#N,137.182,2,0,4,0,2,40.86,1.82548,0
C#CC(O)=NC(C)O,113.11599999999999,2,2,1,0,3,52.82000000000001,-0.08560000000000012,1
C#CC(CC(C)=O)NC#N,136.154,3,1,3,0,3,52.89,0.03797999999999996,1
CN=CNC(=O)CC(C)C,142.202,2,1,3,0,3,41.46,0.8067999999999997,0
C#CC(O)CC(O)C(C)=N,141.17,3,3,3,0,3,64.31,-0.22883000000000026,2
CC(C)C(C=O)C(=N)N,128.17499999999998,2,2,3,0,3,66.94,0.39347000000000015,1
