SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
OC1=CC2CCC(=C1)O2,124.139,2,1,0,2,2,29.46,1.5048,1
OC12C=C1NCCCC2,125.171,2,2,0,2,2,32.26,0.38850000000000007,1
CC12CCNC1C(O)N2,128.17499999999998,3,3,0,2,3,44.29,-0.9714000000000005,3
COC12C=C(O)C1CC2,126.15499999999999,2,1,1,2,2,29.46,1.2371,2
CC1C2CC=COCC1N2,139.19799999999998,2,1,0,3,2,21.259999999999998,0.8969,3
CC12COC1CC2=C=NO,139.154,3,1,0,2,3,41.82,0.7805,2
OC1CCCC2=CC21O,126.15499999999997,2,2,0,2,2,40.46,0.20229999999999998,2
N#CC1CCC2=CCC1N2,134.182,2,1,0,2,2,35.82,1.16578,2
OC1C2CNCC1(O)C2,129.15899999999996,3,3,0,3,3,52.489999999999995,-1.2985,3
CC12NC1C(=O)CCCO2,141.17000000000002,3,1,0,2,3,48.24000000000001,0.053899999999999615,2
CC1=CC2CC(O)OC12,126.15499999999999,2,1,0,2,2,29.46,0.6698,3
OC1COC2C=C=C1CN2,139.154,3,2,0,3,3,41.49,-0.6117000000000001,2
CC1(C)C2OCC1(O)O2,130.143,3,1,0,3,3,38.69,0.08769999999999994,2
CC1CC2CC1(O)C2=N,125.17099999999999,2,2,0,3,2,44.08,0.79697,3
CC1=NCC1C1CNC1,124.18699999999998,2,1,1,2,2,24.39,0.29650000000000004,1
CC12COCC1CC(=O)N2,141.17,2,1,0,2,3,38.33,-0.08859999999999996,2
N=C=C1C2CCCC12OO,139.15400000000002,3,2,1,2,3,53.31,1.20337,2
CC1CNC2CC2=CO1,125.17099999999998,2,1,0,2,2,21.259999999999998,0.6509,2
N#CC12CNC1C=CCO2,136.15399999999997,3,1,0,2,3,45.05,-0.1930200000000002,2
C=C1CNCC2CC12O,125.17099999999998,2,2,0,2,2,32.26,-0.10319999999999985,2
N=C1CCC2OCC2C1,125.17099999999998,2,1,0,2,2,33.08,1.20507,2
CC12CNCC1(CO)O2,129.159,3,2,1,2,3,44.79,-0.8904000000000003,2
CC1NC2C(O)C(CN)C12,142.202,3,3,1,2,3,58.28,-1.087699999999999,5
CC1(C)N=C2COCC21,125.17099999999999,2,0,0,2,2,21.59,0.8660000000000001,1
OC1=CC2(CCC2)CO1,126.155,2,1,0,2,2,29.46,1.5863,0
