SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
OCC12CCC1CC=N2,125.17099999999999,2,1,1,2,2,32.59,0.6020000000000001,2
CC1(C2CCO2)CC1=O,126.155,2,0,1,2,2,26.3,0.7544,2
O=C1C(O)CC=C2CC12,124.139,2,1,0,2,2,37.3,0.2664,2
CCC1=CC2CC1N=N2,122.17099999999999,2,0,1,2,2,24.72,1.9295000000000002,2
Cc1[nH]cnc1CCO,126.15899999999999,2,2,2,1,3,48.91,0.25291999999999987,0
COC12CCNC1CC2,127.187,2,1,1,2,2,21.259999999999998,0.5272999999999999,2
OCCc1cc[nH]c1CO,141.17,2,3,3,1,3,56.25,0.04179999999999995,0
COC1=CC(C)N2CC12,125.17099999999999,2,0,1,2,2,12.24,0.603,3
O=C1CCC(=NO)C(O)C1,143.142,4,2,0,1,4,69.89,-0.06950000000000012,1
CC(=O)C1NCC=NC1C,140.18599999999998,3,1,1,1,3,41.46,0.006499999999999728,2
NC1CCCC(=O)CC1=O,141.17,3,1,0,1,3,60.160000000000004,0.02589999999999959,1
NC1CC(CO)C=CC1=O,141.17,3,2,1,1,3,63.32,-0.5488000000000002,2
CC1(C)NCC=C2NC21,124.18699999999998,2,2,0,2,2,33.97,0.22389999999999988,1
COC1=CCC2CN1C2,125.171,2,0,1,3,2,12.47,0.8097,0
COC1=CCC1C1(O)CC1,140.182,2,1,2,2,2,29.46,1.0614999999999999,1
COC1CCCC1=CO,128.171,2,1,1,1,2,29.46,1.6272,1
CCC1OC2OCCC12,128.171,2,0,1,2,2,18.46,1.1578,3
NC(C=O)C1=C(CO)CC1,141.17,3,2,3,1,3,63.32000000000001,-0.4047000000000005,1
CC1=COCC2(O)CC12,126.15499999999999,2,1,0,2,2,29.46,0.6714,2
CCC1(N)C=NC2CC21,124.18699999999997,2,1,1,2,2,38.379999999999995,0.5667999999999999,3
N#CCC1OC2CCCC12,137.18200000000002,2,0,1,2,2,33.019999999999996,1.46758,3
COC1=CC(C2CC2)O1,126.15499999999999,2,0,2,2,2,18.46,1.283,1
CC1=CC2CC(O)OC12,126.15499999999999,2,1,0,2,2,29.46,0.6698,3
CC1=CNCC1C#CO,123.15499999999999,2,2,0,1,2,32.26,0.44299999999999995,1
OCC1(O)CC2CCC1N2,143.186,3,3,1,2,3,52.49,-0.7659000000000002,3
CCC12COCC1=CO2,126.15499999999997,2,0,1,2,2,18.46,1.0795,1
CC1(C)CC2OCC2C1=O,140.182,2,0,0,2,2,26.3,1.0004,2
CC1=CNC(C#N)CC1,122.171,2,1,0,1,2,35.82,1.16578,1
C#CCC1NCC(=N)C[NH2+]1,138.194,2,3,1,1,3,52.49,-1.4778299999999984,1
CCN1C(C#N)C2CNC21,137.186,3,1,1,2,3,39.06,-0.24042000000000002,3
CC1OC2CCCC1=N2,125.171,2,0,0,2,2,21.59,1.3561,2
CCC1NCCC=C1C#N,136.19799999999998,2,1,1,1,2,35.82,1.20828,1
CN=C1CCCC1C#N,122.17099999999999,2,0,0,1,2,36.15,1.38088,1
CCC1CNC12COC2,127.18699999999998,2,1,1,2,2,21.259999999999998,0.38479999999999986,1
CC1(N)C2CCCC1N2,126.203,2,2,0,3,2,38.05,0.2280999999999998,2
CCOC1=CCC2NC1N2,140.18599999999998,3,2,2,3,3,33.29,0.15549999999999986,0
COC1CC(C)(C#N)CO1,141.17000000000002,3,0,1,1,3,42.25,0.90908,2
O=C1COCC2CC=C1C2,138.16599999999997,2,0,0,2,2,26.3,0.9221,1
NC1=C2COCCCC12,125.17099999999999,2,1,0,2,2,35.25,0.6394000000000002,1
CC1CC(O)C1=CCO,128.171,2,2,1,1,2,40.46,0.3057999999999999,2
OCC1=CCC1CC=NO,141.17000000000002,3,2,3,1,3,52.82000000000001,0.7750999999999999,1
CC1(C)N=C2COCC21,125.17099999999999,2,0,0,2,2,21.59,0.8660000000000001,1
CCC1COC(C#N)CO1,141.17,3,0,1,1,3,42.25,0.7039799999999999,2
NC1=C(CO)C(CO)C1,129.15899999999996,3,3,2,1,3,66.48,-0.7963000000000002,1
O=CC1CCC2(CN2)C1,125.171,2,1,1,2,2,39.010000000000005,0.32739999999999997,2
Cc1[nH]cc(C=O)c1C=O,137.13799999999998,2,1,2,1,3,49.93,0.9481200000000001,0
OCC1=C(O)C2CCC12,126.15499999999997,2,2,1,2,2,40.46,0.8306,2
O=CC1CC(O)=C1O,114.09999999999998,3,2,1,1,3,57.53,0.5327999999999999,1
N#CC1CCCC12COC2,137.182,2,0,0,2,2,33.019999999999996,1.32668,1
CC12CN=CC1C(O)C2,125.17099999999996,2,1,0,2,2,32.59,0.45790000000000003,3
CC1COC2CC(=O)C1=N2,139.15399999999997,3,0,0,2,3,38.66,0.39260000000000006,2
O=C1OCCCC12CC2,126.155,2,0,0,2,2,26.3,1.1036000000000001,0
OCC12CCC=NCC1O2,141.17,3,1,1,2,3,45.120000000000005,-0.019100000000000117,2
CC1(CC=O)NCC1CO,143.186,3,2,3,1,3,49.33,-0.4541999999999999,2
CC(=O)C1OC12CCC2,126.155,2,0,1,2,2,29.6,0.8968999999999999,1
CC1CC2=CCOC1N2,125.17099999999998,2,1,0,2,2,21.259999999999998,0.8559999999999999,2
O=C1CCC2(O)CCC1N2,141.17,3,2,0,2,3,49.33,-0.21010000000000012,2
OCC1=C=CCC(CO)N1,141.17,3,3,2,1,3,52.49,-0.6281000000000003,1
OC1=CC2CCC1OC2,126.155,2,1,0,3,2,29.46,1.2371,2
CC1(C=O)CC2CNC2C1,139.19799999999998,2,1,1,2,2,29.1,0.5733999999999999,3
CCC1=CC2(O)CC1=N2,123.15499999999999,2,1,1,3,2,32.59,0.8697000000000001,1
CC1NCC(O)C1CC=O,143.18599999999998,3,2,2,1,3,49.33,-0.4558000000000004,3
CCC1(N)CC12CCN2,126.20299999999999,2,2,1,2,2,38.05,0.22970000000000007,2
CC1(C2CCO2)CCN1,127.18700000000001,2,1,1,2,2,21.259999999999998,0.5272999999999999,2
CC12COC(=O)C=C1C2,124.13899999999998,2,0,0,2,2,26.3,0.8796,1
CC1(C)C2C=COCC21,124.18299999999998,1,0,0,2,1,9.23,1.8025,2
CCC12CC(O)OC1C2,128.17099999999996,2,1,1,2,2,29.46,0.8937999999999999,3
N=C1CCC(C=O)CC1=O,139.15399999999997,3,1,1,1,3,57.99,0.5742700000000001,1
CC1CNC(C)C1(C)O,129.203,2,2,0,1,2,32.26,0.3652,3
CCOC1CC(C)N1C=O,143.186,2,0,3,1,3,29.54,0.5995999999999999,2
OCC1=CCC2(CC2)N1,125.171,2,2,1,2,2,32.26,0.3884999999999999,0
O=C1NC1CCC=CCO,141.17000000000002,2,2,4,1,3,59.24000000000001,-0.18650000000000028,1
CCN1CCC(=O)CC1=O,141.17,2,0,1,1,3,37.38,0.19779999999999975,0
O=C1C=C2CC2CCN1,123.155,1,1,0,2,2,29.1,0.45259999999999995,1
CC1=CC2NCCC12O,125.17099999999999,2,2,0,2,2,32.26,0.039300000000000224,2
CC1(O)C2(C)CC12CO,128.171,2,2,1,2,2,40.46,0.13970000000000005,3
NC1(C=O)CC2CCC21,125.17099999999999,2,1,1,2,2,43.09,0.31269999999999976,3
OCC1OC2CCCC1=N2,141.17,3,1,1,2,3,41.82,0.3285,2
CC1CCC(C#N)CN1,124.187,2,1,0,1,2,35.82,0.89808,2
O=C1NC=CC2CCC12,123.15499999999999,1,1,0,2,2,29.1,0.6560999999999999,2
CC1(C)OC=C2CC2O1,126.15499999999999,2,0,0,2,2,18.46,1.4255,1
OCC1=CC(O)C2CC1N2,141.17,3,3,1,3,3,52.49,-0.9899000000000002,3
OC=CC1CCC1CO,128.171,2,2,2,1,2,40.46,1.0766,2
N=C1CCC(O)C2CC2C1,139.19799999999995,2,2,0,2,2,44.08,1.18707,3
CC1=CC2C(=NO)CC12,123.155,2,1,0,2,2,32.59,1.4126,2
CCOC1=C=C2NCC21,123.15499999999999,2,1,2,2,2,21.259999999999998,0.6226,1
CC1C2CC(=O)C1(C)N2,125.17099999999999,2,1,0,3,2,29.1,0.32580000000000015,3
CCC12C=C(O)CC1=N2,123.15499999999999,2,1,1,2,2,32.59,1.4354,1
CC1CC(O)CC1=CO,128.171,2,2,0,1,2,40.46,1.2191,2
CCC1CCC(=O)CC1=N,139.198,2,1,1,1,2,40.92,1.78537,1
CCC12CNC1COC2,127.18699999999997,2,1,1,2,2,21.259999999999998,0.38479999999999986,2
CCc1nc[nH]c1CC#N,135.17,2,1,2,1,3,52.47,1.0381799999999999,0
O=CC1NC(CO)C2CC12,141.17,3,2,2,2,3,49.33,-0.8459000000000005,4
COC1CC(=O)CC1C=O,142.154,3,0,2,1,3,43.370000000000005,0.1794,2
O=C1CC=NC2CCC12,123.15499999999999,2,0,0,2,2,29.43,0.8086,2
CCC12NC1(C)C=CO2,125.17099999999996,2,1,1,2,2,31.17,0.9984999999999999,2
CC1(C(=O)CO)C2CC21,126.15499999999999,2,1,2,2,2,37.3,0.20380000000000004,2
OCC1COC1C1CCC1,142.19799999999998,2,1,2,2,2,29.46,0.7938000000000001,2
CC12CCOCC1=NC2,125.171,2,0,0,2,2,21.59,0.8676,1
OC=CC1(O)CC1CO,130.143,3,3,2,1,3,60.69,-0.19860000000000005,2
CC1OCC1(N)C1CC1,127.187,2,1,1,2,2,35.25,0.5125999999999998,2
CCC12CC1=NCCO2,125.17099999999999,2,0,1,2,2,21.59,1.0101,1
CC1(C=C=NO)CC1CO,141.17000000000002,3,2,2,1,3,52.82000000000001,0.6200000000000001,2
CC1(O)C=NC=C2CC21,123.15499999999999,2,1,0,2,2,32.59,0.7256,2
CCN1CC(C#N)CN1,125.175,3,1,1,1,3,39.06,-0.03372000000000014,1
CCC1COC1C(=O)CO,144.17,3,1,3,1,3,46.53,-0.027199999999999835,2
CC1CC(C)(O)OC1=O,130.14299999999997,3,1,0,1,3,46.53,0.2779,2
COC1(C)CC(C)OC1=O,144.17,3,0,1,1,3,35.53,0.7268999999999999,2
C#CC(=NO)C1CCCN1,138.17,3,2,1,1,3,44.620000000000005,0.20180000000000003,1
CC1(CC#N)CC(=O)CN1,138.17000000000002,3,1,1,1,3,52.89,0.22118,1
CC1(C#N)CCCC1=N,122.171,2,1,0,1,2,47.64,1.7199499999999999,1
CC1CC(=O)C(=O)C1=O,126.11099999999998,3,0,0,1,3,51.21,-0.26649999999999996,1
COC1=CCNC12CC2,125.171,2,1,1,2,2,21.259999999999998,0.6524999999999999,0
COC1(C)C2CC(=O)C1O2,142.15399999999997,3,0,1,3,3,35.53,0.13169999999999993,3
CC1(N)CC2CC(=O)C21,125.17099999999998,2,1,0,2,2,43.09,0.31270000000000003,3
NC1=CC(CO)C=C1CO,141.17000000000002,3,3,2,1,3,66.48,-0.6302000000000001,1
CN=CC1(C(C)N)OC1C,142.202,3,1,2,1,3,50.91,0.19170000000000004,3
CC1(C2C=CC2O)CO1,126.15499999999999,2,1,1,2,2,32.76,0.3222,3
CCc1cn(C)cc1CO,139.19799999999998,2,1,2,1,2,25.16,1.0797999999999999,0
C#CCOC1C=NCC1O,139.154,3,1,2,1,3,41.82,-0.5499,2
CN1C=C2CCOC21,111.14399999999999,2,0,0,2,2,12.47,0.5621,1
OCC1(O)C=CC2CC2O1,142.15399999999997,3,2,1,2,3,49.69,-0.3578000000000001,3
CC12CCNC1CCO2,127.18699999999998,2,1,0,2,2,21.259999999999998,0.5273000000000001,2
CC12C=CC1(CO)CO2,126.155,2,1,1,2,2,29.46,0.32380000000000003,2
CC1(C)OC=C1CO,114.14399999999999,2,1,1,1,2,29.46,0.6714,0
CC1CC(C=O)C=CO1,126.15499999999997,2,0,1,1,2,26.3,1.1239999999999999,2
NC1CC1c1ccoc1,123.15499999999997,2,1,1,2,2,39.16,1.0941999999999998,2
OCCC12CC1(CO)C2,128.171,2,2,3,2,2,40.46,0.14130000000000004,0
CNCC1CCOC1=O,129.159,3,1,2,1,3,38.33,-0.23110000000000008,1
OC1CC2CCC2=CN1,125.17099999999999,2,2,0,2,2,32.26,0.5919999999999999,2
COC1CC(=O)C=C1C=N,139.154,3,1,2,1,3,50.150000000000006,0.55017,1
O=CC1=CC(CCO)C1,126.15499999999999,2,1,3,1,2,37.3,0.514,1
OCC1NC1C=C1CC1,125.17099999999999,2,2,2,2,2,42.17,0.03929999999999967,2
COC1C=C2OCC2C1,126.155,2,0,1,2,2,18.46,0.9354,2
N#CC1CCC12NCC2O,138.17000000000002,3,2,0,2,3,56.05,-0.37712,3
CC1NCC2(C)NC12C,126.20299999999999,2,2,0,2,2,33.97,0.09870000000000007,3
OCC1CCC1C1=NC1,125.171,2,1,2,2,2,32.59,0.4595,2
OC1C=CCC2=CC2N1,123.15499999999999,2,2,0,2,2,32.26,0.16289999999999988,2
CC1(O)CC2CC2=CO1,126.15499999999999,2,1,0,2,2,29.46,1.019,2
CCC1C=CC2NCC2N1,138.214,2,2,1,2,2,24.06,0.2647999999999998,3
CNC1CC(N)CC1=O,128.175,3,2,1,1,3,55.12,-0.7353999999999998,2
CC1(C)OCC12CCC2=N,139.198,2,1,0,2,2,33.08,1.59517,1
OCC12C=CC1CCN2,125.17099999999999,2,2,1,2,2,32.26,-0.1031999999999999,2
COC1=CCC2(O)CC12,126.15499999999999,2,1,1,2,2,29.46,0.6714,2
NC1(CO)C=CC2CN1C2,140.18599999999998,3,2,1,3,3,49.49,-0.8646999999999998,1
COC1(C)C2CCC1N2,127.18699999999998,2,1,1,3,2,21.259999999999998,0.5256999999999998,2
COC1=NCCC1C=O,127.14299999999999,3,0,1,1,3,38.66,0.2501,1
CC1(C=CO)COCC1=O,142.154,3,1,1,1,3,46.53,0.6637,1
CC1NCC(C#N)CN1,125.175,3,2,0,1,3,47.85,-0.33502000000000004,0
CC1(C)OC2C=COC21,126.15499999999997,2,0,0,2,2,18.46,1.0762999999999998,2
Cc1cncc(CO)c1O,139.154,3,2,1,1,3,53.35000000000001,0.5879199999999998,0
CCC1(C)C2NCOC21,127.18699999999997,2,1,1,2,2,21.259999999999998,0.7307999999999999,3
CC1(CO)CCNC1=CO,143.186,3,3,1,1,3,52.489999999999995,0.3776999999999999,1
CC1=CC2CC(=O)CC2N1,137.18200000000002,2,1,0,2,2,29.1,0.8411,2
CC1(C)C2=CCOC1NC2,139.19799999999998,2,1,0,2,2,21.259999999999998,0.8984999999999999,1
COC1C=CC(CO)C1=N,141.17,3,2,2,1,3,53.31,0.19947000000000004,2
COC1(C(C)(C)C)CO1,130.18699999999998,2,0,1,1,2,21.759999999999998,1.4054,1
CNC(O)C1CCCC1=O,143.186,3,2,2,1,3,49.33,-0.10660000000000047,2
CC(=O)C1(C)CC1=N,111.14399999999999,2,1,1,1,2,40.92,1.00517,1
CCC1NC1=CCCO,127.18699999999998,2,2,3,1,2,42.17,0.6344999999999998,1
