SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
O=C1OCC=CNO1,115.08799999999998,4,1,0,1,4,47.56,0.17149999999999993,0
CNn1cnnc1C#N,123.119,5,1,1,1,5,66.53,-0.6769200000000002,0
N=CC1=NCCO1,98.105,3,1,1,1,3,45.44,0.06467,0
C#CCn1nnnc1N,123.11900000000001,5,1,1,1,5,69.62,-1.1115000000000002,0
Cc1cnnn1CN,112.13600000000002,4,1,1,1,4,56.730000000000004,-0.4972799999999999,0
CC1=NC=NN(C=N)O1,126.11899999999999,4,1,1,1,5,61.040000000000006,0.2023700000000001,0
Cc1nnc(N)c(N)n1,125.13500000000002,5,2,0,1,5,90.71,-0.6555800000000003,0
CC1=NOON1C,102.093,4,0,0,1,4,34.06,0.12840000000000007,0
CC1=CN(C)N=C(O)O1,128.131,3,1,0,1,4,45.06,0.6387,0
[O-][n+]1ccncc1O,112.08799999999998,3,1,0,1,4,60.06,-0.5793999999999999,0
COn1occc1=N,114.10399999999998,4,1,1,1,4,51.150000000000006,-0.38103000000000015,0
Cc1cc(O)nnn1,111.10400000000001,4,1,0,1,4,58.900000000000006,-0.11438000000000015,0
CN1N=COC(O)=N1,115.092,4,1,0,1,5,57.42,-0.27929999999999994,0
OC1=NOC=NC=C1,112.08799999999998,3,1,0,1,4,54.18000000000001,0.4300999999999999,0
O=C1COCOC1=NO,131.08700000000002,5,1,0,1,5,68.12,-0.6525000000000003,0
CN1C=NOC(=N)C1,113.11999999999999,4,1,0,1,4,48.68,-0.13102999999999992,0
OC1=CN=CC=NO1,112.08799999999998,4,1,0,1,4,54.18000000000001,0.43010000000000004,0
C#Cc1non1CO,112.088,4,1,1,1,4,51.19,-0.5928,0
CN1OC=C(C#N)O1,112.08800000000001,4,0,0,1,4,45.489999999999995,0.15997999999999996,0
CN=c1nnc(O)co1,127.10299999999997,5,1,0,1,5,71.51,-0.6943000000000004,0
N#Cc1cn(CO)o1,112.08799999999998,4,1,1,1,4,62.09,-0.09742,0
N=C1C(=NO)CC1O,114.10399999999997,4,3,0,1,4,76.67,-0.39902999999999994,1
Cn1c(N)nnc1O,114.10799999999999,5,2,0,1,5,76.96000000000001,-0.8971000000000002,0
Cc1cnoc1OCO,129.115,4,1,2,1,4,55.49000000000001,0.31161999999999995,0
Cc1n[c-]oc1NC#N,122.10699999999999,4,1,1,1,4,61.85,0.6761899999999998,0
CN(C)c1nnco1,113.11999999999999,4,0,1,1,4,42.160000000000004,0.13559999999999983,0
OC1=CN=NC=CC=N1,123.11499999999998,4,1,0,1,4,57.31,1.3936,0
CC1=C(C)ONN=N1,113.12,4,1,0,1,4,45.98,1.1398,0
C#COCC1=NN=N1,109.08800000000001,4,0,2,1,4,46.31,0.37300000000000005,0
OCN1CN=CCO1,116.11999999999998,4,1,1,1,4,45.06,-0.7883,0
Cc1nnnoc1=N,112.09199999999998,5,1,0,1,5,75.66,-0.7475099999999999,0
O=CC1=NC(=O)N=N1,111.06,3,0,1,1,5,71.22,0.16959999999999997,0
N=C1OCOC1=NO,116.076,5,2,0,1,5,74.9,-0.2443300000000001,0
O=C1CCOC(=NO)C1,129.11499999999998,4,1,0,1,4,58.89,0.15360000000000001,0
CCN1CC(N)=NO1,115.13600000000001,4,1,1,1,4,50.849999999999994,-0.4742999999999999,0
CN1C=NC=CN1N,112.136,4,1,0,1,4,44.86,-0.4779999999999999,0
NCc1onnc1O,115.09199999999998,5,2,1,1,5,85.17,-0.7661000000000002,0
CC(O)N1CC(=N)O1,116.11999999999999,4,2,1,1,4,56.55,-0.45083000000000023,1
N=C1CCOCC=NO1,128.131,4,1,0,1,4,54.67,0.38636999999999994,0
N=C1N=C(CO)CO1,114.10399999999998,3,2,1,1,4,65.67,-0.6153300000000002,0
COC1=NCCO1,101.105,3,0,0,1,3,30.82,0.018999999999999906,0
N=C1CN=COC=N1,111.10399999999998,3,1,0,1,4,57.8,0.05046999999999996,0
O=CC1N=CNCO1,114.10399999999998,4,1,1,1,4,50.69,-0.8830000000000002,1
CNc1nncc(O)n1,126.11899999999999,5,2,1,1,5,70.93,-0.3811000000000001,0
CCn1nc(CO)o1,116.11999999999998,4,1,2,1,4,51.19,-0.011699999999999988,0
N=C1COCC(=O)CN1,128.131,3,2,0,1,4,62.18,-0.8474300000000001,0
