SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
NC1=C(N)NC=CC(O)=C1,139.158,4,4,0,1,4,84.3,-0.3682999999999999,0
N#CC1(O)OCCC1O,129.115,4,2,0,1,4,73.48,-1.0202200000000003,2
CC1(C#N)CNOC1N,127.147,4,2,0,1,4,71.07,-0.66412,2
NC1=C=C(C=O)NC1O,126.11499999999997,4,3,1,1,4,75.35000000000001,-1.5677000000000003,1
NC1(N)C(=O)CCC1=O,128.131,4,2,0,1,4,86.18,-1.4679000000000006,0
CC1(C=N)COC1=N,112.132,3,2,1,1,3,56.93,0.64974,1
N#CC1NC(=NCO)C1N,140.146,4,3,1,1,5,94.42999999999999,-1.8426200000000001,2
NC1(N)COCC1C=O,130.147,4,2,1,1,4,78.34,-1.5546000000000006,1
CC(=O)C1(N)CNC1N,129.163,4,3,1,1,4,81.14,-1.8390999999999984,2
N=NC1CCC(=O)CN1,127.147,4,2,1,1,4,65.31,0.2959699999999999,1
N=CC1=C(N)C(CN)N1,126.16300000000001,4,4,2,1,4,87.92,-1.2632299999999994,1
N=C1CC(=N)C(O)C=N1,125.13099999999997,3,3,0,1,4,80.29,-0.1811600000000001,1
NC1(N)CCNCC1=O,129.163,4,3,0,1,4,81.13999999999999,-1.8375,0
N=c1[nH]c(N)ccc1N,124.147,3,4,0,1,4,91.67999999999999,-0.3414300000000003,0
O=C1CCC(=O)C(O)N1,129.11499999999998,3,2,0,1,4,66.4,-1.2161000000000002,1
N=C1C(O)=CCC1(N)N,127.14700000000002,4,4,0,1,4,96.11999999999999,-0.53453,0
N=C1CCC(=N)NC=N1,124.14699999999999,2,3,0,1,4,72.09,0.35263999999999995,0
N=C1NCC(O)C1O,116.11999999999998,3,4,0,1,4,76.34,-1.7113300000000002,2
N=C1CC(=O)NC(O)C1,128.13099999999997,3,3,0,1,4,73.18,-0.7654300000000005,1
N=C1CC1C(N)(N)C=O,127.147,4,3,2,1,4,92.96000000000001,-1.1613299999999998,1
N=C1CC(=N)C(O)CO1,128.13099999999997,4,3,0,1,4,77.16000000000001,-0.23536000000000012,1
N#CC1N=CC=C(N)N1,122.13099999999999,4,2,0,1,4,74.2,-0.6898200000000001,1
N=C1N=C(N)CC1O,113.11999999999999,3,3,0,1,4,82.46000000000001,-0.9145300000000003,1
N#CC(N)c1cn[nH]c1N,137.146,4,3,1,1,5,104.51,-0.4847200000000002,1
NC1=C(CO)C(O)C1=O,129.11499999999998,4,3,1,1,4,83.55000000000001,-1.8649000000000002,1
NC1=CNC(=O)NC=C1,125.13099999999999,2,3,0,1,4,67.14999999999999,-0.387,0
CC1(N)OC1C(N)C#N,127.14699999999999,4,2,1,1,4,88.35999999999999,-1.0890199999999992,3
N=CC1(N)CC(=N)C1=O,125.13099999999999,4,3,1,1,4,90.78999999999999,-0.6739600000000001,1
N#Cc1nc(N)c(CN)o1,138.13000000000002,5,2,1,1,5,101.86,-0.41282000000000013,0
CC(=N)OC1(O)CC1=N,128.131,4,3,1,1,4,77.16,0.11224000000000006,1
C#CC1(O)CC(=N)C1O,125.12699999999998,3,3,0,1,3,64.31,-0.8649300000000002,2
C#CC1(O)NC1C(N)O,128.131,4,4,1,1,4,88.42,-2.4429000000000003,3
CCC1(C)C(=O)NC1N,128.17499999999998,2,2,1,1,3,55.120000000000005,-0.18269999999999997,2
N#CC1C(=O)C(O)C1N,126.11499999999998,4,2,0,1,4,87.11,-1.6029200000000001,3
CC1=C(C#N)NC=NO1,123.115,4,1,0,1,4,57.41,0.3045799999999999,0
N=c1[nH]ccc(N)c1N,124.14700000000002,3,4,0,1,4,91.67999999999999,-0.34143000000000007,0
N=C1C=CC=NNC(N)=C1,136.15800000000002,4,3,0,1,4,74.26,-0.04852999999999985,0
N=C1NC=C(O)CC1NO,143.14600000000002,4,5,1,1,5,88.37,-0.29622999999999994,1
N=C1CC(=O)CNC1=O,126.11499999999998,3,2,0,1,4,70.02000000000001,-0.9048300000000002,0
N=C1C=C=C(CO)NN1,125.13099999999999,3,4,1,1,4,68.14,-0.8972300000000002,0
N=c1nccc(CCN)[nH]1,138.174,3,3,2,1,4,78.55000000000001,-0.6096300000000001,0
CC1(C(=N)N)NCC1=N,126.16300000000001,3,4,1,1,4,85.75,-0.695959999999999,1
NC(=O)CC1(N)CC1=O,128.131,3,2,2,1,4,86.18,-1.4679000000000006,1
N=C1COCC(=O)CN1,128.131,3,2,0,1,4,62.18,-0.8474300000000001,0
CCC1OC(=O)CC1=N,127.14299999999999,3,1,1,1,3,50.150000000000006,0.73167,1
CC1NC(C=N)NC1=O,127.14699999999999,3,3,1,1,4,64.98,-0.9300300000000004,2
N#Cc1o[nH]c1CCO,126.11499999999998,3,2,2,1,4,72.95,0.014180000000000026,0
N=C1CC(=NO)C(N)C1,127.14699999999999,4,3,0,1,4,82.46,-0.0425299999999999,1
NCC1C(=O)CC1(N)O,130.14700000000002,4,3,1,1,4,89.34,-1.8185999999999998,2
N=CC1=CC(=N)NC1N,124.147,3,4,1,1,4,85.75,-0.5723600000000004,1
CC1(CO)N=C(N)C1N,129.163,4,3,1,1,4,84.63,-1.5644999999999996,2
NCc1cnc(N)c(N)c1,138.174,4,3,1,1,4,90.94999999999999,-0.29530000000000006,0
CC1CNC(=O)NC1O,130.147,2,3,0,1,4,61.36,-0.7463,2
N=c1cc(CO)occ1N,140.14199999999997,4,3,1,1,4,83.24,-0.16642999999999997,0
CC1COC(=N)OC1O,131.131,4,2,0,1,4,62.540000000000006,-0.07752999999999999,2
N=C1CC(=N)C(N)(CO)O1,143.146,5,4,1,1,5,103.18,-0.94896,1
O=C1CC(=CO)C(O)N1,129.11499999999998,3,3,0,1,4,69.56,-0.7334,1
C#CC(=NO)c1cc[nH]n1,135.12599999999998,3,2,1,1,4,61.27,0.22119999999999995,0
N#CC1=NC(N)C=C1N,122.131,4,2,0,1,4,88.19,-0.90802,1
N=c1[nH]cc(C(O)CO)[nH]1,143.14600000000002,3,5,2,1,5,95.89000000000001,-1.1520300000000003,1
N=c1cc[nH]c(N)c1N,124.147,3,4,0,1,4,91.67999999999999,-0.34143000000000007,0
CC1=CC(=N)OCC1=N,124.143,3,2,0,1,3,56.93,0.95994,0
NC1=NC(O)CC(=O)C1,128.13099999999997,4,2,0,1,4,75.68,-0.9751000000000001,1
CC1N=C(O)CC(O)N1,130.147,3,3,0,1,4,64.85000000000001,-0.39940000000000014,2
N#CC1NC=CC(=N)N1,122.13099999999999,3,3,0,1,4,71.7,-0.48015000000000024,1
NC1(O)CC(=O)CC1O,131.131,4,3,0,1,4,83.55,-1.6425000000000003,2
NC(=O)C1C=NCC1N,127.147,3,2,1,1,4,81.47,-1.5003999999999993,2
CC1(N)NC=C(N)CO1,129.163,4,3,0,1,4,73.3,-0.9612999999999994,1
N=C1NC(=N)C(CCO)N1,142.162,3,5,2,1,5,91.99000000000001,-1.15776,1
C#CC1=NNC=C(O)C=N1,135.12599999999995,4,2,0,1,4,56.980000000000004,0.006499999999999895,0
CC1=CN=C(N)C(O)=CN1,139.158,4,3,0,1,4,70.64,0.20750000000000007,0
CC1(O)NCC1(N)C=N,129.163,4,4,1,1,4,82.13,-1.354829999999999,2
CC1(C)C(=O)C1=NO,113.11599999999999,3,1,0,1,3,49.66,0.42550000000000004,0
NC1CCNC(=O)CC1O,144.17399999999998,3,3,0,1,4,75.35,-1.4154,2
CC1(C)C(=O)CNC1N,128.17499999999998,3,2,0,1,3,55.120000000000005,-0.5303000000000002,1
CCc1n[nH]c(=O)cc1O,140.14199999999997,3,2,1,1,4,65.98,0.037900000000000045,0
NC1=C(N)C(C=O)CO1,128.13099999999997,4,2,1,1,4,78.34,-1.0818000000000003,1
N=c1nccc(CCO)[nH]1,139.158,3,3,2,1,4,72.75999999999999,-0.5760300000000003,0
N=C1NCC=C(O)C(O)N1,143.146,3,5,0,1,5,88.37,-1.1257300000000003,1
N#CC1OCC(C=N)C1N,139.15799999999996,4,2,1,1,4,82.89,-0.49815000000000004,3
CC1=C(CO)OC(N)=NN1,143.14600000000002,5,3,1,1,5,79.87,-0.9403000000000001,0
N=C(N)CN1CC1=CO,127.14699999999998,3,3,2,1,4,73.11,-0.36263000000000006,0
Nc1nc(CO)c(N)o1,129.119,5,3,1,1,5,98.3,-0.6687000000000003,0
N#CC1(N)C=NCOC1,125.13099999999999,4,1,0,1,4,71.4,-0.7340200000000001,1
N=C1CCC1C(=O)CN,126.15899999999999,3,2,2,1,3,66.94,-0.05602999999999991,1
CC1(N)NC(=O)C1CO,130.147,3,3,1,1,4,75.35,-1.6003999999999998,2
NC1C=C(C=O)NC1=O,126.11499999999998,3,2,1,1,4,72.19,-1.4737000000000002,1
N=C1NCC1=NCO,113.12,3,3,1,1,4,68.47,-1.0423300000000002,0
CC1=CC(N)=CNN1N,126.16300000000003,4,3,0,1,4,67.31,-0.6157999999999999,0
NCC(=O)CC1N=C(N)N1,142.162,5,3,3,1,5,93.5,-1.8516999999999992,1
CCC1CNC(O)C1=N,128.17499999999998,3,3,1,1,3,56.11,-0.04603000000000007,2
N=C1CCC(=O)NCC1N,141.17399999999998,3,3,0,1,4,78.97,-0.7565299999999999,1
N=c1[nH]cc(C(N)CO)o1,143.14600000000002,4,4,2,1,5,99.03,-0.9207300000000003,1
N=C1NC(N)CCC1O,129.163,3,4,0,1,4,82.13000000000001,-1.0072299999999998,2
N=C1NC(CCO)C=C1N,141.17399999999998,3,4,2,1,4,82.13,-0.8395299999999999,1
CC(O)c1cc(N)[nH]c1N,141.17399999999998,3,4,1,1,4,88.06,0.23239999999999994,1
Cc1n[nH]c(N)c1NC#N,137.146,4,3,1,1,5,90.52000000000001,0.19330000000000003,0
CC(=O)C1CC(N)C1O,129.15900000000002,3,2,1,1,3,63.32000000000001,-0.7165000000000004,3
N=C1NC(N)=C1C=O,111.104,3,3,1,1,4,78.97,-1.0639299999999998,0
N#CCc1[nH]c(N)cc1N,136.158,3,3,1,1,4,91.61999999999999,0.2451799999999999,0
N=C1NC(=O)CCC1N,127.147,3,3,0,1,4,78.97,-0.7990300000000004,1
CC1(N)CCC(=N)NC1,127.191,2,3,0,1,3,61.900000000000006,0.06446999999999992,1
CC1(O)CNC1(O)C=N,130.147,4,4,1,1,4,76.34,-1.3212300000000003,2
N#CC1CC(NO)C1=N,125.13099999999999,4,3,1,1,4,79.9,-0.10295000000000021,2
N#CC1=C(C=N)OC1,108.09999999999998,3,1,1,1,3,56.870000000000005,0.44384999999999997,0
N=C1N=C(CO)C(C[NH3+])N1,143.17,2,4,2,1,5,96.11,-2.4318299999999997,1
N=C1C=C=C(CCO)N1,124.14299999999999,2,3,2,1,3,56.11,-0.01173000000000013,0
NC(=O)C1=NCCC1=O,126.115,3,1,1,1,4,72.52000000000001,-1.1145,0
CC1=NN=COC=C1N,125.13099999999999,4,1,0,1,4,59.97,0.2209000000000001,0
CC1=C(N)NC(CO)=CN1,141.17399999999998,4,4,1,1,4,70.31,-0.8394000000000001,0
N#Cc1ncc(CN)[nH]1,122.131,3,2,1,1,4,78.49000000000001,-0.25992000000000004,0
CC1(N)C(N)CC1NO,131.179,4,4,1,1,4,84.3,-1.2177999999999993,3
NC1=CNC(=O)C(N)C1,127.147,3,3,0,1,4,81.14,-1.3662999999999994,1
N=C(C=C1OC1N)CCO,142.15800000000002,4,3,3,1,4,82.63000000000001,-0.41253000000000023,1
N=C1CNCC1(O)CN,129.16299999999998,4,4,1,1,4,82.13,-1.7008299999999998,1
N=C1NC=C=C(O)C1O,126.11499999999998,3,4,0,1,4,76.34,-0.5177300000000002,1
NC(=O)CC1=CC1CO,127.14299999999997,2,2,3,1,3,63.32000000000001,-0.5897000000000001,1
N=C1CCC(=O)C(N)N1,127.14699999999999,3,3,0,1,4,78.97,-0.7990300000000004,1
Cc1[nH]ncc1NN,112.136,3,3,1,1,4,66.73,0.00371999999999989,0
CC1NCC(=O)NC1N,129.16299999999998,3,3,0,1,4,67.15,-1.620899999999999,2
N=C(O)C1NCCC1N,129.16299999999998,3,4,1,1,4,82.13,-0.7891300000000003,2
N=C1CC(N)CC(O)C1,128.17499999999998,3,3,0,1,3,70.10000000000001,-0.12173000000000023,2
CC1(C(=N)O)C(N)C1O,130.147,3,4,1,1,4,90.33,-0.77023,3
N=C1CNC(O)=C(N)C1,127.14699999999999,4,4,0,1,4,82.13,-0.31472999999999995,0
N=C1OCC=CC1(N)N,127.147,4,3,0,1,4,85.11999999999999,-0.8362300000000003,0
CC1(C(=O)NO)C=C1N,128.13099999999997,3,3,1,1,4,75.35,-0.6456999999999999,1
N#CC1(O)OCCNC1=N,141.13,4,3,0,1,5,89.13,-1.2043500000000005,1
CC1(C#N)NCNC1=N,124.14699999999999,3,3,0,1,4,71.7,-0.6037500000000005,1
NC(=O)C1(O)CCC1N,130.14699999999996,3,3,1,1,4,89.34,-1.6761,2
CC1NC(=O)CC(=N)O1,128.131,3,2,0,1,4,62.18000000000001,-0.15383000000000008,1
N=C1CC(N)NC1=O,113.11999999999999,3,3,0,1,4,78.97,-1.18913,1
N#Cc1cc(O)c(CN)[nH]1,137.142,3,3,1,1,4,85.82999999999998,0.05068,0
CC1NC=CC(=O)NC1=O,140.142,3,2,0,1,4,58.2,-0.8654000000000002,1
N=COC1CCNC1=N,127.147,3,3,2,1,4,68.96000000000001,-0.05076000000000025,1
NC1=CC(C=O)NC1N,127.147,4,3,1,1,4,81.14,-1.7154999999999996,2
CC1(C(N)=O)NC1=N,113.11999999999999,2,3,1,1,4,88.88,-1.1891299999999996,1
N#CC(O)NC1CC1=N,125.13099999999999,4,3,2,1,4,79.9,-0.7899500000000002,2
NC1CC(O)CC(O)=N1,130.147,3,3,0,1,4,78.84,-0.6176000000000006,2
CC1=CNC(O)=CN1N,127.147,4,3,0,1,4,61.519999999999996,-0.016499999999999848,0
N=C1C=C(O)C(=N)C1,110.11599999999999,3,3,0,1,3,67.93,0.87154,0
N=C1CCC(N)C(=NO)C1,141.17399999999998,4,3,0,1,4,82.46000000000001,0.3475700000000001,1
N=C1C=CC1C(=O)CO,125.12699999999998,3,2,2,1,3,61.150000000000006,-0.2464300000000001,1
NCC1CC1(N)C(N)=O,129.163,3,3,2,1,4,95.13,-1.8521999999999998,2
N#CC(CC1CC1=N)=NO,137.142,4,2,2,1,4,80.23,0.7699499999999999,1
N#CC(CO)C1NCO1,128.131,4,2,2,1,4,65.28,-0.9781200000000001,2
NC1(N)CCCNC1=O,129.163,3,3,0,1,4,81.13999999999999,-1.4899000000000002,0
CC(=O)c1cc(O)[nH]n1,126.11499999999998,3,2,1,1,4,65.97999999999999,0.31789999999999996,0
NC(=O)CC1(O)CNC1,130.147,3,3,2,1,4,75.35000000000001,-1.8039,0
N=C1NC=COC1CO,128.131,3,3,1,1,4,65.34,-0.58443,1
