SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1C=C=CCC2CC12,120.19499999999998,0,0,0,2,0,0.0,2.3736000000000006,3
C#CCC1=CCCC1C,120.19499999999998,0,0,1,1,0,0.0,2.3660000000000005,1
CC1=CC(C)C(C)C1C,124.22699999999999,0,0,0,1,0,0.0,2.8546000000000014,3
CC1=CC(C)C2CC2C1,122.211,0,0,0,2,0,0.0,2.608600000000001,3
CC#CC1CCC2CC12,120.195,0,0,0,2,0,0.0,2.0558,3
CCC#CC12CCC1C2,120.19499999999998,0,0,0,2,0,0.0,2.1999000000000004,2
C#CC1CC2CCC1C2,120.195,0,0,0,2,0,0.0,2.0558,3
C#CC1(C)CCC1CC,122.21099999999998,0,0,1,1,0,0.0,2.445900000000001,2
CC1C=CC(C)C2CC12,122.21099999999998,0,0,0,2,0,0.0,2.4645,4
CC#CCC1CC2CC12,120.19499999999998,0,0,1,2,0,0.0,2.0558,3
C#CCC1CC2CC(C)C12,134.222,0,0,1,2,0,0.0,2.3018,4
CC1CC=CCC2C=C12,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
C1=CC2=CCCCC2C1,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
CC#CC1CC2CCC12,120.195,0,0,0,2,0,0.0,2.0558,3
CC1=CCC2CC1C2C,122.21099999999998,0,0,0,3,0,0.0,2.608600000000001,3
CCC#CC1(C)C2CC21,120.19499999999996,0,0,0,2,0,0.0,2.0558,2
C#CC1CCC2CCC12,120.195,0,0,0,2,0,0.0,2.0558,3
CC1=CCC(C)C2CC12,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,3
CC#CC12CCC1(C)C2,120.195,0,0,0,2,0,0.0,2.1999000000000004,2
C#CC1=CCCCC2CC12,132.20600000000002,0,0,0,2,0,0.0,2.3660000000000005,2
CC1=CCC(C)C12CC2,122.211,0,0,0,2,0,0.0,2.752700000000001,1
C#CC1CC2CC=CCC12,132.206,0,0,0,2,0,0.0,2.2218999999999998,3
CC1CC(C)C2C(C)C12,124.22699999999998,0,0,0,2,0,0.0,2.5444000000000004,4
CC(C)C=CC1C2C(C)C12,136.23799999999997,0,0,2,2,0,0.0,2.7105000000000006,2
CC1=C(C)C2(C)C(C)C12,122.21099999999997,0,0,0,2,0,0.0,2.608600000000001,3
C#CC1CC2CC(C)C12,120.19499999999998,0,0,0,2,0,0.0,1.9117,4
C#CC1CC2C(C)CC12,120.19499999999998,0,0,0,2,0,0.0,1.9117,4
