SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC(N)(F)C(F)(F)F,131.072,1,1,0,0,5,26.02,1.1931000000000003,1
Fc1cc(F)c(F)cn1,133.072,1,0,0,1,4,12.89,1.4989,0
CN(F)C(F)CC(F)F,145.099,1,0,3,0,5,3.24,1.7535,1
O=C1NC(F)C(F)C1F,139.076,1,1,0,1,5,29.1,0.08800000000000002,3
COC1OC1CC(F)(F)F,156.10299999999998,2,0,2,1,5,21.759999999999998,1.3101000000000003,2
C#CC(O)(F)CC(F)F,138.088,1,1,2,0,4,20.23,0.9329000000000001,1
CNC(F)(F)C(F)(F)F,149.06199999999998,1,1,1,0,6,12.03,1.3609,0
COC1NOC1C=NF,134.10999999999999,4,1,2,1,5,42.849999999999994,-0.18239999999999984,2
CC1CC(=CF)C1(F)F,136.11599999999999,0,0,0,1,3,0.0,2.514900000000001,1
N#CC1(F)CCCC1F,131.125,1,0,0,1,3,23.79,1.74028,2
CNC(F)C(=O)CC(F)F,155.11899999999997,2,1,4,0,5,29.1,0.7257,1
COC1CC1C(F)F,122.114,1,0,2,1,3,9.23,1.2864,2
O[N+](F)C(F)C(F)(F)F,151.034,2,1,1,0,7,26.130000000000003,1.2581000000000002,1
CC(F)(F)OC1CCO1,138.113,2,0,2,1,4,18.46,1.3620999999999999,1
FOC1CCC(F)O1,124.086,2,0,1,1,4,18.46,1.3195999999999999,2
CC(F)OC(F)(F)C(F)F,164.07299999999998,1,0,3,0,6,9.23,2.1764,1
COC1N=CC(F)(F)O1,137.085,3,0,1,1,5,30.82,0.6102000000000001,1
CC1OCC(N)CC1=O,129.159,3,1,0,1,3,52.32,-0.30840000000000023,2
COC(F)C1C=NC=CN1,144.149,3,1,2,1,4,33.62,0.4422,2
CNOC(F)C(F)(F)F,147.071,2,1,2,0,6,21.259999999999998,0.9953000000000001,1
CC1OC(C(F)F)C1C,136.141,1,0,1,1,3,9.23,1.6748999999999998,3
OC=C1C(O)CC1F,118.107,2,2,0,1,3,40.46,0.531,2
OC1CCN1OC(F)F,139.10099999999997,3,1,2,1,5,32.7,0.16470000000000007,1
