SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC12NC3CC3CC1O2,125.17099999999999,2,1,0,3,2,24.56,0.4831999999999999,4
OC1C2C=CC3CC12CO3,138.166,2,1,0,3,2,29.46,0.3221999999999998,4
OC1C2CC3COC1C32,126.15499999999997,2,1,0,3,2,29.46,0.01200000000000001,5
OC1C=C2CC3NC1C23,123.15499999999997,2,2,0,3,2,32.26,-0.35240000000000027,4
CC12OC3CCC3C1O2,126.15499999999999,2,0,0,3,2,21.759999999999998,0.9101999999999999,4
CC1NC2C3CC1C2C3,123.19899999999998,1,1,0,4,1,12.03,1.0027,5
COC12C=CC3NC1C32,123.15499999999997,2,1,1,3,2,21.259999999999998,-0.0884000000000002,4
OC1C2COC12C1CC1,126.15499999999999,2,1,1,3,2,29.46,0.1560999999999999,3
CC12CC3OC3CC1O2,126.15499999999999,2,0,0,3,2,25.06,0.7051,4
OCC12CC3CC3(C1)C2O,140.182,2,2,1,4,2,40.46,0.1397,4
OC1C=C2C3COC1C23,124.13899999999997,2,1,0,3,2,29.46,-0.06790000000000007,4
CC12CC(=NO)C3C1C32,123.15499999999997,2,1,0,4,2,32.59,1.1024,2
CC12OC3CCC1C2O3,126.15499999999999,2,0,0,4,2,18.46,0.9101999999999999,4
CC12C(O)C3CC1C2O3,126.15499999999999,2,1,0,4,2,29.46,0.15449999999999992,5
OC1C2CC3CC3C12O,126.15499999999997,2,2,0,3,2,40.46,-0.25199999999999995,5
CC12C(O)C3CCC1N32,125.171,2,1,0,3,2,23.240000000000002,-0.03380000000000005,5
OC12C=CC1CC1NC12,123.15499999999999,2,2,0,3,2,42.17,-0.3524000000000002,4
OC12C=CCC3CC1N32,123.155,2,1,0,3,2,23.240000000000002,0.09139999999999993,4
CC12CC3CC1(O)C32O,126.15499999999999,2,2,0,3,2,40.46,-0.1079,4
OC1C2C=CC3NC3C12,123.15499999999997,2,2,0,3,2,42.17,-0.49650000000000016,5
CC12CC3NC3CC1O2,125.17099999999998,2,1,0,3,2,34.47,0.27810000000000007,4
CC12CCC3(O)CC1C32,124.18299999999998,1,1,0,3,1,20.23,1.1673,4
CC12CC3(O)CC1C32,110.15599999999998,1,1,0,3,1,20.23,0.7771999999999999,4
CC12CC1C1OCC12,110.15599999999999,1,0,0,3,1,9.23,1.0412,4
OCC1C2CC(O)C3C1C23,140.182,2,2,1,3,2,40.46,-0.14850000000000008,6
CC1C2NC1C1OCC21,125.17099999999998,2,1,0,4,2,21.259999999999998,-0.008500000000000174,5
CC1C2COC3C2C13C,124.18299999999998,1,0,0,3,1,9.23,1.2872,5
OC1C2=CCC3OC1C23,124.13899999999998,2,1,0,3,2,29.46,0.0746,4
CC12CC1(O)C1OCC12,126.15499999999997,2,1,0,3,2,29.46,0.15609999999999996,4
OC1C2C3CCC3CC12O,140.18200000000002,2,2,0,3,2,40.46,0.13809999999999995,5
CC1CC2N3C1CC23O,125.17099999999998,2,1,0,3,2,23.240000000000002,0.17129999999999995,5
OCC12CCC1(O)C1CC12,140.182,2,2,1,3,2,40.46,0.1397,4
CC12CCC3C(N1)C32O,125.17099999999998,2,2,0,3,2,32.26,-0.12840000000000018,4
CC1=C2CC1CC1NC21,121.18299999999998,1,1,0,4,1,21.94,1.0669,3
OC1C2CCC3C1C3C2O,140.182,2,2,0,4,2,40.46,-0.00599999999999995,4
CC1C2C3CNC3(O)C12,125.17099999999999,2,2,0,3,2,32.26,-0.20989999999999986,5
CC12C(O)C1OC1CC12,126.15499999999999,2,1,0,3,2,29.46,0.15450000000000003,5
CC12C3CCC1(CO)C32,124.18299999999999,1,1,1,4,1,20.23,1.0248,4
CC12CC3C(O)C3C1N2,125.17099999999998,2,2,0,3,2,42.17,-0.27250000000000013,5
CC1OC2C3CC1C32O,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999992,5
CC1NC12CCC1NC12,124.18699999999998,2,2,0,3,2,43.88,-0.1489000000000002,4
CCC12CC1OC1CC12,124.18299999999996,1,0,1,3,1,9.23,1.5737999999999999,4
OC12CCC1NC1CC12,125.17099999999998,2,2,0,3,2,32.26,-0.1284000000000003,4
CCC12CC3CC1(O)N32,125.17099999999998,2,1,1,3,2,23.240000000000002,0.31539999999999996,4
CC1CC2C3CC(N3)OC12,139.198,2,1,0,4,2,21.259999999999998,0.7291999999999998,5
CC1(O)C2OC3C1C32C,126.15499999999999,2,1,0,3,2,29.46,0.15450000000000008,5
OCC1=CCC2C3C1C23O,138.166,2,2,1,4,2,40.46,-0.08429999999999999,4
CC12OCC3CC1C2O3,126.15499999999997,2,0,0,4,2,18.46,0.5626,4
OC1CC2CC3OC2C13,126.15499999999997,2,1,0,4,2,29.46,0.15449999999999986,5
OC12CC3CCC3C1C2,124.18299999999999,1,1,0,3,1,20.23,1.1673,4
CC12OC3CC(O)C1C32,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999992,5
CC12CC1C1CCC1O2,124.18299999999999,1,0,0,3,1,9.23,1.5737999999999999,4
CC1C2OC3C1(C)C23O,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999992,5
CC12CN3CCC3C1N2,124.18699999999998,2,1,0,3,2,25.18,-0.19519999999999998,3
CC12COC3C1C32CO,126.15499999999997,2,1,1,4,2,29.46,0.013600000000000001,4
CC12CC(O)C3C1NC32,125.17099999999998,2,2,0,5,2,32.26,-0.27250000000000013,3
CC1=CC2C3CCC1N23,121.183,1,0,0,3,1,3.01,1.1615,4
CC1C2C3OCC2(O)C13,126.15499999999999,2,1,0,5,2,29.46,0.011999999999999955,2
CC1OC=C2C3NCC1C23,137.182,2,1,0,3,2,21.259999999999998,0.5067999999999999,4
CC1OC2CC3OC1C23,126.15499999999997,2,0,0,3,2,18.46,0.5609999999999999,5
CC12C=CC(CC1O)NC2,139.19799999999998,2,2,0,3,2,32.26,0.2853,3
CC1=CC2C(O)C3C1C23,122.16699999999997,1,1,0,3,1,20.23,0.7991999999999999,5
CC12CCC1(O)C1NC12,125.17099999999998,2,2,0,3,2,42.17,-0.12840000000000001,4
CC1OC2CC1C21CN1,125.17099999999999,2,1,0,4,2,31.17,0.1356,4
CC12CC3OCC1C2O3,126.15499999999999,2,0,0,4,2,18.46,0.7677,4
COC1C2CC3OC2C31,126.15499999999999,2,0,1,5,2,18.46,0.41849999999999987,5
CC1C2NC1C1CCC12,123.19899999999998,1,1,0,4,1,12.03,1.0027,4
OC12CCC3CC1C32O,126.15499999999997,2,2,0,3,2,40.46,-0.10790000000000005,4
OC1C2C=CC3C2C13O,124.13899999999997,2,2,0,3,2,40.46,-0.47600000000000015,5
OCC12CCC1C21CC1O,140.182,2,2,1,3,2,40.46,0.1397,4
CC12C3=CCC(O)C1C32,122.16699999999997,1,1,0,3,1,20.23,0.9433,4
CC1C2CC(O)C3C1NC23,139.19799999999998,2,2,0,4,2,32.26,-0.026500000000000135,6
CC12CCC3CC3C1O2,124.18299999999998,1,0,0,3,1,12.53,1.5737999999999999,4
OCC1OC2C3CC1C32,126.15499999999997,2,1,1,3,2,29.46,0.01200000000000001,5
CC1CC2C(O)C3C1N23,125.17099999999998,2,1,0,3,2,23.240000000000002,-0.1779000000000001,6
CC1(C)C2CC3C1C32O,124.18299999999998,1,1,0,3,1,20.23,1.0231999999999999,4
CC12CCC3NC3C1C2,123.19899999999998,1,1,0,3,1,21.94,1.1468,4
CC1C2CC(O)C3C1C23,124.18299999999996,1,1,0,3,1,20.23,0.8791,6
CC12CC3C(C=CC31)O2,122.16699999999997,1,0,0,4,1,9.23,1.3497999999999999,4
CC1C2CC1C(C#N)N2,122.17099999999999,2,1,0,3,2,35.82,0.50638,4
CC1C2COCC3OC1C32,140.182,2,0,0,3,2,18.46,0.6660999999999999,5
CC1C2NC3OCC2C31,125.17099999999998,2,1,0,4,2,21.259999999999998,0.19659999999999994,5
CC12COC1C1CCC12,124.18299999999998,1,0,0,3,1,9.23,1.4313,4
CC1C2NC3CC3C1O2,125.17099999999998,2,1,0,4,2,21.259999999999998,0.3391,5
CN1C(O)C2CC3CC1C32,139.198,2,1,0,3,2,23.47,0.27479999999999993,5
CC(O)C12CC1(C)CC2O,142.198,2,2,1,2,2,40.46,0.5282,4
CC12CC3CC1C(O)C32,124.18299999999998,1,1,0,5,1,20.23,1.0231999999999999,5
OCC12C3C=CC1C32O,124.13899999999997,2,2,1,4,2,40.46,-0.4744000000000001,2
OC12C3CCC1C2OC3,126.15499999999999,2,1,0,3,2,29.46,0.1560999999999999,4
CC12CC3CC1(O)C2N3,125.17099999999999,2,2,0,4,2,32.26,-0.12839999999999996,4
CC1(O)C2CCC3C1N32,125.171,2,1,0,3,2,23.240000000000002,-0.03380000000000005,5
CC1OC2C3OC=C1C32,124.13899999999997,2,0,0,3,2,18.46,0.6861999999999999,4
CC1N2C=CC3CCC312,121.18299999999999,1,0,0,3,1,3.01,1.3666,3
CC12CC3C(CO)C1C32,124.18299999999998,1,1,1,3,1,20.23,0.8807,5
OC1C2C=CC3CC1C32,122.16699999999997,1,1,0,3,1,20.23,0.7991999999999999,5
C1C2OCC3C1OCC23,126.15499999999997,2,0,0,3,2,18.46,0.4200999999999999,4
CC12COCC1C1CN12,125.17099999999999,2,0,0,3,2,12.24,0.08929999999999993,4
CC12NC3CCC3C1O2,125.17099999999999,2,1,0,3,2,24.56,0.4831999999999999,4
CC1C2OC3C(O)C2C13,126.15499999999996,2,1,0,5,2,29.46,0.01039999999999991,6
