SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
N=c1ncc(CO)no1,127.103,5,2,1,1,5,83.0,-0.9586300000000001,0
N=c1[nH]cnc(O)c1N,126.119,4,4,0,1,5,98.78,-0.8230300000000002,0
NC1=CC=NOC1=C=NO,139.114,5,2,0,1,5,80.2,-0.2122000000000001,0
N#Cc1nocc1CN,123.115,4,1,1,1,4,75.84,0.0049800000000000955,0
N#Cc1ncc(N)nc1N,135.13,5,2,0,1,5,101.61,-0.48732000000000014,0
Nc1cc(O)c(N)cn1,125.131,4,3,0,1,4,85.16,-0.0484,0
Nc1cnc(N)c(N)n1,125.13500000000002,5,3,0,1,5,103.83999999999999,-0.7767999999999999,0
N#Cc1ocnc1N,109.08800000000001,4,1,0,1,4,75.84,0.12848000000000004,0
Nc1cc(O)nnc1N,126.11900000000001,5,3,0,1,5,98.05,-0.6534000000000002,0
Nc1conc1CO,114.104,4,2,1,1,4,72.28,-0.2508999999999998,0
N#Cc1nc(C=O)co1,122.08299999999997,4,0,1,1,4,66.89,0.35878,0
Nc1cnc(N)c(C=O)n1,138.13,5,2,1,1,5,94.89,-0.5465,0
N=c1ncnc(CO)o1,127.10299999999998,5,2,1,1,5,83.0,-0.9586299999999999,0
Nc1cnc(N)c(O)n1,126.119,5,3,0,1,5,98.05,-0.6534000000000001,0
CN1NC(=O)OC=C1N,129.11899999999997,4,2,0,1,5,67.59,-0.6694,0
N#Cc1cnnc(N)n1,121.10300000000001,5,1,0,1,5,88.48,-0.6745200000000002,0
N=C1OCC(=O)CC1=O,127.09899999999999,4,1,0,1,4,67.22,-0.47783,0
Nc1noc(C=O)c1O,128.087,5,2,1,1,5,89.35000000000001,-0.22510000000000002,0
Nc1cc(=O)nc(O)o1,128.087,5,2,0,1,5,89.35000000000001,-0.6774000000000002,0
N#Cc1cncc(N)n1,120.115,4,1,0,1,4,75.59,-0.06951999999999992,0
NC(=O)c1conc1N,127.103,4,2,1,1,5,95.14,-0.6443000000000001,0
N#CC1=C(N)OC(N)=NO1,140.102,6,2,0,1,6,106.65,-1.08572,0
N#CCn1ncc(N)n1,123.119,5,1,1,1,5,80.52,-0.6161200000000002,0
Nc1ncoc1CO,114.10399999999998,4,2,1,1,4,72.28,-0.2509,0
N#CC1=NNC(N)=NC1,123.119,5,2,0,1,5,86.56,-1.2161199999999996,0
N#CNc1cnoc1N,124.103,5,2,1,1,5,87.87,0.14977999999999997,0
Cc1nonc1N,99.093,4,1,0,1,4,64.94,-0.03978000000000004,0
Cc1cnc(N)oc1=N,125.131,4,2,0,1,4,75.9,0.04468999999999984,0
NC1=CON=C(CO)C=N1,141.13,5,2,1,1,5,80.2,-0.8067000000000002,0
N=c1cnc(N)ccn1,122.131,4,2,0,1,4,75.65,-0.4617300000000004,0
NC(=O)c1ccoc1N,126.11499999999998,3,2,1,1,4,82.25,-0.0393,0
Nc1occ(C=O)c1N,126.115,4,2,1,1,4,82.25,0.2565000000000001,0
N=c1cnoc(N)c1N,126.11900000000001,5,3,0,1,5,101.92,-0.6815300000000002,0
Cc1nc(N)noc1=O,127.103,5,1,0,1,5,82.00999999999999,-0.6795800000000001,0
COC1=CC(=O)OC1=O,128.083,4,0,1,1,4,52.6,-0.39990000000000014,0
Cc1nc(O)nc(O)n1,127.10299999999998,5,2,0,1,5,79.13000000000001,-0.40878000000000014,0
Cc1cc(N)nc(O)n1,125.13100000000001,4,2,0,1,4,72.03,0.07281999999999983,0
N=C1CC(=O)CN=CO1,126.11499999999998,4,1,0,1,4,62.510000000000005,-0.018629999999999924,0
N=c1c[nH+]c(N)ncc1O,139.138,4,3,0,1,5,97.13000000000001,-1.33703,0
N=c1oncc(N)c1O,127.10299999999998,5,3,0,1,5,96.13000000000001,-0.5581299999999999,0
Nc1c[nH]c(=O)cn1,111.104,3,2,0,1,4,71.77000000000001,-0.6479000000000001,0
N=c1nc(N)cc(O)o1,127.10299999999998,5,3,0,1,5,96.13000000000001,-0.5581300000000001,0
Nc1cc(=O)onc1N,127.10300000000001,5,2,0,1,5,95.14,-0.8008000000000002,0
Nc1ncnc(C=O)n1,124.10299999999998,5,1,1,1,5,81.76,-0.7337,0
N=C1OCCOC(=O)C1=N,142.114,5,2,0,1,5,83.23,-0.44316000000000016,0
NC(=O)c1oncc1N,127.103,4,2,1,1,5,95.14,-0.6443000000000003,0
N#Cc1[nH]nc(N)c1C=O,136.114,4,2,1,1,5,95.56,-0.32392000000000015,0
Cc1nc(N)n[nH]c1=N,125.135,4,3,0,1,5,91.44,-0.82521,0
N#Cc1noc(C=O)n1,123.07099999999998,5,0,1,1,5,79.78,-0.24622,0
N#Cc1nccc(N)n1,120.115,4,1,0,1,4,75.59,-0.06951999999999992,0
N=c1oc(O)nc(=O)o1,130.059,6,2,0,1,6,100.32000000000001,-1.18713,0
N=C1OC=CC(=O)C1=N,124.09899999999999,4,2,0,1,4,74.0,0.09643999999999997,0
Nc1cc(OC=O)on1,128.087,5,1,2,1,5,78.35000000000001,-0.20800000000000013,0
CC1=CNN=C(N)N1C#N,137.14600000000002,5,2,0,1,5,77.44,-0.5363199999999999,0
Nc1onnc1C=O,113.07599999999998,5,1,1,1,5,82.00999999999999,-0.5357000000000003,0
Nc1cnc(=O)ccn1,123.11499999999998,4,1,0,1,4,68.87,-0.5810000000000002,0
N#Cc1ncnc(N)n1,121.10300000000001,5,1,0,1,5,88.48,-0.6745200000000002,0
Cc1nnc(CN)n1C#N,137.14600000000002,5,1,1,1,5,80.52,-0.6256000000000002,0
N#Cc1nc(CN)no1,124.10300000000001,5,1,1,1,5,88.73,-0.60002,0
NC(=O)c1ncoc1N,127.103,4,2,1,1,5,95.14,-0.6443000000000003,0
NC1=COC(N)C1=O,114.104,4,2,0,1,4,78.34,-1.3293999999999997,1
Cc1nncnc1C#N,120.115,4,0,0,1,4,62.46,0.05169999999999991,0
Nc1nc(C=O)oc1N,127.10299999999998,5,2,1,1,5,95.14,-0.3485,0
N#Cc1noc(=N)oc1=O,139.07,6,1,0,1,6,103.88,-1.02105,0
N#COc1oncc1N,125.087,5,1,1,1,5,85.07,0.11668,0
Nc1oncc1CO,114.10399999999998,4,2,1,1,4,72.28,-0.2509,0
NC(=O)N1C=NC=CO1,127.10299999999998,3,1,0,1,5,67.92,-0.18819999999999992,0
N=c1oc(N)cc(=O)o1,128.087,5,2,0,1,5,93.22000000000001,-0.7055299999999998,0
CC1=NON=CNC1C#N,138.12999999999997,5,1,0,1,5,69.77000000000001,-0.18241999999999997,1
N#Cc1coc(C=O)n1,122.08299999999998,4,0,1,1,4,66.89,0.35877999999999993,0
N=c1oc(O)ncc1O,128.087,5,3,0,1,5,90.34,-0.43473,0
Cc1onnc1CN,113.12,4,1,1,1,4,64.94,-0.16327999999999998,0
Nc1ncc(O)nc1O,127.10299999999998,5,3,0,1,5,92.26,-0.53,0
N=c1ccc(C=O)no1,124.09899999999999,4,1,1,1,4,66.95,-0.033430000000000015,0
N#Cc1noc(CO)n1,125.08699999999999,5,1,1,1,5,82.94,-0.5664200000000001,0
N#Cc1nnc(CN)o1,124.103,5,1,1,1,5,88.73,-0.60002,0
NCc1nccnc1N,124.14699999999999,4,2,1,1,4,77.82,-0.4825000000000001,0
N#CC(=O)C1OC(=N)O1,126.07099999999998,5,1,1,1,5,83.17,-0.6132500000000001,0
NC(=O)C1=CCC(=O)N1,126.11499999999998,2,2,1,1,4,72.19,-1.1245,0
N=C1CC(=O)COC1=N,126.11499999999998,4,2,0,1,4,74.0,-0.027159999999999795,0
N=c1occ(O)nc1N,127.10300000000001,5,3,0,1,5,96.13,-0.5581300000000002,0
CC(=O)c1nonc1N,127.10300000000001,5,1,1,1,5,82.01,-0.14559999999999995,0
Nc1n[nH]c(C=O)c1C=O,139.11399999999998,4,2,2,1,5,88.84,-0.3831000000000002,0
Nc1cnoc1CO,114.10399999999998,4,2,1,1,4,72.28,-0.2508999999999998,0
Cc1ncnoc1=O,112.08799999999998,4,0,0,1,4,55.99,-0.2617800000000001,0
Nc1noc(C=O)c1C=O,140.09799999999998,5,1,2,1,5,86.19,-0.11820000000000003,0
N=c1cncc(N)cn1,122.131,4,2,0,1,4,75.65,-0.4617300000000002,0
Nc1cc(N)nc(N)n1,125.13500000000003,5,3,0,1,5,103.84,-0.7767999999999999,0
