SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1=NC(N)=NNN1C,127.15100000000001,5,2,0,1,5,66.00999999999999,-0.9154999999999998,0
Cc1nnc(N)oc1=O,127.103,5,1,0,1,5,82.00999999999999,-0.6795800000000001,0
Cc1nc(N)oc1N,113.12,4,2,0,1,4,78.07,0.1474200000000001,0
NCc1conc1CO,128.131,4,2,2,1,4,72.28,-0.37440000000000023,0
Nc1[nH]c(O)nc1C=O,127.10299999999998,4,3,1,1,5,92.0,-0.4900000000000001,0
Nc1cnc(N)c(N)n1,125.13500000000002,5,3,0,1,5,103.83999999999999,-0.7767999999999999,0
N=c1nc(N)nc(O)o1,128.091,6,3,0,1,6,109.02000000000001,-1.16313,0
Nc1cc(O)c(N)cn1,125.131,4,3,0,1,4,85.16,-0.0484,0
Nc1cnc(N)c(N)n1,125.13500000000002,5,3,0,1,5,103.83999999999999,-0.7767999999999999,0
Cc1n[nH]nc1NC=O,126.11899999999999,3,2,2,1,5,70.67,-0.31858000000000025,0
CNc1nc(N)ncc1N,139.16199999999998,5,3,1,1,5,89.85,-0.3173000000000003,0
Nc1conc1CO,114.104,4,2,1,1,4,72.28,-0.2508999999999998,0
CN=c1nc[nH]c(C)n1,124.14699999999999,3,1,0,1,4,53.93,-0.35638000000000036,0
N=c1nc(CN)cno1,126.119,5,2,1,1,5,88.79,-0.99223,0
N=c1ncnc(CO)o1,127.10299999999998,5,2,1,1,5,83.0,-0.9586299999999999,0
CN1NC(=O)OC=C1N,129.11899999999997,4,2,0,1,5,67.59,-0.6694,0
N=Cc1oc(O)cc1N,126.115,4,3,1,1,4,83.24,0.5650700000000001,0
Nc1noc(C=O)c1N,127.103,5,2,1,1,5,95.14,-0.3485000000000002,0
N#Cc1cnnc(N)n1,121.10300000000001,5,1,0,1,5,88.48,-0.6745200000000002,0
Nc1cnc(N)c(O)n1,126.119,5,3,0,1,5,98.05,-0.6534000000000001,0
Nc1noc(C=O)c1O,128.087,5,2,1,1,5,89.35000000000001,-0.22510000000000002,0
N#Cc1cnc(N)[nH]c1=N,135.13,4,3,0,1,5,102.34,-0.6569500000000004,0
Nc1cc(=O)nc(O)[nH]1,127.103,4,3,0,1,5,92.0,-0.9423000000000004,0
N=c1[nH]cncc1O,111.10399999999998,3,3,0,1,4,72.76,-0.4052300000000001,0
CC1=NC(N)=CN=NN1,125.135,5,2,0,1,5,75.13,0.1328000000000002,0
Cc1nc(N)nc(=O)[nH]1,126.119,4,2,0,1,5,84.66,-0.9444800000000002,0
