SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C1CC2C3OCC(O1)C23,126.15499999999999,2,0,0,3,2,18.46,0.4200999999999999,4
CC1CC2OC3(C)C1N23,125.17099999999999,2,0,0,3,2,12.24,0.7828999999999999,5
CC1C(O)C2C3CN1C32,125.17099999999999,2,1,0,3,2,23.47,-0.3204,5
CC1NC2C3CC1C2C3,123.19899999999998,1,1,0,4,1,12.03,1.0027,5
CC1C(O)C2C3CCC132,124.18299999999999,1,1,0,3,1,20.23,1.0231999999999999,5
CC12CC3OC3CC1O2,126.15499999999999,2,0,0,3,2,25.06,0.7051,4
CC12C(O)C3CC=CC1N32,137.182,2,1,0,3,2,23.240000000000002,0.13230000000000008,5
OC12CC=C3CC1C2O3,124.13899999999998,2,1,0,4,2,29.46,0.42379999999999995,3
CC1CC2(O)C3CC1C32,124.18299999999996,1,1,0,3,1,20.23,1.0231999999999999,5
C1C2=NCC3C1CC3C2,121.18299999999998,1,0,0,5,1,12.36,1.4871,2
C1OC2C3CCC2C1C3,124.18299999999999,1,0,0,3,1,9.23,1.4313,4
OC1C2CC3CC3C12O,126.15499999999997,2,2,0,3,2,40.46,-0.25199999999999995,5
OCC12CCC3C1CC32,124.18299999999998,1,1,1,5,1,20.23,1.0248,2
CC1=C2CC(CC1)C2O,124.18299999999998,1,1,0,3,1,20.23,1.4775,2
CC12C=CCC13COC23,122.167,1,0,0,3,1,9.23,1.3514,3
CC12CC3CC1C3C2O,124.18299999999998,1,1,0,5,1,20.23,1.0231999999999999,5
CN1C2C3CCC2(C)C31,123.199,1,0,0,5,1,3.24,1.0989,2
CC12CCC3(CCC13)N2,123.199,1,1,0,4,1,12.03,1.2909,3
CC12CC3CC3(CO1)C2,124.183,1,0,0,3,1,9.23,1.5754000000000001,3
CC12CCC1C1CNC12,123.19899999999998,1,1,0,3,1,12.03,1.0043,4
CC1(O)CC2C3CC2C31,124.18299999999998,1,1,0,5,1,20.23,1.0232,3
CC1C2C3COCC12O3,126.155,2,0,0,3,2,18.46,0.4200999999999999,4
CC1C2COC3C2C13C,124.18299999999998,1,0,0,3,1,9.23,1.2872,5
CC12CC1(C)C1OCC12,124.18299999999998,1,0,0,3,1,9.23,1.4313,4
CC12OC1C1CCNC12,125.17099999999999,2,1,0,3,2,24.56,0.1356,4
OC12CCC3CC1CC32,124.18299999999998,1,1,0,4,1,20.23,1.1673,4
CC12CCN3CC1C2C3,123.19899999999998,1,0,0,4,1,3.24,0.9580000000000001,2
C#CC12CCC1CC2O,122.16699999999997,1,1,0,2,1,20.23,0.7806,3
CC1CC2(C)C1C21CO1,124.18299999999998,1,0,0,3,1,12.53,1.4313,4
C#CC12CC3OC(C1)C32,120.15099999999997,1,0,0,3,1,9.23,0.7969999999999999,2
CC12C3C=CC1NC2C3,121.18299999999999,1,1,0,3,1,12.03,0.9228000000000001,4
OCC1C2CC3N=CC312,123.155,2,1,1,3,2,32.59,0.06779999999999986,4
CC12CC3CC1OC3C2,124.18299999999999,1,0,0,4,1,9.23,1.5737999999999999,4
CC1OC23CCC1C2C3,124.18299999999998,1,0,0,3,1,9.23,1.5737999999999999,4
CC1C2CC3CC(C2)N31,123.199,1,0,0,3,1,3.24,1.2414,3
CCC12CC1OC1CC12,124.18299999999996,1,0,1,3,1,9.23,1.5737999999999999,4
C#CC12CCC3OC1C32,120.15099999999997,1,0,0,3,1,9.23,0.7969999999999999,4
OC12CC3C(=CCC31)CN2,137.182,2,2,0,4,2,32.26,0.2444,3
CC12CC(CO1)C21CC1,124.183,1,0,0,4,1,9.23,1.5754000000000001,2
CC12NC1C1COCC12,125.17099999999999,2,1,0,3,2,31.17,-0.006900000000000128,4
CC12CN3CCC3C1N2,124.18699999999998,2,1,0,3,2,25.18,-0.19519999999999998,3
CC12COC3C1CC32C,124.18299999999998,1,0,0,5,1,9.23,1.4313,4
CC1OC2CC3CC3C12,124.18299999999998,1,0,0,3,1,9.23,1.4297,5
CC12CC(C1)C21CCN1,123.19900000000001,1,1,0,4,1,12.03,1.1484,1
CC1OC2C3C(C)C2C13,124.18299999999996,1,0,0,5,1,9.23,1.2856,3
CC1CC2C3C(=CO1)C23,122.16699999999997,1,0,0,4,1,9.23,1.5549,3
C1=CC2C3=CC1C2OC3,120.15099999999997,1,0,0,3,1,9.23,1.1274,3
CC1C2CC3=CC1N3C2,121.18299999999999,1,0,0,3,1,3.24,1.2241000000000002,3
CC12CC(O1)C1CCN12,125.171,2,0,0,4,2,12.47,0.5794,3
CC12CC3OC3C1C2,110.15599999999999,1,0,0,3,1,12.53,1.1837,4
COC12C3=CC1C2C=C3,120.15099999999995,1,0,1,3,1,9.23,1.1274,3
CC1C2CC3OC3C1C2,124.18299999999998,1,0,0,4,1,12.53,1.4297,5
CC1C2CC1C1CC1O2,124.18299999999998,1,0,0,4,1,9.23,1.4297,5
CC12CCC(O)C13CC23,124.18299999999998,1,1,0,3,1,20.23,1.1673,4
CC1OC2CC23C(C)C13,124.18299999999998,1,0,0,3,1,9.23,1.4297,5
CC1CC2CC3OC1C23,124.18299999999998,1,0,0,3,1,9.23,1.4297,5
CC12C3=CCC(O)C1C32,122.16699999999997,1,1,0,3,1,20.23,0.9433,4
C1C2CC3(CC3)COC12,124.18299999999998,1,0,0,3,1,9.23,1.5754,2
OC1C=CC2C3CC2C13,122.16699999999997,1,1,0,5,1,20.23,0.7991999999999999,3
OC1CC2C=C3CC1C32,122.16699999999997,1,1,0,3,1,20.23,0.9433,4
CC1C2CC3C(CO2)N13,125.17099999999999,2,0,0,4,2,12.24,0.23019999999999996,5
CC12CCC3CC1C2O3,124.18299999999998,1,0,0,4,1,9.23,1.5737999999999999,4
CC1C2CC3C(O)C2C13,124.18299999999996,1,1,0,5,1,20.23,0.8791,6
CC1OC2C(C)C3CN2C13,139.198,2,0,0,4,2,12.47,0.6813,6
CC1CCC23CC2OC1N3,139.19799999999998,2,1,0,3,2,21.259999999999998,0.8733,4
OC12CC3CCCC1C32,124.18299999999999,1,1,0,3,1,20.23,1.1673,4
CC12C3COC3C1C1OC12,138.166,2,0,0,4,2,21.759999999999998,0.41849999999999987,6
CN1C2CC3CC(O2)C1C3,139.19799999999998,2,0,0,4,2,12.47,0.8253999999999998,4
CCC12CC3C1C(O)C32,124.18299999999995,1,1,1,5,1,20.23,1.0231999999999999,2
CC1OC2C3(CC3)C12C,124.18299999999999,1,0,0,3,1,9.23,1.5737999999999999,3
CC12CC1C1CCC2O1,124.18299999999999,1,0,0,3,1,9.23,1.5737999999999999,4
