SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)CCCCO,126.155,2,1,4,0,2,37.3,0.3513,0
CC1(O)CCCCOC1,130.187,2,1,0,1,2,29.46,0.9379,1
CC1OCCCC1(C)O,130.187,2,1,0,1,2,29.46,0.9362999999999999,2
CC(C)OCCC(N)=O,131.175,2,1,4,0,3,52.32,0.28680000000000005,0
COCC1(C)CCOC1,130.18699999999998,2,0,2,1,2,18.46,1.0594000000000001,1
CCC(O)CCC(O)C=O,146.186,3,2,5,0,3,57.53,0.09730000000000005,2
CC1(O)NC1CCC=O,129.159,3,2,3,1,3,59.24,-0.3542000000000003,2
C#CC1CNCCN1,110.16,2,2,0,1,2,24.06,-0.8189999999999997,1
CCCC1(C=NO)CC1,127.18699999999998,2,1,3,1,2,32.59,2.0267,0
O=CC(CO)C1CCC1,128.171,2,1,3,1,2,37.3,0.5939000000000001,1
CCCC(=O)C#CCO,126.15499999999997,2,1,2,0,2,37.3,0.3513,0
CC1CC(CO)CCO1,130.187,2,1,1,1,2,29.46,0.7938000000000001,2
CC1(C=O)CCCOC1,128.171,2,0,1,1,2,26.3,1.002,1
CC(C)CC1COC1N,129.20299999999997,2,1,2,1,2,35.25,0.9637,2
CC1CC1(C)CNC=O,127.18699999999998,1,1,3,1,2,29.1,0.7785,2
CC1(O)CCCC1CO,130.187,2,2,1,1,2,40.46,0.5298,2
CC1(CCO)CC(=O)C1,128.171,2,1,2,1,2,37.3,0.738,0
CCC1COCC1O,116.15999999999998,2,1,1,1,2,29.46,0.4037,2
CC(C=O)CC1CNC1,127.187,2,1,3,1,2,29.1,0.4308999999999999,1
CC1(CNC=O)CC1,113.16,1,1,3,1,2,29.1,0.5325,0
CCC(=O)NCC1CC1,127.18699999999998,1,1,3,1,2,29.1,0.9225999999999999,0
CN1CCCC(C=O)C1,127.18699999999998,2,0,1,1,2,20.310000000000002,0.5270999999999999,1
CC1(CC=O)CCCO1,128.17100000000002,2,0,2,1,2,26.3,1.1445,1
CC(=O)CC1(C)COC1,128.171,2,0,2,1,2,26.3,1.002,0
C#CCC(O)CCCO,128.171,2,2,4,0,2,40.46,0.1431,1
CC(=O)CC(C)(O)C=O,130.14299999999997,3,1,3,0,3,54.37,-0.08459999999999995,1
CC(=O)CC1(CO)CC1,128.171,2,1,3,1,2,37.3,0.738,0
CC1(CO)CCCOC1,130.187,2,1,1,1,2,29.46,0.7953999999999999,1
CC(N)CC(C=O)CC=O,143.18599999999998,3,1,5,0,3,60.160000000000004,0.1277999999999997,2
CC(O)CC(C=O)CC=O,144.17,3,1,5,0,3,54.37,0.1614,2
CC1(C=O)CCCN1,113.16000000000001,2,1,1,1,2,29.1,0.32739999999999997,1
CCC(O)CC#CNC,127.187,2,2,2,0,2,32.26,0.32769999999999994,1
CC(=O)CC1CCOC1,128.171,2,0,2,1,2,26.3,1.002,1
CCC1(CO)CCC1=O,128.171,2,1,2,1,2,37.3,0.738,1
CCCC1CC(=O)CN1,127.187,2,1,2,1,2,29.1,0.7175,1
C#CC(CCO)CNC,127.187,2,2,4,0,2,32.26,-0.1624000000000001,1
CCC(O)CC1(O)CC1,130.18699999999998,2,2,3,1,2,40.46,0.6723,1
O=CCC(C=O)CCO,130.143,3,1,5,0,3,54.370000000000005,-0.22710000000000002,1
CC(=O)CCC1COC1,128.171,2,0,3,1,2,26.3,1.002,0
CCC(=O)C(C)CCO,130.187,2,1,4,0,2,37.3,0.984,1
CC(=O)CC1CCN1C,127.187,2,0,2,1,2,20.310000000000002,0.6696,1
CNC=CC(=O)CCO,129.15900000000002,3,2,4,0,3,49.33,-0.3289999999999999,0
CC1(C)OCCCO1,116.16000000000001,2,0,0,1,2,18.46,1.1594,0
CC1(C=O)CCNCC1,127.18700000000001,2,1,1,1,2,29.1,0.5749999999999997,0
CCC1(C)COCCO1,130.18699999999998,2,0,1,1,2,18.46,1.2019,1
CC(C)(O)C1COC1,116.16,2,1,1,1,2,29.46,0.4037,0
CNCCCC(C)C=O,129.20299999999997,2,1,5,0,2,29.1,0.821,1
N#CCC(CCO)CCO,143.186,3,2,5,0,3,64.25,0.28108000000000005,0
CC(=O)C1CC1(C)CO,128.171,2,1,2,1,2,37.3,0.5939000000000001,2
CCC(CO)C(C=O)CO,146.18599999999998,3,2,5,0,3,57.53,-0.18769999999999987,2
CCCN(CC#N)CCO,142.202,3,1,5,0,3,47.260000000000005,0.21427999999999986,0
CC(C)CC(O)COC=O,146.18599999999998,3,1,5,0,3,46.53,0.5664,1
CCCC(=O)C1CCN1,127.18699999999998,2,1,3,1,2,29.1,0.7175,1
CC(C)NC(C=O)CC=O,143.18599999999998,3,1,5,0,3,46.17,0.14089999999999964,1
CCC(C#N)CCCN,126.20300000000002,2,1,4,0,2,49.81,1.27508,1
CC1(CCCO)COC1,130.18699999999998,2,1,3,1,2,29.46,0.7954000000000001,0
CCCOC1(O)CCC1,130.18699999999998,2,1,3,1,2,29.46,1.2855,0
CC#CC1(O)CCOC1,126.15499999999999,2,1,0,1,2,29.46,0.16110000000000002,1
CC1CCC(O)COC1,130.18699999999998,2,1,0,1,2,29.46,0.7938000000000001,2
CC(C)N(C=O)CCO,131.175,2,1,4,0,3,40.540000000000006,-0.15450000000000003,0
CCCOC1(CO)CC1,130.18699999999998,2,1,4,1,2,29.46,0.9379,0
CCC1(COC)CCO1,130.18699999999998,2,0,3,1,2,18.46,1.2019,1
O=COC1CCCC1,114.144,2,0,2,1,2,26.3,1.1019999999999999,0
CC(O)CC(C=O)CCO,146.18599999999998,3,2,5,0,3,57.53,-0.04520000000000007,2
CC(N)CC1(C)CCN1,128.219,2,2,2,1,2,38.05,0.47570000000000007,2
C#CCC1NCCC1N,124.187,2,2,1,1,2,38.05,-0.3011000000000001,2
CC(C)(O)CC1CN1,115.176,2,2,2,1,2,42.17,0.11920000000000003,1
CCC1(O)CCCNC1,129.203,2,2,1,1,2,32.26,0.5108999999999999,1
O=CC(CO)CCCO,132.15900000000002,3,2,5,0,3,57.53,-0.4336999999999999,1
CC(C)(C=O)NCCO,131.175,3,2,4,0,3,49.33,-0.4541999999999999,0
CCOC(=O)CCC(C)=O,144.17,3,0,4,0,3,43.370000000000005,0.9187000000000001,0
O=CC1(CCCO)CC1,128.171,2,1,4,1,2,37.3,0.738,0
COCC1(C)NC1C=O,129.159,3,1,3,1,3,48.24,-0.4378000000000002,2
CC1CCC(=O)CCO1,128.171,2,0,0,1,2,26.3,1.1445,1
C#CC(O)CCCOC,128.171,2,1,4,0,2,29.46,0.4071,1
O=CCC(CC=O)CCO,144.17000000000002,3,1,6,0,3,54.370000000000005,0.16299999999999998,0
CC(=O)CCC(C)C=O,128.171,2,0,4,0,2,34.14,1.1906,1
CCCC(CO)CC(N)=O,145.202,2,2,5,0,3,63.32,0.27040000000000014,1
O=CC(O)CCCCCO,146.186,3,2,6,0,3,57.53,0.09890000000000004,1
CC1(CO)CCC(O)C1,130.18699999999998,2,2,1,1,2,40.46,0.5298,2
CC1(CC=O)CCN1,113.16000000000001,2,1,2,1,2,29.1,0.32739999999999997,1
CC1(C)COCCN1,115.176,2,1,0,1,2,21.259999999999998,0.38479999999999986,0
CC(=O)CC1CCNC1,127.187,2,1,2,1,2,29.1,0.575,1
CC1(CC=O)CCCO1,128.17100000000002,2,0,2,1,2,26.3,1.1445,1
COC(C)(CO)CC=O,132.159,3,1,4,0,3,46.53,-0.027200000000000057,1
CC1=CCCNC1CO,127.187,2,2,1,1,2,32.26,0.2869,1
O=CC(CO)CC1CC1,128.171,2,1,4,1,2,37.3,0.5939000000000001,1
CC1(O)CCCCCO1,130.187,2,1,0,1,2,29.46,1.2855,1
CC1(C)COCCCO1,130.187,2,0,0,1,2,18.46,1.2019,0
CC(=O)COC1CCC1,128.171,2,0,3,1,2,26.3,1.1445,0
CC(=O)C(O)CCCO,132.15900000000002,3,2,4,0,3,57.53,-0.29120000000000007,1
CCC1(C)NCCCO1,129.203,2,1,1,1,2,21.259999999999998,1.1225,1
CCC(C)(C=O)CCO,130.18699999999998,2,1,4,0,2,37.3,0.984,1
CCC(O)CC1(O)CC1,130.18699999999998,2,2,3,1,2,40.46,0.6723,1
C#CC=C(CO)NCC,125.17099999999999,2,2,3,0,2,32.26,0.10529999999999995,0
CNC(CC=O)C(C)C=O,143.18599999999998,3,1,5,0,3,46.17,-0.00160000000000049,2
CC1(COC=O)CCC1,128.171,2,0,3,1,2,26.3,1.3496000000000001,0
O=CCC(=O)CC1CC1,126.15499999999999,2,0,4,1,2,34.14,0.9446,0
COCCC(=O)CCO,132.15900000000002,3,1,5,0,3,46.53,-0.02560000000000001,0
CC(=O)CCCC(O)CO,146.18599999999998,3,2,5,0,3,57.53,0.09889999999999999,1
CC(=O)CCCC(C)N,129.203,2,1,4,0,2,43.09,1.0929,1
CC(O)CC1(CO)CC1,130.18699999999998,2,2,3,1,2,40.46,0.5298,1
COCC(=O)C1CCC1,128.171,2,0,3,1,2,26.3,1.0020000000000002,0
CCC(C)(CO)CCO,132.203,2,2,4,0,2,40.46,0.7773999999999999,1
CCCC(=O)CC(O)CO,146.18599999999998,3,2,5,0,3,57.53,0.09889999999999999,1
CCOC(O)CCC=O,132.159,3,1,5,0,3,46.53,0.3204000000000001,1
CCNC(=O)CCCCO,145.202,2,2,5,0,3,49.33,0.28509999999999974,0
CCC(CO)CCC#N,127.187,2,1,4,0,2,44.019999999999996,1.3086799999999998,1
COCCC(=O)CCCO,146.186,3,1,6,0,3,46.53,0.3645,0
CCC1(CO)CCN1C,129.20299999999997,2,1,2,1,2,23.47,0.463,1
CC1(CO)CCCN1C=O,143.186,2,1,2,1,3,40.54,-0.010400000000000187,1
CCC(=O)NC1(C)CC1,127.18699999999998,1,1,2,1,2,29.1,1.0651,0
CC1(C)COCCO1,116.16,2,0,0,1,2,18.46,0.8118,0
CC1(CO)NCC1CO,131.175,3,3,2,1,3,52.489999999999995,-1.0509,2
CC1(C)NCCC1C=O,127.18699999999998,2,1,1,1,2,29.1,0.5733999999999999,1
CCC(=O)CCCCO,130.187,2,1,5,0,2,37.3,1.1281,0
CC1(CO)CCCCO1,130.187,2,1,1,1,2,29.46,0.9379,1
CC1OCCNC1C#N,126.15899999999999,3,1,0,1,3,45.05,-0.11312000000000005,2
CC1=COC(C)CCO1,128.171,2,0,0,1,2,18.46,1.6731,1
COCCC(=O)C1CN1,129.159,3,1,4,1,3,48.24,-0.4362000000000001,1
CC(C=O)NC1CCC1,127.187,2,1,3,1,2,29.1,0.7158999999999998,1
CC1(CO)CCC(=O)C1,128.171,2,1,1,1,2,37.3,0.738,1
CCC(=O)C(C)NCO,131.175,3,2,4,0,3,49.33,-0.10659999999999992,1
O=CCCC1(C=O)CC1,126.15499999999999,2,0,4,1,2,34.14,0.9446,0
CCCNC(C)CC#N,126.20299999999999,2,1,4,0,2,35.82,1.2881799999999999,1
CCC1(C)OCCO1,116.15999999999998,2,0,1,1,2,18.46,1.1594,0
CCOC(C=O)CCC=O,144.17,3,0,6,0,3,43.370000000000005,0.5694999999999999,1
CC(C)(CC=O)NCC=O,143.18599999999998,3,1,5,0,3,46.17,0.1424999999999999,0
CC(=O)CC1(C)COC1,128.171,2,0,2,1,2,26.3,1.002,0
C#CC(O)CCOCC,128.171,2,1,4,0,2,29.46,0.4071,1
CC#CCOC1NC1C,125.17099999999998,2,1,2,1,2,31.17,0.34410000000000013,2
CCC(O)CCC(=O)CO,146.186,3,2,5,0,3,57.53,0.09889999999999999,1
CNCC(=O)CC(C)C=O,143.18599999999998,3,1,5,0,3,46.17,-2.220446049250313e-16,1
CC(C=O)(CO)CCO,132.15900000000002,3,2,4,0,3,57.53,-0.4336999999999999,1
CC1(CCCO)COC1,130.18699999999998,2,1,3,1,2,29.46,0.7954000000000001,0
CC1OCCC1(C)CO,130.187,2,1,1,1,2,29.46,0.7938000000000001,2
CC1(CCO)CCCN1,129.203,2,2,2,1,2,32.26,0.5109,1
CCC(O)CCC(=O)O,132.15900000000002,2,2,4,0,3,57.53,0.6221,1
CC(=O)C1CCCOC1,128.171,2,0,1,1,2,26.3,1.002,1
O=CCCC(C=O)CCO,144.17,3,1,6,0,3,54.370000000000005,0.16299999999999998,1
CC(=O)CCC1COC1,128.171,2,0,3,1,2,26.3,1.002,0
CCC1(CO)CCNC1,129.20299999999997,2,2,2,1,2,32.26,0.3683999999999999,1
CC(=O)CC1CCOC1,128.171,2,0,2,1,2,26.3,1.002,1
CC1(O)NCCC1C=O,129.159,3,2,1,1,3,49.33,-0.49670000000000014,2
CC1(CO)CCCNC1,129.203,2,2,1,1,2,32.26,0.3683999999999999,1
CC1CCC1(O)CCO,130.187,2,2,2,1,2,40.46,0.5298,2
