SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1=C=CC2CC1CO2,122.16699999999999,1,0,0,2,1,9.23,1.5065,2
CC1(C)CCC2OC21O,128.171,2,1,0,2,2,32.76,0.8937999999999999,2
O=C1C2CC=CCC12O,124.13899999999998,2,1,0,2,2,37.3,0.2664,2
O=CC1CCC1C1CO1,126.15499999999999,2,0,2,2,2,29.6,0.6103,3
CC12OC=CCCC1O2,126.15499999999999,2,0,0,2,2,21.759999999999998,1.4255,2
CC1(C)C(O)C2CC21,112.17199999999998,1,1,0,2,1,20.23,1.0231999999999999,3
CC1C=CC2(CC1)CN2,123.19900000000001,1,1,0,2,1,21.94,1.3145,2
COC1=CCC2OCC12,126.15499999999999,2,0,1,2,2,18.46,0.9354,2
O=C1C2CC=COC1C2,124.13899999999998,2,0,0,3,2,26.3,0.8779999999999999,2
CC1(C)COCC2CC21,126.19899999999998,1,0,0,2,1,9.23,1.6789,2
CC1=C2NCCC1C2=O,123.15499999999999,2,1,0,3,2,29.1,0.45259999999999995,1
CC12CCCC(=O)C1O2,126.15499999999999,2,0,0,2,2,29.6,0.8969,2
CC1CC(=O)C2CC1O2,126.15499999999997,2,0,0,3,2,26.3,0.7527999999999999,3
C1=CC2CCC(CO1)O2,126.15499999999999,2,0,0,2,2,18.46,1.0779,2
CC1CCC12CCCO2,126.199,1,0,0,2,1,9.23,1.9655,2
O=C1CC2CC2C1CO,126.15499999999999,2,1,1,2,2,37.3,0.20380000000000004,3
CC12CC#COC1C2,108.13999999999999,1,0,0,2,1,9.23,1.1461999999999999,2
CC1C=C2OCCC1C2=O,138.166,2,0,0,2,2,26.3,1.1256,2
CC1=CNC2(CC2)CO1,125.171,2,1,0,2,2,21.259999999999998,1.0001,0
CC1CC=CC2(CO2)O1,126.15499999999999,2,0,0,2,2,21.759999999999998,1.0779,2
O=C1C=CCC2CC2O1,124.139,2,0,0,2,2,26.3,0.8779999999999999,2
CC1C=C2COC1C2,110.15599999999999,1,0,0,2,1,9.23,1.3514,2
CC1N(C2CC2)C1(C)C,125.215,1,0,1,2,1,3.01,1.6315,2
CC12CCC1COC2=O,126.15499999999999,2,0,0,2,2,26.3,0.9595,2
CC1CC(=O)C12CCO2,126.15499999999999,2,0,0,2,2,26.3,0.7544,2
CC1C2C=COCC1C2,124.18299999999999,1,0,0,3,1,9.23,1.8025,3
CC1=NCC12CCC2=O,123.15499999999999,2,0,0,2,2,29.43,0.8102,1
O=C1C=CC2OCCC12,124.139,2,0,0,2,2,26.3,0.5303999999999999,2
CC1(C)CC2OC2C1=O,126.15499999999997,2,0,0,2,2,29.6,0.7527999999999999,2
CC1C2C(=O)OCC12C,126.15499999999999,2,0,0,2,2,26.3,0.8154,3
CC12OC1CC2CC#N,123.155,2,0,1,2,2,36.32,1.07748,3
OCC1C=C2CCOC21,126.155,2,1,1,2,2,29.46,0.32379999999999987,2
C1=C2CC(CCO1)CO2,126.155,2,0,0,2,2,18.46,1.2846,1
O=C1CC2CCC1CO2,126.155,2,0,0,3,2,26.3,0.7544,2
