SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#Cc1ccncn1,104.112,2,0,0,1,2,25.78,0.4578999999999999,0
CC1(C#N)COC=N1,110.116,3,0,0,1,3,45.379999999999995,0.32718,1
C#Cc1cc(CO)no1,123.11099999999999,3,1,1,1,3,46.260000000000005,0.1482,0
N#CC1=CCOC1=O,109.08399999999999,3,0,0,1,3,50.089999999999996,-0.006820000000000048,0
CC1(O)CCC(=O)O1,116.116,3,1,0,1,3,46.53,0.031899999999999984,1
N#CC1=CCC(=N)O1,108.1,3,1,0,1,3,56.870000000000005,0.79145,0
N#CC#Cc1conn1,119.08299999999998,4,0,0,1,4,62.71,-0.055320000000000036,0
N#CC1=NC=NCC1,107.116,3,0,0,1,3,48.51,0.38298000000000004,0
N=C1OCC=CCO1,113.11599999999999,3,1,0,1,3,42.31,0.52417,0
N#CC1=NCCC1=O,108.1,3,0,0,1,3,53.22,-0.07621999999999995,0
N#CC1CN=C=CCO1,122.12699999999998,3,0,0,1,3,45.379999999999995,0.13468000000000002,1
N#CC1C=NCCN1,109.132,3,1,0,1,3,48.18,-0.4474200000000001,1
C#Cc1ocnc1N,108.10000000000001,3,1,0,1,3,52.05,0.2381000000000001,0
O=C1CCCOC1=O,114.1,3,0,0,1,3,43.370000000000005,-0.10749999999999993,0
CN=C1OCCC1=O,113.116,3,0,0,1,3,38.66,0.0040999999999999925,0
C#Cc1nccnn1,105.1,3,0,0,1,3,38.67,-0.14710000000000012,0
CC1(C#N)CN1C=O,110.116,2,0,1,1,3,43.87,-0.25932,1
O=C1C=CCC1=O,96.08500000000001,2,0,0,1,2,34.14,0.08449999999999996,0
N#CC1CN=CCO1,110.11599999999999,3,0,0,1,3,45.379999999999995,-0.020419999999999994,1
N#CC#Cc1ccno1,118.09499999999997,3,0,0,1,3,49.82,0.54968,0
CC(=O)C1COC1,100.117,2,0,1,1,2,26.3,0.2218,0
N#CCC1C=NC1=O,108.1,2,0,1,1,3,53.22,0.12728,1
N#CC1=CCOC1=N,108.1,3,1,0,1,3,56.87,0.44384999999999997,0
N#Cc1cnccn1,105.09999999999998,3,0,0,1,3,49.57,0.3482799999999999,0
N#CC1CCOC1=N,110.116,3,1,0,1,3,56.87,0.5237499999999999,1
CC1=NCC(=O)C1=N,110.11599999999999,3,1,0,1,3,53.28,0.049770000000000036,0
N#CCC1=CC(=O)O1,109.08399999999997,3,0,1,1,3,50.09,0.3407799999999999,0
Cn1cnccc1=N,109.13199999999998,3,1,0,1,3,41.67,-0.10043000000000019,0
CC1OCN=C1C#N,110.11599999999999,3,0,0,1,3,45.379999999999995,0.32717999999999997,1
C#Cc1ccnnc1,104.112,2,0,0,1,2,25.78,0.4579,0
N#CC1COCC1=O,111.1,3,0,0,1,3,50.089999999999996,-0.2745200000000001,1
CC1(C(=N)C=O)CO1,113.11599999999999,3,1,2,1,3,53.45,-0.006030000000000146,1
O=C1C=CCC(=O)O1,112.084,3,0,0,1,3,43.370000000000005,0.016099999999999948,0
CC1=NC=CC(N)O1,112.13199999999999,3,1,0,1,3,47.61,0.23350000000000015,1
N#CC1(C#N)CCO1,108.1,3,0,0,1,3,56.81,0.19266,0
N#CC1=NC1CCCO,124.14299999999999,3,1,3,1,3,56.379999999999995,0.10568000000000005,1
CC1=C(CC(=O)O)O1,114.09999999999998,2,1,2,1,3,49.83,0.7228,0
C#CCc1ncno1,108.1,3,0,1,1,3,38.92,0.24529999999999996,0
CC1=C(CC(=N)O)O1,113.11599999999999,2,2,2,1,3,56.61,1.17347,0
N#CC(=O)OC1CC1,111.1,3,0,1,1,3,50.09,0.21558,0
Cc1ncc(C#N)cn1,119.127,3,0,0,1,3,49.57,0.6567,0
N#CC1C=NCC1=O,108.1,3,0,0,1,3,53.22,-0.22032000000000007,1
CC1(C#N)COCO1,113.116,3,0,0,1,3,42.25,0.27298,1
CC1N=C=COC1O,113.11599999999997,3,1,0,1,3,41.82,-0.09310000000000002,2
N#CCC1=CC=NC1=O,120.11099999999998,2,0,1,1,3,53.22,0.4374799999999999,0
CC1COC(=O)C1=O,114.09999999999998,3,0,0,1,3,43.370000000000005,-0.25160000000000005,1
N#CC1=CNC=CCN1,121.14299999999997,3,2,0,1,3,47.85,0.05787999999999999,0
O=C1OCCC=C1CO,128.12699999999998,3,1,1,1,3,46.53,-0.14799999999999996,0
N#CC1=CCNC1=O,108.1,2,1,0,1,3,52.89,-0.43382000000000004,0
N#CC1CNCC1=O,110.11599999999999,3,1,0,1,3,52.89,-0.7015200000000001,1
CC1(C#N)COCN1,112.132,3,1,0,1,3,45.05,-0.15402,1
CC1(C#N)OCC1=O,111.1,3,0,0,1,3,50.089999999999996,-0.13202000000000003,1
CC1(N)COCC1=O,115.13199999999999,3,1,0,1,3,52.32,-0.6969000000000001,1
O=C1C=CC1CO,98.101,2,1,1,1,2,37.3,-0.26620000000000005,1
C#Cc1cnoc1C,107.11199999999998,2,0,0,1,2,26.03,0.96432,0
CC1(C)COC1C#N,111.14399999999999,2,0,0,1,2,33.019999999999996,0.93498,1
CC1=NC(=O)OCC1,113.11599999999999,2,0,0,1,3,38.66,0.9876,0
CC(=O)C1(C=O)CO1,114.09999999999998,3,0,2,1,3,46.67,-0.4567000000000001,1
CC(=O)C1=NCCO1,113.116,3,0,1,1,3,38.66,0.0040999999999999925,0
CN=C1CC=C(C=O)O1,125.12699999999997,3,0,1,1,3,38.66,0.5178,0
Cc1ncc(C=O)o1,111.09999999999998,3,0,1,1,3,43.1,0.79552,0
N#CCc1ccno1,108.09999999999998,3,0,1,1,3,49.82,0.74068,0
CC#Cc1ncncn1,119.127,3,0,0,1,3,38.67,0.24299999999999994,0
CC1=NCOC(C=O)C1,127.14299999999997,3,0,1,1,3,38.66,0.39259999999999995,1
N#Cc1ccoc1C=O,121.09499999999997,3,0,1,1,3,54.0,0.96378,0
CC1COC(=O)C1=N,113.11599999999999,3,1,0,1,3,50.150000000000006,0.19907000000000002,1
Cc1cc(=O)cno1,111.1,3,0,0,1,3,43.1,0.34321999999999986,0
N#CC1CN=CCN1,109.13199999999999,3,1,0,1,3,48.18,-0.4474200000000001,1
N#CC1(C#N)COC1,108.1,3,0,0,1,3,56.81,0.05015999999999998,0
N#CC1COCCC1=O,125.127,3,0,0,1,3,50.089999999999996,0.11558000000000002,1
