SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1(O)CCC(=O)CO1,130.143,3,1,0,1,3,46.53,0.07440000000000002,1
C#Cc1cc(CO)no1,123.11099999999999,3,1,1,1,3,46.260000000000005,0.1482,0
O=CC1=CC(O)NC1,113.11599999999999,3,2,1,1,3,49.33,-0.9667000000000001,1
COC(=O)C1=CCCO1,128.127,3,0,1,1,3,35.53,0.4635999999999999,0
CCc1ccnc(=O)o1,125.12699999999998,3,0,1,1,3,43.1,0.5971999999999998,0
CN1C=NC(CC=N)=CO1,139.158,4,1,2,1,4,48.68000000000001,0.77277,0
C#CCc1ncncn1,119.127,3,0,1,1,3,38.67,0.0472999999999999,0
CCC1=NC=C(C)NN1N,140.18999999999997,4,2,1,1,4,53.650000000000006,0.35010000000000024,0
C#Cc1cnc(C=N)o1,120.11099999999998,3,1,1,1,3,49.88,0.65357,0
Cc1ncncc1C=O,122.12699999999997,3,0,1,1,3,42.85,0.5975199999999999,0
C#CCc1nc[nH]c1N,121.143,2,2,1,1,3,54.7,0.16760000000000003,0
C#Cc1ocnc1N,108.10000000000001,3,1,0,1,3,52.05,0.2381000000000001,0
CNc1cc(C=O)co1,125.12699999999998,3,1,2,1,3,42.24,1.1338,0
O=CC1=CCC(=O)NC1,125.127,2,1,1,1,3,46.17,-0.36840000000000006,0
CN=C1C=NCC(=O)C1,124.14299999999999,3,0,0,1,3,41.79,0.10079999999999989,0
CCc1cc(=O)[nH]n1C,126.15899999999999,2,1,1,1,3,37.79,0.2757999999999999,0
COc1cc(C=N)on1,126.115,4,1,2,1,4,59.11,0.6808699999999999,0
CC(=O)C1(C=O)CN1,113.11599999999999,3,1,2,1,3,56.08,-0.8837000000000002,1
CC1(C)OCC(=O)O1,116.116,3,0,0,1,3,35.53,0.29590000000000005,0
CCc1cn[nH]c1C=O,124.14299999999997,2,1,2,1,3,45.75,0.7846,0
N#CC1=NCOCCC1=O,138.126,4,0,0,1,4,62.449999999999996,-0.10211999999999999,0
C#CCc1nccnn1,119.127,3,0,1,1,3,38.67,0.0472999999999999,0
CCOC1=NCC(=O)C1,127.143,3,0,1,1,3,38.66,0.3942,0
O=CC1=CC(CO)CO1,128.12699999999998,3,1,2,1,3,46.53,-0.2921,1
CC(=O)c1ncccn1,122.12699999999998,3,0,1,1,3,42.85,0.6792,0
CC1=NCOCC(=O)C1,127.14299999999999,3,0,0,1,3,38.66,0.3942,0
CC1=CN=CNCC1=O,124.14299999999999,3,1,0,1,3,41.46,0.09080000000000005,0
CCN=c1cccno1,124.14299999999997,3,0,1,1,3,38.39,0.5952000000000001,0
COC(=N)C1(C)CN1,114.148,3,2,1,1,3,55.019999999999996,-0.028030000000000166,1
N#CCCC1CC(=O)O1,125.12699999999998,3,0,2,1,3,50.09,0.60568,1
C#Cc1ncoc1O,109.08399999999997,3,1,0,1,3,46.260000000000005,0.3614999999999999,0
CCC1=CN(C)OC(O)=N1,142.158,3,1,1,1,4,45.06,1.0288000000000002,0
Cc1ncc(CCO)[nH]1,126.15899999999999,2,2,2,1,3,48.910000000000004,0.2529199999999999,0
CC(=O)c1ccncn1,122.12699999999998,3,0,1,1,3,42.85,0.6792,0
C#CCc1c[nH]nc1N,121.143,2,2,1,1,3,54.7,0.16760000000000003,0
CCC(=O)c1cnco1,125.12699999999998,3,0,2,1,3,43.1,1.2673,0
N=C1CCOC(=O)C1,113.11599999999999,3,1,0,1,3,50.15,0.3431699999999999,0
O=Cc1ccc(CO)[nH]1,125.12699999999998,2,2,2,1,3,53.089999999999996,0.3195,0
O=CC1=CCNC1=O,111.1,2,1,1,1,3,46.17,-0.7585000000000002,0
CCNC1=CCC(=O)N1,126.15899999999998,2,2,2,1,3,41.13,-0.042800000000000116,0
CC(=N)NC1CCOC1,128.17499999999998,2,2,1,1,3,45.11,0.36206999999999995,1
COC(=O)c1cc[nH]c1,125.12699999999998,2,1,1,1,3,42.09,0.8012999999999999,0
C#Cc1ccnoc1=O,121.09499999999998,3,0,0,1,3,43.1,0.016099999999999892,0
CCc1cnc(C=O)[nH]1,124.14299999999997,2,1,2,1,3,45.75,0.7846,0
O=Cc1ncccc1O,123.11099999999996,3,1,1,1,3,50.19,0.5996999999999999,0
COC(=O)c1ccoc1,126.11099999999998,3,0,1,1,3,39.44,1.0661999999999998,0
CN=C1C=CN=C1C=O,122.12699999999998,3,0,1,1,3,41.79,0.22439999999999993,0
CN=C1C=CC(C=O)=N1,122.12699999999998,2,0,1,1,3,41.79,0.22439999999999993,0
CC(=O)Cc1ccon1,125.12699999999998,3,0,2,1,3,43.1,0.8061,0
CNc1cccnc1C=O,136.154,3,1,2,1,3,41.99,0.9358,0
CC1=NC=C(CO)OC1,127.14299999999999,3,1,1,1,3,41.82000000000001,0.3112000000000001,0
CCc1cnc(C)nn1,123.15899999999999,3,0,1,1,3,38.67,0.7424199999999999,0
CC1=NCOCOCC1=O,143.142,4,0,0,1,4,47.89,-0.02180000000000004,0
C#CCc1[nH]nnc1C,121.143,2,1,1,1,3,41.57,0.2888199999999999,0
C#Cc1cc(CO)on1,123.11099999999999,3,1,1,1,3,46.260000000000005,0.1482,0
CN=c1cc[nH]nc1C,123.15899999999999,2,1,0,1,3,41.04,0.24862,0
CC1CCOC(=O)CO1,130.143,3,0,0,1,3,35.53,0.33840000000000003,1
CC(=N)c1oncc1C,124.14299999999999,3,1,1,1,3,49.88,1.37079,0
CNC1=CCOCC1=O,127.143,3,1,1,1,3,38.33,-0.31100000000000017,0
CC(=O)C1(C=N)CCO1,127.14299999999999,3,1,2,1,3,50.150000000000006,0.38406999999999997,1
N#CCN(C=O)C1CC1,124.14299999999997,2,0,3,1,3,44.1,0.1307799999999999,0
N=CN1C=COC1CC=O,140.14199999999997,3,1,3,1,4,53.39000000000001,0.31196999999999986,1
COc1ccoc1O,114.09999999999998,3,1,1,1,3,42.6,0.9937999999999998,0
CNC1(C)N=NCC1=O,127.147,4,1,1,1,4,53.82,-0.04310000000000036,1
C#CCNCc1nc[nH]n1,136.158,3,2,3,1,4,53.6,-0.4725000000000001,0
CNC(=O)C1CC(=O)C1,127.14299999999999,2,1,1,1,3,46.17,-0.2885,0
