SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C1=CC=C2C=CC(=C1)C2,116.16299999999997,0,0,0,2,0,0.0,2.3689,0
CC1C2C=CC1(C)C2(C)C,136.238,0,0,0,3,0,0.0,2.8546000000000014,3
C1=CC2(C1)CCCCC2,122.211,0,0,0,2,0,0.0,2.8968000000000016,0
CCC1(C)C2C=C=CC21,120.19499999999995,0,0,1,2,0,0.0,2.3736000000000006,2
C=CC1C2CC(CC)C12,122.21099999999998,0,0,2,2,0,0.0,2.4645,4
CC1CC2C=C3CCC312,120.195,0,0,0,3,0,0.0,2.3626000000000005,3
CC=CC12C=CC1CC2,120.19499999999998,0,0,1,2,0,0.0,2.5287000000000006,2
C1=CC2=CC(CC1)CC2,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
C1=CCCC2CCC=1C2,120.195,0,0,0,2,0,0.0,2.6618000000000013,1
CCCC12CC=C1CC2,122.21099999999998,0,0,2,2,0,0.0,2.8968000000000016,1
CC1=CC=CCC12CC2,120.19500000000001,0,0,0,2,0,0.0,2.6728000000000014,0
CCC1=CC2(C)C(C)C12,122.21099999999997,0,0,1,2,0,0.0,2.608600000000001,3
CC1CC=CC2=C(C2)C1,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
CC1CC(=C2CCC2)C1,122.211,0,0,0,2,0,0.0,2.8968000000000016,0
CC1=C2CCC(CN2)C1,123.199,1,1,0,3,1,12.03,1.6637,1
CC1=C2CCC=C2C1C,120.19499999999998,0,0,0,2,0,0.0,2.6728000000000014,1
CC1=C2CC=CC(C1)C2,120.19499999999998,0,0,0,2,0,0.0,2.6728000000000014,1
CC1=C=CCCC2OCC12,136.19400000000002,1,0,0,2,1,9.23,1.8966,2
CC1CC=C=C2NCC2C1,135.20999999999998,1,1,0,2,1,12.03,1.6747,2
CC1=CC(C)C2=CC2C1,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC1=C2CCCC2=CC1,120.195,0,0,0,2,0,0.0,2.8169000000000013,0
CC1C=C2CCC(C)C21,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,3
CC1=C2CC2(C)CC1C,122.21099999999998,0,0,0,2,0,0.0,2.752700000000001,2
CC1=C2CCCCC=C12,120.195,0,0,0,2,0,0.0,2.8169000000000013,0
CC=CCC1C2CCC12,122.21099999999998,0,0,2,2,0,0.0,2.608600000000001,2
CC1(C)C2C=COCC21,124.18299999999998,1,0,0,2,1,9.23,1.8025,2
COCC1C2C=CC(C)C21,138.20999999999998,1,0,2,2,1,9.23,1.7009,4
CC1C2=C=CCCCC21,120.19499999999998,0,0,0,2,0,0.0,2.5177000000000005,2
CC1(C)C=C2CCCC21,122.211,0,0,0,2,0,0.0,2.752700000000001,1
CC1=CCC2CC1CCN2,137.226,1,1,0,2,1,12.03,1.7046,2
CC12CC=C=C1CCC2,120.19500000000001,0,0,0,2,0,0.0,2.6618000000000013,1
