SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1(C)CCC2CC21,110.19999999999999,0,0,0,2,0,0.0,2.442500000000001,2
CC1=CC2CC1C1CC21,120.195,0,0,0,3,0,0.0,2.2184999999999997,4
C1=C2CCC2CCC1,108.184,0,0,0,2,0,0.0,2.5067000000000004,1
CC1(C)C=C2CCC1C2,122.211,0,0,0,2,0,0.0,2.752700000000001,1
CC1C=CC2C(C)C2C1,122.21099999999998,0,0,0,2,0,0.0,2.4645,4
C1=CC2CCC=C(C1)C2,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
C1=CCC2C=C(CC1)C2,120.195,0,0,0,3,0,0.0,2.6728000000000014,1
CC1CC1(C)C1CC1,110.19999999999999,0,0,1,2,0,0.0,2.442500000000001,2
CC1=CC2CCCOC12,124.183,1,0,0,2,1,9.23,1.7415,2
CC1=C2CCCC1C2,108.184,0,0,0,3,0,0.0,2.5067000000000004,1
CCC12C=CCCC1C2,122.21099999999998,0,0,1,2,0,0.0,2.752700000000001,2
CC1CC=C2CCC21,108.184,0,0,0,2,0,0.0,2.3626000000000005,2
CC(C)C12CC=C1C2,108.18399999999998,0,0,1,2,0,0.0,2.3626000000000005,1
C1=CC2CCCC2C=1,106.16799999999999,0,0,0,2,0,0.0,2.1276,2
C1=CC2CCCC2C1,108.184,0,0,0,2,0,0.0,2.3626000000000005,2
C1=CC2C=C(CCC1)C2,120.19500000000001,0,0,0,3,0,0.0,2.6728000000000014,1
CC1(C)C2CC=CC21C,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,2
CC1C=CC2CCC12,108.184,0,0,0,2,0,0.0,2.2184999999999997,3
CCC12CC=C(C)C1C2,122.21099999999997,0,0,1,2,0,0.0,2.752700000000001,2
CC1C=C2CC2C1(C)C,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,2
C1=CC2CCCC=C2C1,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
CC1C=C2CCC1C2,108.184,0,0,0,2,0,0.0,2.3626000000000005,2
CC1C2=CCCC21C,108.184,0,0,0,2,0,0.0,2.3626000000000005,2
CC1=CCC2CCC12C,122.211,0,0,0,2,0,0.0,2.752700000000001,2
CC1=CCC2CC1C2C,122.21099999999998,0,0,0,3,0,0.0,2.608600000000001,3
CC1C=CCC2CC1C2,122.211,0,0,0,3,0,0.0,2.608600000000001,1
CC1=CCC12CCC2C,122.211,0,0,0,2,0,0.0,2.752700000000001,2
CC1(C)CC2CC2C1,110.19999999999999,0,0,0,2,0,0.0,2.442500000000001,2
CC1C2C=CC1CC2,108.184,0,0,0,2,0,0.0,2.2184999999999997,2
CCC1C2(C)C=CC12C,122.21099999999997,0,0,1,2,0,0.0,2.608600000000001,2
CCC1=CC2C(C)CC12,122.21099999999997,0,0,1,2,0,0.0,2.608600000000001,3
CC1CC(C)C2CC2C1,124.22699999999999,0,0,0,2,0,0.0,2.6885000000000012,4
CC1C=C2C=CCC21,106.16799999999998,0,0,0,2,0,0.0,2.1386000000000003,2
CC1C2=CC1(C)CCC2,122.211,0,0,0,3,0,0.0,2.752700000000001,2
CC1=CCCC12CC2,108.18400000000001,0,0,0,2,0,0.0,2.5067000000000004,0
CC1=CC2CCCC12,108.18400000000001,0,0,0,2,0,0.0,2.3626000000000005,2
CC12CC=C(CCC1)C2,122.21100000000001,0,0,0,2,0,0.0,2.8968000000000016,1
CC1=C2CCC2CC1,108.184,0,0,0,2,0,0.0,2.5067000000000004,1
C#CC1CC2CC1(C)C2,120.195,0,0,0,3,0,0.0,2.0558,1
C1=CC2CC(CC1)C2,108.184,0,0,0,3,0,0.0,2.3626000000000005,0
CCC1C=C2CC21C,108.184,0,0,1,2,0,0.0,2.3626000000000005,2
CC1=CC2CCC1C2,108.18400000000001,0,0,0,2,0,0.0,2.3626000000000005,2
CCC1=CC2CCC1C2,122.21099999999998,0,0,1,2,0,0.0,2.752700000000001,2
CC1CC2C=CCC12,108.18399999999998,0,0,0,2,0,0.0,2.2184999999999997,3
CC1CC2(C)CCC12C,124.22699999999999,0,0,0,2,0,0.0,2.832600000000001,3
CC1=CCC2(CC2)C1,108.18400000000001,0,0,0,2,0,0.0,2.5067000000000004,0
CCC12C=CCC1C2,108.18399999999998,0,0,1,2,0,0.0,2.3626000000000005,2
CCC1CC12C=CC2,108.18399999999998,0,0,1,2,0,0.0,2.3626000000000005,2
C#CC1CCC2CCC12,120.195,0,0,0,2,0,0.0,2.0558,3
CC1C=C2C=CCCC21,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
C1=CC2CCC(C1)C2,108.184,0,0,0,2,0,0.0,2.3626000000000005,2
CC12CCCCC1C2,110.2,0,0,0,2,0,0.0,2.5866000000000007,2
CC1CC2C=CCOC12,124.18299999999998,1,0,0,2,1,9.23,1.5974,3
CC12C=CC(C=CC1)C2,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC1=CC2CC(C1)C2,108.18400000000001,0,0,0,3,0,0.0,2.3626000000000005,0
CC1C=C2CCC2C1,108.184,0,0,0,2,0,0.0,2.3626000000000005,2
CC1C=CCC12CC2,108.18400000000001,0,0,0,2,0,0.0,2.3626000000000005,1
CC1C=CC2CC2C1,108.184,0,0,0,2,0,0.0,2.2184999999999997,3
CC1CC2CCC12C,110.2,0,0,0,2,0,0.0,2.442500000000001,3
CC1=CC(C)C2CC12,108.184,0,0,0,2,0,0.0,2.2184999999999997,3
CCC1C=CC2CC12,108.18399999999998,0,0,1,2,0,0.0,2.2184999999999997,3
CC1C=CC2CC1C2C,122.21099999999998,0,0,0,3,0,0.0,2.4645,4
