SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1=CC2C(=NO)C2O1,125.127,3,1,0,2,3,41.82000000000001,0.749,2
O=C1OC2C=CCC1C2,124.13899999999998,2,0,0,2,2,26.3,0.878,2
ON=C1OC2CCC1C2,127.143,3,1,0,2,3,41.82000000000001,0.9730000000000001,2
CC12OCCCC1C2=O,126.15499999999999,2,0,0,2,2,26.3,0.7544,2
OC1C=CC2(CC1)CN2,125.171,2,2,0,2,2,42.17,0.039299999999999724,2
O=C1C2CC(=NO)CC12,125.127,3,1,0,2,3,49.66,0.42550000000000004,2
O=C1C2CN=COC1C2,125.12699999999998,3,0,0,3,3,38.66,0.0025000000000000577,2
CC1(O)CC2CC21O,114.14399999999999,2,2,0,2,2,40.46,-0.1079,3
O=C1OCC2CCOC12,128.12699999999998,3,0,0,2,3,35.53,-0.05170000000000008,2
CC1=C2N=C(CCN2)C1,122.171,2,1,0,2,2,24.39,1.0559,0
O=C1CCC2OCC2C1,126.15499999999999,2,0,0,2,2,26.3,0.7544,2
O=C1NC2C=COC1C2,125.12699999999998,2,1,0,2,3,38.33,-0.21260000000000012,2
N=CC1C(=O)OC2CC21,125.12699999999998,3,1,1,2,3,50.150000000000006,0.19747000000000003,3
O=C1CC2OCCC12,112.128,2,0,0,2,2,26.3,0.36429999999999996,2
CC12CNCCC1CO2,127.187,2,1,0,2,2,21.259999999999998,0.38479999999999986,2
O=C1CCC2(CO1)CO2,128.127,3,0,0,2,3,38.83,0.09239999999999993,1
CC1(O)CCC2OC21C,128.171,2,1,0,2,2,32.76,0.6887000000000001,3
O=C1C=CC2OCC2O1,126.11099999999999,3,0,0,2,3,35.53,-0.1332000000000002,2
CC12CC(CO1)C2C#N,123.155,2,0,0,3,2,33.019999999999996,0.93498,3
O=C1CC=C2CC1O2,110.112,2,0,0,3,2,26.3,0.6319999999999999,1
OC1CCCC12CN2,113.16,2,2,0,2,2,42.17,-0.12679999999999997,2
O=C1CCCC2CC1O2,126.15499999999999,2,0,0,3,2,26.3,0.8969,2
CC12C=CC(O)C1O2,112.12799999999999,2,1,0,2,2,32.76,0.07459999999999994,3
ON=C1C2CCC1OC2,127.143,3,1,0,2,3,41.82000000000001,0.6254,2
CC1OC2C(=O)C=NC12,125.12699999999998,3,0,0,2,3,38.66,-0.20420000000000016,3
CC1(O)CCC12CO2,114.144,2,1,0,2,2,32.76,0.30019999999999997,2
OCC1CC2=CC21O,112.12799999999999,2,2,1,2,2,40.46,-0.3303,2
N#CC1C(=O)CC2NCC21,136.154,3,1,0,2,3,52.89,-0.3130200000000001,3
ON=C1CC2(O)CC12,113.11599999999999,3,2,0,2,3,52.82000000000001,-0.028699999999999948,2
CC1(O)OCC2CC21C,128.171,2,1,0,2,2,29.46,0.7513000000000001,3
NCC12CCC1OC(=O)C2,141.16999999999996,3,1,1,2,3,52.32,0.04080000000000017,2
OC1=CCNC12CC2,111.14399999999999,2,2,0,2,2,32.26,0.5641,0
O=C1NC2CCCC1C2O,141.17000000000002,2,2,0,2,3,49.33,-0.35420000000000024,3
CC1=C2OCC2C(C)O1,126.15499999999999,2,0,0,2,2,18.46,1.283,2
O=C1CCc2c[nH]nc21,122.127,2,1,0,2,3,45.75,0.5386,0
CC12CNC13CC3(N)C2,124.18700000000001,2,2,0,3,2,38.05,-0.16040000000000026,3
CC12C=CCC1(CO)O2,126.155,2,1,1,2,2,32.76,0.4663,2
CC1OC2CCCC1N2,127.187,2,1,0,2,2,21.259999999999998,0.8733,3
CC1CC2C(=O)C12O,112.12799999999999,2,1,0,2,2,37.3,-0.043800000000000006,3
CC1NC12CCNCC2=N,139.202,3,3,0,2,3,57.82,-0.2700299999999995,2
CC1C2CC(=NO)C12C,125.17099999999999,2,1,0,2,2,32.59,1.4925,3
CC1(O)COC2CC2C1,128.171,2,1,0,2,2,29.46,0.5462,3
CC12OC=C1CC2O,112.12799999999999,2,1,0,2,2,29.46,0.4238,2
N#CC12CCNC1C2=N,121.14299999999999,3,2,0,2,3,59.67,-0.10834999999999984,2
O=C1C2CCOC1C2,112.128,2,0,0,3,2,26.3,0.36429999999999996,2
O=C1OCC2CC2C1O,128.12699999999998,3,1,0,2,3,46.53,-0.45980000000000015,3
O=C1CC2CCC1(O)C2,126.155,2,1,0,2,2,37.3,0.4904,2
N=C1C2CCC1C(=O)O2,125.12699999999998,3,1,0,2,3,50.150000000000006,0.34157,2
O=C1CC2CCC12CO,126.155,2,1,1,2,2,37.3,0.34790000000000004,2
CC1=C2CNCC1CN2,124.18699999999998,2,2,0,2,2,24.06,0.0829999999999998,1
C#CC1CC12COC2=N,121.139,2,1,0,2,2,33.08,0.63337,2
N#CN=C1CCC12CC2O,136.154,3,1,0,2,3,56.379999999999995,0.45327999999999996,2
O=C1CC12CCC2=NO,125.127,3,1,0,2,3,49.66,0.5696000000000001,1
CC12CNCC1COC2,127.187,2,1,0,2,2,21.259999999999998,0.24229999999999996,2
CC12CCC1CN=C2O,125.17099999999999,1,1,0,2,2,32.59,1.3728,2
O=C1OCC2CC1C=C2O,140.13799999999998,3,1,0,2,3,46.53,0.6212,2
CC12CC(CO)C1O2,114.14399999999999,2,1,1,2,2,32.76,0.15609999999999996,3
CN=C1C2CC(=O)C1N2,124.14299999999999,3,1,0,3,3,41.46,-0.6296000000000002,2
OC1CCC2(CC1)CN2,127.187,2,2,0,2,2,42.17,0.2632999999999999,0
CC12NC1CC2CC#N,122.171,2,1,1,2,2,45.730000000000004,0.65048,3
CC1OC=C2CCC2O1,126.15499999999999,2,0,0,2,2,18.46,1.4255,2
CC12C=CC(O1)C2O,112.12799999999999,2,1,0,3,2,29.46,0.07459999999999994,3
C=NC1=CC2CNC12C,122.17099999999999,2,1,1,2,2,24.39,0.5626,2
CC1CNC2C(=O)CC12,125.17099999999998,2,1,0,2,2,29.1,0.18330000000000007,3
CC12CC(=O)C1C2N,111.14399999999999,2,1,0,2,2,43.09,-0.07740000000000002,3
O=C1CCC2CC(=O)C12,124.13899999999998,2,0,0,2,2,34.14,0.5545,2
O=C1CCC2CC1C2O,126.15499999999997,2,1,0,3,2,37.3,0.3463,3
O=C1CCC12CNC2=O,125.127,2,1,0,2,3,46.17,-0.5345000000000002,1
O=C1CCC12CCC2O,126.15499999999999,2,1,0,2,2,37.3,0.4904,2
O=CC12OC1CCC2=O,126.11099999999999,3,0,1,2,3,46.67,-0.31420000000000003,2
CC12CC(O)C=NC1C2,125.17099999999999,2,1,0,2,2,32.59,0.6004,3
O=C1COC2CCC2O1,128.12699999999998,3,0,0,2,3,35.53,0.09079999999999999,2
CC12CC(=O)C1(C)CO2,126.15499999999999,2,0,0,2,2,26.3,0.7544,2
CC1(C)C2COC1C2O,128.171,2,1,0,3,2,29.46,0.40209999999999996,3
O=C1OCC12CCC=N2,125.127,3,0,0,2,3,38.66,0.14660000000000006,1
N#CC12CCCC1OC2,123.15499999999999,2,0,0,2,2,33.019999999999996,1.07908,2
CC1=NC2(C)OC1C2=O,125.12699999999997,3,0,0,3,3,38.66,0.14500000000000002,2
N#CC12CCOC1CC2,123.15499999999999,2,0,0,2,2,33.019999999999996,1.07908,2
O=C1CCCC2OC2C1,126.15499999999999,2,0,0,2,2,29.6,0.8969,2
O=C1CC2C(O)CC12,112.12799999999999,2,1,0,2,2,37.3,-0.043800000000000006,3
CC1=NC2CC(O)C1C2,125.17099999999998,2,1,0,2,2,32.59,0.6004,3
CC12CN=CCOC1C2,125.17099999999998,2,0,0,2,2,21.59,0.866,2
CC1CC2C(=O)C12CO,126.15499999999999,2,1,1,2,2,37.3,0.20380000000000004,3
O=C1COC2CCC12,112.12799999999999,2,0,0,2,2,26.3,0.36430000000000007,2
CC12CCC(OC1)C2O,128.171,2,1,0,2,2,29.46,0.5462,3
CC1(C)C(O)C12CO2,114.14399999999999,2,1,0,2,2,32.76,0.15609999999999996,2
O=C1OCC2CCC12,112.12799999999999,2,0,0,2,2,26.3,0.5694,2
O=C1OCC2COCC12,128.12699999999998,3,0,0,2,3,35.53,-0.19419999999999993,2
CC1(C#N)C2CC1C2=O,121.13899999999998,2,0,0,3,2,40.86,0.73508,2
CC1OCC2(CC2=N)O1,127.14299999999999,3,1,0,2,3,42.31,0.5414699999999999,2
CC12CC(=O)CC1O2,112.12799999999999,2,0,0,2,2,29.6,0.5067999999999999,2
O=C1OC2CCCC2O1,128.127,3,0,0,2,3,35.53,1.0743,2
O=C1CC2N=CC2(O)C1,125.12699999999998,3,1,0,2,3,49.66,-0.4665999999999999,2
O=C1CCC2CC2OC1,126.15499999999999,2,0,0,2,2,26.3,0.7544,2
CC1C2CC1C(O)C2=O,126.15499999999997,2,1,0,3,2,37.3,0.2022,4
CC12OCCC1C2=NC#N,136.154,3,0,0,2,3,45.379999999999995,0.7172799999999999,2
CC12CC(=N1)CCCO2,125.171,2,0,0,3,2,21.59,1.3577000000000001,1
CC12C=CCNC(C1)N2,124.18700000000001,2,2,0,3,2,24.06,0.2239000000000001,2
N#CC1C2CC(=O)C1C2,121.139,2,0,0,3,2,40.86,0.73508,3
O=C1OC2CCCC12,112.128,2,0,0,2,2,26.3,0.7119,2
COC1CC2(N)CC12C,127.18700000000001,2,1,1,2,2,35.25,0.5125999999999998,3
CC12CCC(O)CC1O2,128.171,2,1,0,2,2,32.76,0.6886999999999999,3
COCC12CC1CC2O,128.171,2,1,2,2,2,29.46,0.4037,3
CC1C2OCCC12CO,128.171,2,1,1,2,2,29.46,0.4037,3
CC12COC1CCC2=O,126.15499999999999,2,0,0,2,2,26.3,0.7544,2
OC1=CC12CN=CC2O,125.12699999999998,3,2,0,2,3,52.82000000000001,-0.12640000000000007,2
CC1=NC2CC1C=C2O,123.15499999999997,2,1,0,2,2,32.59,1.2913,2
CC1NC2CC2(C)C1=O,125.17099999999999,2,1,0,2,2,29.1,0.3257999999999999,3
CN=C1CC12OCC2C,125.17099999999998,2,0,0,2,2,21.59,0.866,2
O=C1NC2C(=O)CCCC12,139.15400000000002,2,1,0,2,3,46.17,-0.14600000000000035,2
N#CC12COCC1C2=N,122.12699999999998,3,1,0,2,3,56.87,0.17614999999999997,2
O=C1OCCC2CC2O1,128.12699999999998,3,0,0,2,3,35.53,0.9318,2
CC1NC2CC2CC1=O,125.17099999999999,2,1,0,2,2,29.1,0.3257999999999999,3
CC12OC1CN=C2C#N,122.12700000000001,3,0,0,2,3,48.68,0.12207999999999997,2
O=C1OCCC2CC1O2,128.12699999999998,3,0,0,3,3,35.53,0.09079999999999999,2
CC1OCC2C(=O)C12C,126.15499999999997,2,0,0,2,2,26.3,0.6103,3
O=C1C=NC2CCC1C2,123.15499999999999,2,0,0,2,2,29.43,0.8085999999999999,2
N#CC12C=CCC1(O)O2,123.11099999999998,3,1,0,2,3,56.55,-0.07252000000000003,2
CC12COCC1OCC2=O,142.154,3,0,0,2,3,35.53,-0.009200000000000097,2
CC1COC2=NC1(C)C2,125.17099999999999,2,0,0,3,2,21.59,1.2136,2
CC1C(=O)OC2CC21,112.12799999999999,2,0,0,2,2,26.3,0.5678,3
O=C1CCC2(O)CC1O2,128.12699999999998,3,1,0,3,3,46.53,-0.17320000000000002,2
O=C1CC2CCNC2C1=O,139.154,3,1,0,2,3,46.17,-0.49360000000000026,2
O=C1OCCC12CCO2,128.127,3,0,0,2,3,35.53,0.09239999999999993,1
CC12CNC1CC(=O)O2,127.14299999999999,3,1,0,2,3,38.33,-0.33620000000000005,2
N#CC1=NC=C2CCC1O2,134.13799999999998,3,0,0,2,3,45.379999999999995,0.98498,1
CC1C(=O)CC2(O)CC12,126.15499999999999,2,1,0,2,2,37.3,0.3463,3
O=C1OCCC12CC2,112.128,2,0,0,2,2,26.3,0.7135,0
O=C1OC2CC1CC2=O,126.11099999999999,3,0,0,2,3,43.370000000000005,-0.10909999999999997,2
C#CC12COC(O)C1C2,124.13899999999997,2,1,0,2,2,29.46,-0.025500000000000023,3
CC1CC(=O)C2OC12C,126.15499999999997,2,0,0,2,2,29.6,0.7528,3
CC12CCC1(O)C21CO1,126.15499999999999,2,1,0,3,2,32.76,0.30019999999999997,3
O=C1C2CC(O)C1C2=O,126.11099999999998,3,1,0,3,3,54.37,-0.8648,1
O=C1C2C=CCC1O2,110.112,2,0,0,3,2,26.3,0.2828,2
O=C1CCC2OC2CC1,126.15499999999999,2,0,0,2,2,29.6,0.8969,2
O=C1CCC2CC(O)C12,126.15499999999997,2,1,0,2,2,37.3,0.3463,3
O=C1CC2(COC2)C1,112.128,2,0,0,2,2,26.3,0.3659,0
CC1CNC2=NC1(C)C2,124.187,2,1,0,3,2,24.39,0.7866,2
O=C1CCC12COC2=O,126.11099999999999,3,0,0,2,3,43.370000000000005,-0.10749999999999993,1
O=C1CC=C2CC(O)C12,124.13899999999998,2,1,0,2,2,37.3,0.26639999999999997,2
ON=C1C2C=CCC12,109.12799999999999,2,1,0,2,2,32.59,1.0225,2
CC1C(=O)C2CC=C1O2,124.13899999999998,2,0,0,2,2,26.3,0.8779999999999999,2
N=C1COCC12CCC2O,141.17000000000002,3,2,0,2,3,53.31,0.17747000000000007,2
N#CC12C=CC=CC1O2,119.12299999999996,2,0,0,2,2,36.32,0.7735799999999999,2
N=C1OC2C=CCC1O2,125.12699999999998,3,1,0,2,3,42.31,0.6650699999999999,2
CC12CCOC1(O)C2,114.14399999999999,2,1,0,2,2,29.46,0.5053000000000001,2
CC1CC2CC(C=N2)O1,125.17099999999999,2,0,0,2,2,21.59,1.0069,3
