SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1(O)CCC12CO2,114.144,2,1,0,2,2,32.76,0.30019999999999997,2
O=C1CC=CC2OCC12,124.13899999999998,2,0,0,2,2,26.3,0.5304,2
O=C1C=CC2OCCC12,124.139,2,0,0,2,2,26.3,0.5303999999999999,2
OCCC1C2C(=NO)C12,127.14299999999999,3,2,2,2,3,52.82000000000001,0.07480000000000003,2
CC1(C#N)CC2COC21,123.15499999999999,2,0,0,2,2,33.019999999999996,0.93498,3
COC1=CCC1OC=O,128.12699999999998,3,0,3,1,3,35.53,0.46199999999999997,1
COC1=CCC2COC12,126.15499999999999,2,0,1,2,2,18.46,0.9354,2
O=C1CCC2CC2CO1,126.15499999999999,2,0,0,2,2,26.3,0.9595,2
O=CC1C=C2CC1O2,110.112,2,0,1,3,2,26.3,0.48789999999999994,2
CC1NC(=O)C12CCN2,126.15899999999999,2,2,0,2,3,41.13,-0.7632000000000001,2
CC1CNCC12CCO2,127.187,2,1,0,2,2,21.259999999999998,0.38479999999999986,2
O=CC1CCC2OC12,112.12799999999999,2,0,1,2,2,29.6,0.3627,3
CC1C=C(O)C2(C)OC12,126.15499999999997,2,1,0,2,2,32.76,1.2355,3
CC1(C=O)CC2CC1O2,126.15499999999999,2,0,1,3,2,26.3,0.7527999999999999,3
O=C1C=CCC2CC2O1,124.139,2,0,0,2,2,26.3,0.8779999999999999,2
CC1CC12COC2=O,112.12799999999999,2,0,0,2,2,26.3,0.5694,2
O=CC1C=CC2NCC12,123.15499999999999,2,1,1,2,2,29.1,-0.040700000000000125,3
CCC12CN1C2(C)CN,126.20299999999999,2,1,2,2,2,29.03,0.18180000000000007,3
CC1CCNC1C1CO1,127.18699999999997,2,1,1,2,2,24.56,0.3831999999999998,3
CC1(C2CCO2)CCO1,128.17100000000002,2,0,1,2,2,18.46,0.9542999999999999,2
O=C1C=CC2OCCC2O1,140.138,3,0,0,2,3,35.53,0.2568999999999999,2
CC1OC2C(CO)C=NC12,141.17,3,1,1,2,3,41.82,-0.1648,4
CC1C2C(=O)CNC12C,125.17099999999999,2,1,0,2,2,29.1,0.18330000000000007,3
O=C1CCC2OC2C1,112.12799999999999,2,0,0,2,2,29.6,0.5068,2
O=C1CCC2CC1=CN2,123.15499999999999,2,1,0,2,2,29.1,0.5951,1
CC1(O)CCC12CO2,114.144,2,1,0,2,2,32.76,0.30019999999999997,2
O=C1CC12CCCOC2=O,140.138,3,0,0,2,3,43.370000000000005,0.28259999999999996,1
CC12CCC1OC(=O)O2,128.12699999999998,3,0,0,2,3,35.53,1.0743,2
CC1(C)NC1C1CO1,113.15999999999998,2,1,1,2,2,34.47,0.13559999999999978,2
CC1NC(=O)C12CCC2,125.17099999999999,1,1,0,2,2,29.1,0.675,1
CC1=C(C(=O)O)CC1,112.12799999999999,1,1,1,1,2,37.3,1.1813,0
O=CC1OC1C1CCC1,126.15499999999999,2,0,2,2,2,29.6,0.7528,2
CC1=C(O)C2C(O)C12,112.12799999999997,2,2,0,2,2,40.46,0.4389,3
CC12CNC1CC2C=O,125.17099999999998,2,1,1,2,2,29.1,0.18330000000000007,3
CC12CNC1CC2=O,111.14399999999999,2,1,0,2,2,29.1,-0.06269999999999992,2
CCC1C(=O)C2NCC12,125.17099999999998,2,1,1,2,2,29.1,0.18330000000000007,3
CC1OC1CCC1CO1,128.171,2,0,3,2,2,25.06,0.9527,3
CC1CC(C2CO2)CO1,128.171,2,0,1,2,2,21.759999999999998,0.8101999999999999,3
CC1NC12CCNCC2=N,139.202,3,3,0,2,3,57.82,-0.2700299999999995,2
CCC12CC(=O)CC1O2,126.15499999999997,2,0,1,2,2,29.6,0.8969,2
CCC12NCC1C2C#N,122.17099999999998,2,1,1,2,2,35.82,0.5079799999999999,3
CC1NC1(C)C1(C)CO1,127.18699999999998,2,1,1,2,2,34.47,0.5257000000000001,3
O=C1CCC2OCC1O2,128.12699999999998,3,0,0,2,3,35.53,0.09079999999999999,2
O=C1OCCC=C2CC12,124.13899999999998,2,0,0,2,2,26.3,0.8796,1
CC12OCCC1C2=O,112.12799999999999,2,0,0,2,2,26.3,0.36430000000000007,2
O=C1C=CCCC1(O)O,128.127,3,2,0,1,3,57.53,-0.4136000000000001,0
O=CC12CCCC1O2,112.12799999999999,2,0,1,2,2,29.6,0.5067999999999999,2
O=C1CCC2CC(=O)C12,124.13899999999998,2,0,0,2,2,34.14,0.5545,2
CC1(C2CO2)CCO1,114.144,2,0,1,2,2,21.759999999999998,0.5641999999999999,2
CC1(C2COC2)CC1O,128.171,2,1,1,2,2,29.46,0.4037,2
O=CC1CCC12CO2,112.128,2,0,1,2,2,29.6,0.36429999999999996,2
CC(=O)C12CCC1O2,112.12799999999999,2,0,1,2,2,29.6,0.5067999999999999,2
CC12CN1C2CC(=N)O,126.15899999999998,2,2,2,2,3,47.09,0.3682699999999999,3
CC(=O)C1CCC2OC21,126.15499999999999,2,0,1,2,2,29.6,0.7527999999999999,3
CN=C1CCC2OCC12,125.17099999999998,2,0,0,2,2,21.59,0.866,2
COC1(C)CC2(CO2)C1,128.171,2,0,1,2,2,21.759999999999998,0.9543,0
CC1OC=CC2CNC21,125.17099999999998,2,1,0,2,2,21.259999999999998,0.5067999999999999,3
CC1(CO)C(=O)C2CN21,127.143,3,1,1,2,3,40.309999999999995,-0.9957,3
CC1CNC2C(=O)CC12,125.17099999999998,2,1,0,2,2,29.1,0.18330000000000007,3
CC(=O)C1=CC2CCN12,123.15499999999999,2,0,1,2,2,20.310000000000002,0.5472,1
O=C1CCCC12CO2,112.128,2,0,0,2,2,29.6,0.5084,1
N#CC12CC1C2CN,108.14399999999999,2,1,1,2,2,49.81,0.10477999999999998,3
O=CC1CC12COC2,112.128,2,0,1,2,2,26.3,0.2218,1
O=CC1CC12CCCO2,126.155,2,0,1,2,2,26.3,0.7544,2
O=C1CCCC2OC12,112.12799999999999,2,0,0,2,2,29.6,0.5067999999999999,2
O=CC1OC=CC2CC21,124.13899999999997,2,0,1,2,2,26.3,0.7339,3
CNC1=CC2(CCO2)C1,125.171,2,1,1,2,2,21.259999999999998,0.6524999999999999,1
CC1=NCC(C#N)OC1,124.14299999999999,3,0,0,1,3,45.379999999999995,0.36968,1
N#CC12CC1C2CCO,123.15499999999997,2,1,2,2,2,44.019999999999996,0.5284800000000001,3
CC1(C=N)OC12CCC2,125.171,2,1,1,2,2,36.38,1.34757,1
CC1CC2OC(=O)CC12,126.15499999999999,2,0,0,2,2,26.3,0.9579,3
CC1CNC2(C#N)CC12,122.17099999999999,2,1,0,2,2,35.82,0.5079800000000001,3
CC1CC2NCC12CO,127.18699999999998,2,2,1,2,2,32.26,-0.023299999999999987,3
C#CCN1CC12CCN2,122.17099999999999,2,1,1,2,2,15.04,-0.37520000000000014,2
CC1=C2C(CO)C12O,112.12799999999999,2,2,1,2,2,40.46,-0.3302999999999999,2
CC1(C2CO2)CCO1,114.144,2,0,1,2,2,21.759999999999998,0.5641999999999999,2
O=C1OCC12CCC2,112.128,2,0,0,2,2,26.3,0.7135,0
CC1(C2CNC2=O)CO1,127.14299999999999,2,1,1,2,3,41.63,-0.4787000000000001,2
CC1CC2OC1CC2=O,126.15499999999999,2,0,0,2,2,26.3,0.7527999999999999,3
CC1OCC1(O)C1CC1,128.17099999999996,2,1,1,2,2,29.46,0.5462,2
CC12CC(CO1)CO2,114.144,2,0,0,2,2,18.46,0.7693,0
O=C1OCCCC12CO2,128.127,3,0,0,2,3,38.83,0.09240000000000004,1
CC1NC1C1(C=O)CC1,125.17099999999999,2,1,2,2,2,39.010000000000005,0.3257999999999997,2
C#CCC1NC1C1CN1,122.17099999999998,2,2,2,2,2,43.88,-0.6781000000000001,3
CCC1OC1COC1=NC1,141.17,3,0,3,2,3,34.12,0.5924999999999999,2
CC(=O)C1CC1C1CN1,125.17099999999999,2,1,2,2,2,39.010000000000005,0.18330000000000007,3
O=C1C=C=CC2(O)CN12,123.11099999999999,2,1,0,2,3,40.309999999999995,-0.7579,1
CC1(C=O)CC12CO2,112.128,2,0,1,2,2,29.6,0.36429999999999996,2
CCC12CC(=O)C1CO2,126.15499999999997,2,0,1,2,2,26.3,0.7544,2
CC12COCC1(O)C2,114.14399999999999,2,1,0,2,2,29.46,0.1577,2
O=C1OC2CCCC12,112.128,2,0,0,2,2,26.3,0.7119,2
O=CC12CCC1CNC2,125.17099999999999,2,1,1,2,2,29.1,0.1848999999999999,2
CC1CC2(O)CC2CO1,128.171,2,1,0,2,2,29.46,0.5462,3
CC1COCC2NC2C1,127.18699999999998,2,1,0,2,2,31.17,0.38320000000000004,3
CC1OCCC12CC2O,128.171,2,1,0,2,2,29.46,0.5462,3
CC1(C=O)CC2CC1O2,126.15499999999999,2,0,1,3,2,26.3,0.7527999999999999,3
O=C1CCCC12CO2,112.128,2,0,0,2,2,29.6,0.5084,1
CC1CC12CC(=O)CN2,125.17099999999999,2,1,0,2,2,29.1,0.32739999999999997,2
CC1(C2CN2)CC1=O,111.14399999999999,2,1,1,2,2,39.010000000000005,-0.06269999999999992,2
N#CC12C=CCC1O2,107.11199999999998,2,0,0,2,2,36.32,0.60748,2
CC1=NC2CC1C2CO,125.17099999999998,2,1,1,3,2,32.59,0.45790000000000003,3
CCC12CN=CC(N1)O2,126.15899999999996,3,1,1,3,3,33.620000000000005,0.12300000000000005,2
CC1(CC=O)CC2CN21,125.171,2,0,2,2,2,20.08,0.42200000000000004,3
CC1CC1COCO,116.16,2,1,3,1,2,29.46,0.6088,2
CC12CC(=O)C1C2CO,126.15499999999997,2,1,1,2,2,37.3,0.20380000000000004,3
CC12CCC(=O)C1OC2,126.15499999999999,2,0,0,2,2,26.3,0.7544,2
O=CC1CCC2OC2C1,126.15499999999999,2,0,1,2,2,29.6,0.7528,3
