SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
N#Cc1ncc(O)o1,110.07199999999997,4,1,0,1,4,70.05,0.25187999999999994,0
Cc1cnc(=O)n(O)c1,126.11499999999998,4,1,0,1,4,55.120000000000005,-0.2109800000000001,0
CC1C=NN=NOC1,113.12,4,0,0,1,4,46.31,1.0057,1
C#CCn1nnnc1N,123.11900000000001,5,1,1,1,5,69.62,-1.1115000000000002,0
CN1CON(C)N=CO1,131.135,5,0,0,1,5,37.3,-0.37240000000000006,0
CC1=NC=NN(C=N)O1,126.11899999999999,4,1,1,1,5,61.040000000000006,0.2023700000000001,0
CC1=NOON1C,102.093,4,0,0,1,4,34.06,0.12840000000000007,0
O=CNc1cnoc1,112.08799999999998,3,1,2,1,4,55.13,0.24290000000000006,0
O=CC1COCCN=N1,128.131,4,0,1,1,4,51.019999999999996,0.0363,1
CC(C)Nn1cno1,115.136,4,1,2,1,4,42.99,0.428,0
O=CN1C=CN=NO1,113.07600000000001,4,0,1,1,5,54.260000000000005,0.2284,0
O=C1CC(=NO)CON1,130.103,4,2,0,1,5,70.92,-0.7319,0
C1=NCOCC1,85.106,2,0,0,1,2,21.59,0.43500000000000005,0
Cc1cc(O)nnn1,111.10400000000001,4,1,0,1,4,58.900000000000006,-0.11438000000000015,0
CN=C1C=NOC1=N,111.10399999999998,4,1,0,1,4,57.800000000000004,0.05046999999999996,0
O=C1COCOC1=NO,131.08700000000002,5,1,0,1,5,68.12,-0.6525000000000003,0
OC1=CN=CC=NO1,112.08799999999998,4,1,0,1,4,54.18000000000001,0.43010000000000004,0
C#Cc1non1CO,112.088,4,1,1,1,4,51.19,-0.5928,0
CNc1cnc(C=N)nn1,137.146,5,2,2,1,5,74.55000000000001,-0.08903000000000033,0
CN1OC=C(C#N)O1,112.08800000000001,4,0,0,1,4,45.489999999999995,0.15997999999999996,0
ON=C1CCCN1O,116.12,3,2,0,1,4,56.06,0.25909999999999994,0
