SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
N#CC(N)N1CC=NC1,124.14699999999999,4,1,1,1,4,65.41,-0.8613199999999996,1
NC1(N)C(=O)CCC1=O,128.131,4,2,0,1,4,86.18,-1.4679000000000006,0
N=c1ccc(=O)[nH]o1,112.088,3,2,0,1,4,69.85,-0.5526300000000002,0
N=C1C(O)C=NC1(N)N,128.13500000000002,5,4,0,1,5,108.47999999999999,-1.9773300000000003,1
CC1(CO)C(=N)N1CO,130.14700000000002,3,3,2,1,4,67.32,-1.0199300000000002,1
N=c1ccoc(CCO)n1,140.142,4,2,2,1,4,70.11,-0.3111300000000001,0
N=C1CC(=N)C(O)C=N1,125.13099999999997,3,3,0,1,4,80.29,-0.1811600000000001,1
NC1C(C=O)NC1C=O,128.131,4,2,2,1,4,72.19,-1.9480999999999995,2
N=c1[nH]c(N)ccc1N,124.147,3,4,0,1,4,91.67999999999999,-0.3414300000000003,0
O=C1CCC(=O)C(O)N1,129.11499999999998,3,2,0,1,4,66.4,-1.2161000000000002,1
N#CCC1=NCNC1=O,123.115,3,1,1,1,4,65.25,-0.5716200000000002,0
CN1C=C(N)CNC1=O,127.147,2,2,0,1,4,58.36,-0.5584999999999998,0
COC1C(=O)NC1=O,115.088,3,1,1,1,4,55.4,-1.3422,0
CC1(O)CC1C(=N)NO,130.14700000000002,3,4,1,1,4,76.34,-0.2866300000000001,2
N=CC1OCC1C(=N)N,127.147,3,3,2,1,4,82.95,-0.4130599999999999,2
COC1=CC(=N)C(=O)O1,127.09899999999999,4,1,1,1,4,59.379999999999995,0.05077000000000004,0
N=C1NCC(O)C1O,116.11999999999998,3,4,0,1,4,76.34,-1.7113300000000002,2
N=C1CC(=O)NC(O)C1,128.13099999999997,3,3,0,1,4,73.18,-0.7654300000000005,1
N=C1CC(=N)C(O)CO1,128.13099999999997,4,3,0,1,4,77.16000000000001,-0.23536000000000012,1
N=CN1C(N)C=CC1O,127.14699999999996,3,3,1,1,4,73.34,-0.9315300000000002,2
N=C(N)C1=CC(=N)C1N,124.14699999999999,3,4,1,1,4,99.74,-0.7905600000000002,1
N=C1CC(CN)C1O,114.148,3,3,1,1,3,70.10000000000001,-0.6543300000000003,2
NC=C1NC=C(O)C1=O,126.11499999999997,4,3,0,1,4,75.35,-0.6418000000000001,0
N#CC1C(=O)C(O)C1N,126.11499999999998,4,2,0,1,4,87.11,-1.6029200000000001,3
CC1(O)NC1=CC(N)O,130.14700000000002,4,4,1,1,4,88.42,-1.5409000000000002,2
N=c1[nH]ccc(N)c1N,124.14700000000002,3,4,0,1,4,91.67999999999999,-0.34143000000000007,0
N=C1CC(=O)CNC1=O,126.11499999999998,3,2,0,1,4,70.02000000000001,-0.9048300000000002,0
CC1(C(=N)N)NCC1=N,126.16300000000001,3,4,1,1,4,85.75,-0.695959999999999,1
NCC(O)=C1CNC1=O,128.131,3,3,1,1,4,75.35,-1.113,0
NC(=O)CC1(N)CC1=O,128.131,3,2,2,1,4,86.18,-1.4679000000000006,1
N=C1COCC(=O)CN1,128.131,3,2,0,1,4,62.18,-0.8474300000000001,0
