SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC1=NCCN1CF,126.13400000000001,2,0,1,1,3,15.6,0.26070000000000004,0
CC1COC1CC(F)(F)F,154.13099999999997,1,0,1,1,4,9.23,1.9737,2
CNc1cc(F)ncc1F,144.124,2,1,1,1,4,24.92,1.4015,0
O=C(F)Nc1ncncc1F,159.09499999999997,3,1,1,1,6,54.88,1.1170999999999998,0
CC1CN1C(F)(F)F,125.093,1,0,0,1,4,3.01,1.2103,2
N=C1CN1CCC(F)F,134.129,1,1,3,1,4,26.86,0.9344699999999999,0
CC(F)(F)c1ccnn1F,150.10299999999998,2,0,1,1,5,17.82,1.7273999999999996,0
CN1C(F)CC1F,107.103,1,0,0,1,3,3.24,0.9131,2
Fc1ncccc1C(F)F,147.09899999999996,1,0,1,1,4,12.89,2.1583000000000006,0
N=C1C(F)N(F)C1F,124.06500000000001,2,1,0,1,5,27.090000000000003,0.7974700000000001,2
N=C1C(F)CC1(F)F,123.07700000000001,1,1,0,1,4,23.85,1.38327,1
NC(F)(F)C(F)(F)F,135.035,1,1,0,0,6,26.02,1.1002,0
CNc1cc(F)cnc1F,144.124,2,1,1,1,4,24.92,1.4015,0
COC1NCC1C(F)(F)F,155.119,2,1,1,1,5,21.259999999999998,0.7406000000000001,2
N=C(F)C1=NC(F)=C1F,134.06,2,1,1,1,5,36.21,1.49587,0
CC1C(F)C1OC(F)F,140.10399999999998,1,0,2,1,4,9.23,1.582,3
CC(F)C1=CN=C1F,117.098,1,0,1,1,3,12.36,1.6099,1
N=C(F)c1ccc(F)n1F,148.08699999999996,2,1,1,1,5,28.78,1.6546699999999999,0
Nc1cnc(F)cc1F,130.09699999999998,2,1,0,1,4,38.91,0.9420000000000002,0
N=C(F)C1C(F)N1F,124.06500000000001,2,1,1,1,5,26.86,0.7974700000000001,3
CC(F)(F)C1=CC=C1F,134.09999999999997,0,0,1,1,3,0.0,2.4350000000000005,0
CCC1CN1C(F)(F)F,139.12,1,0,1,1,4,3.01,1.6004,2
OC1CN=C1CCN(F)F,150.128,3,1,3,1,5,35.830000000000005,0.2629999999999999,1
CC1=CC(F)(F)N=C1F,135.08800000000002,1,0,0,1,4,12.36,1.9070999999999998,0
FC(F)COC1CC1F,140.10399999999998,1,0,3,1,4,9.23,1.3785,2
CC1CC1C(=O)NCF,131.15,1,1,2,1,3,29.1,0.6856,2
FC1=NC1C(F)(F)F,127.04000000000002,1,0,0,1,5,12.36,1.2989,1
N=C1COC1(F)C(F)F,139.076,2,1,1,1,5,33.08,0.9672700000000001,1
CN(F)C1=CN=C1F,118.086,2,0,1,1,4,15.6,1.0257,0
CC(F)n1ccnc1F,132.11299999999997,2,0,1,1,4,17.82,1.5102,1
CN1CC1CC(F)(F)F,139.12,1,0,1,1,4,3.01,1.2528000000000001,2
NC(F)c1ccnc(F)c1,144.124,2,1,1,1,4,38.91,1.1475,1
Fc1occc1C(F)(F)F,154.06199999999998,1,0,0,1,5,13.14,2.4375,0
CC(O)(F)c1ccn[nH]1,130.12199999999999,2,2,1,1,4,48.910000000000004,0.5442,1
FNC1=C(F)C=CNC1F,150.10299999999998,2,2,1,1,5,24.06,1.0541,1
CN1CC1C(F)(F)F,125.09300000000002,1,0,0,1,4,3.01,0.8626999999999999,2
Oc1cncccc[nH]c1F,154.14399999999995,2,2,0,1,4,48.910000000000004,1.3787999999999998,0
CC(F)(F)c1cc[nH]n1,132.11299999999997,1,1,1,1,4,28.68,1.5213999999999996,0
N=C1COCN1C(F)F,136.101,2,1,1,1,5,36.32,0.47597000000000006,0
CC1C(F)C(F)CN1F,139.12,1,0,0,1,4,3.24,1.2512,3
FC(F)=NC(F)(F)F,133.019,1,0,0,0,6,12.36,1.8012000000000001,0
CN1C=CC(F)N1CF,134.12900000000002,2,0,1,1,4,6.48,0.8851,1
Fn1cccc1C(F)(F)F,153.078,1,0,0,1,5,4.93,2.2394999999999996,0
CC1OCCN1C(F)(F)F,155.119,2,0,0,1,5,12.47,1.1844,1
OCC1CC1(F)C(F)F,140.104,1,1,2,1,4,20.23,0.972,2
CC1NC1CCOC(F)F,151.15599999999998,2,1,4,1,4,31.17,0.976,2
OCc1cc(F)nc(F)c1,145.108,2,1,1,1,4,33.120000000000005,0.8521000000000001,0
CN1COC(F)(F)C1F,141.09199999999998,2,0,0,1,5,12.47,0.7943,1
FOC1=CC(F)(F)N=C1,137.06000000000003,2,0,1,1,5,21.59,1.4485999999999999,0
FC(F)(F)C1C=CN=CN1,150.103,2,1,0,1,5,24.39,1.0624999999999998,1
CC1C(O)CNCN1F,134.15400000000002,3,2,0,1,4,35.5,-0.5170000000000001,2
N=C1N=C(F)C=C1F,116.07,1,1,0,1,4,36.21,1.1986700000000001,0
CN=C1OC1CC(F)(F)F,153.10299999999998,2,0,1,1,5,24.89,1.3659,1
CC(F)(F)c1ccoc1F,150.09899999999996,1,0,1,1,4,13.14,2.530400000000001,0
COc1cc(F)nc(F)c1,145.108,2,0,1,1,4,22.12,1.3683999999999998,0
CN(F)c1cc[nH]c1F,132.11299999999997,1,1,1,1,4,19.03,1.4745,0
CN1C(F)C1C(F)(F)F,143.083,1,0,0,1,5,3.01,1.1582999999999999,3
CC1C(F)N1C(=O)F,121.086,1,0,0,1,4,20.08,1.0756000000000001,2
C#CCNc1ncnnc1F,152.132,4,1,2,1,5,50.7,0.055799999999999794,0
N=C1OCCC(F)N1F,136.101,2,1,0,1,5,36.32,0.8235699999999999,1
NC(F)c1ncc(F)o1,134.085,3,1,1,1,5,52.05,0.7405,1
FCC1=C(F)C=CC1(F)F,152.08999999999997,0,0,1,1,4,0.0,2.3846000000000007,0
ONc1ccc(F)nc1F,146.096,3,2,1,1,5,45.15,1.1608999999999998,0
Fc1ccc(C(F)F)[nH]1,135.08800000000002,0,1,1,1,4,15.79,2.0914,0
NCC(F)(F)C1=CN=C1,132.113,2,1,2,1,4,38.379999999999995,0.5487,0
NC(F)C(F)(F)F,117.04500000000002,1,1,0,0,5,26.02,0.8030000000000002,1
N#CC1CC1C(F)F,117.098,1,0,1,1,3,23.79,1.41118,2
COc1nccc(F)c1F,145.10799999999998,2,0,1,1,4,22.12,1.3683999999999998,0
CC(F)(F)C1=CN=C1F,135.088,1,0,1,1,4,12.36,1.9071000000000002,0
N=CC1CCN1C(F)F,134.12900000000002,2,1,2,1,4,27.090000000000003,0.9328700000000001,1
N=C1CC(F)N1C(F)F,138.09199999999998,1,1,1,1,5,27.090000000000003,1.18757,1
