SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
OC1C2C=CC13COCC23,138.166,2,1,0,4,2,29.46,0.17969999999999997,4
CC12C3=CCC1C2O3,108.13999999999999,1,0,0,3,1,9.23,1.3089,3
CN1C2C(=O)C13CCC23,123.15499999999999,2,0,0,4,2,20.310000000000002,0.031899999999999595,3
CC12C(CO)C1C1NC12,125.17099999999998,2,2,1,3,2,42.17,-0.41500000000000026,5
CC12CC1C1CCOC2O1,140.182,2,0,0,3,2,18.46,1.1578,4
OC12CC3C=CC1CN32,123.15499999999999,2,1,0,4,2,23.47,-0.05109999999999992,3
CC12CC3CC1(O)C32N,125.171,2,2,0,3,2,46.25,-0.14150000000000007,4
CC12CNCC3C1N3C2,124.187,2,1,0,3,2,15.04,-0.3377000000000001,4
CC12COC3C=C1C3N2,123.15499999999997,2,1,0,4,2,21.259999999999998,0.055699999999999916,3
CC12C(O)C3C1CC(O)C32,140.182,2,2,0,5,2,40.46,-0.006000000000000005,6
CC1C2C3OC34C1C24,108.13999999999999,1,0,0,4,1,12.53,0.6495,6
O=C1CC2CC3OC3C1C2,138.16599999999997,2,0,0,3,2,29.6,0.7528,4
CC1C2OC13C1OC3C21,124.13899999999997,2,0,0,8,2,18.46,0.17089999999999983,4
C1=C2OC3CC(CC1)N23,123.155,2,0,0,3,2,12.47,1.0522,2
O=CC12C3C(O)C1C32,110.11199999999997,2,1,1,4,2,37.3,-0.5780000000000001,2
C1=CC2CCC3C(N1)N23,122.17099999999999,2,1,0,3,2,15.04,0.2760000000000001,4
CC12C=COC3OC1C32,124.13899999999998,2,0,0,3,2,18.46,0.8913,4
C1=C2CC3OCC3OC12,124.13899999999998,2,0,0,3,2,18.46,0.4826999999999999,3
CC12CNC3C(C1)OC3C2,139.19799999999998,2,1,0,5,2,21.259999999999998,0.5257000000000001,2
CC12CC3CC3(C1)OO2,126.155,2,0,0,3,2,18.46,1.2593999999999999,3
CC1N2C3OC3CC12C,125.17099999999999,2,0,0,3,2,15.54,0.5778,5
C1=C2CC3OCC(C1)N23,123.155,2,0,0,3,2,12.47,0.7046,2
CC1=CC2OC3CC3(C1)O2,138.166,2,0,0,3,2,18.46,1.2204,3
CC1OC2CC1C1NCC21,139.198,2,1,0,3,2,21.259999999999998,0.3816,5
CC1CC2OC3CC2NC13,139.198,2,1,0,4,2,21.259999999999998,0.5240999999999998,5
CNC1C2N3C1(C)C23C,124.18699999999998,2,1,1,4,2,15.04,-0.1968000000000003,5
CC1C2OC3CN=C2C31,123.15499999999999,2,0,0,4,2,21.59,0.47429999999999994,4
CC1C2CC3OC1C3C2O,140.182,2,1,0,3,2,29.46,0.4004999999999999,6
CC12CC3OC(C3O)C1C2,140.18199999999996,2,1,0,4,2,29.46,0.5446,5
OC1C2CC=C3CC1C2N3,137.182,2,2,0,3,2,32.26,0.24279999999999996,4
CC12CC3=NC(C1)C32O,123.15499999999999,2,1,0,3,2,32.59,0.3544,3
CN1CC2C3=CC1(C)N32,122.17099999999999,2,0,0,3,2,6.25,0.2296999999999998,2
CC1C2C3CC3C1(O)C2O,140.182,2,2,0,4,2,40.46,-0.006000000000000005,6
CC12OC3CC1C31OC21,124.13899999999998,2,0,0,6,2,21.759999999999998,0.31499999999999995,5
O=CC12CC3CC1NC32,123.15499999999997,2,1,1,5,2,29.1,-0.06429999999999997,4
CC1C2NC1C1CCC1O2,139.19799999999998,2,1,0,4,2,21.259999999999998,0.7291999999999998,5
CC1C2OC3C(=O)C3C12,124.13899999999997,2,0,0,3,2,26.3,0.2185999999999999,5
CC12CNC(C1)C1OC12,125.17099999999998,2,1,0,3,2,24.56,0.1356,4
CC1=CC2NC3OC1C23,123.15499999999997,2,1,0,3,2,21.259999999999998,0.25919999999999993,4
OC1C2CC3COC(C2)C31,140.182,2,1,0,3,2,29.46,0.4021000000000001,5
O=C1CC2C3CCC3(O)C12,138.166,2,1,0,3,2,37.3,0.3463,4
CC1=C2C3CCC1OC23O,138.166,2,1,0,4,2,29.46,0.8139000000000001,3
OC1C2C=C3CCC1C32O,138.166,2,2,0,3,2,40.46,0.05819999999999986,4
CC12C3CC(C1CO)C2N3,139.19799999999998,2,2,1,5,2,32.26,-0.024900000000000033,5
O=C1CC2=C3CCC1N32,121.139,2,0,0,3,2,20.08,0.6488,1
OC1CC2C=C1C1COC21,138.166,2,1,0,3,2,29.46,0.32220000000000004,4
CC1C=C2C3C(O1)C23O,124.13899999999997,2,1,0,4,2,29.46,0.07459999999999994,4
C1=CC2NC3OCC1C23,123.15499999999997,2,1,0,3,2,21.259999999999998,0.11669999999999986,4
C1=C2CCC3OC1NC23,123.15499999999997,2,1,0,3,2,21.259999999999998,0.40330000000000005,3
CC12CC3NCC1N3C2,124.187,2,1,0,4,2,15.27,0.009899999999999798,4
C1CC2C3C(CO1)CN23,125.171,2,0,0,3,2,12.24,0.08929999999999993,4
CC12CC3OC=C1NC32,123.15499999999999,2,1,0,4,2,21.259999999999998,0.6083999999999998,3
CC1OC2NC1C21CC1,125.17099999999998,2,1,0,4,2,21.259999999999998,0.4831999999999998,3
CC12OC3(O)C1CC23C,126.15499999999997,2,1,0,5,2,29.46,0.5037,4
CC1C2CC3CC1(O)N32,125.17099999999999,2,1,0,3,2,23.47,0.17130000000000006,4
CC1CC2C(O)C3C(C1)N23,139.19799999999998,2,1,0,3,2,23.240000000000002,0.2121999999999999,6
OC1C2C=C3OCCC312,124.139,2,1,0,3,2,29.46,0.2812999999999999,3
OC12CC3CC(C1)C2N3,125.17099999999999,2,2,0,3,2,32.26,-0.12840000000000001,4
CC1C2NC(=O)C3C1C23,123.15499999999997,1,1,0,3,2,29.1,-0.003300000000000025,5
C1C2CC3(COC1O3)C2,126.15499999999997,2,0,0,4,2,18.46,0.9117999999999999,1
CC1C2OC3C=C(O)C1C32,138.16599999999997,2,1,0,3,2,29.46,1.0914,5
CC1N2CC13CC2C3O,125.17099999999998,2,1,0,6,2,23.47,-0.17629999999999985,5
CC1CC2C1C1(O)CN21,125.17099999999999,2,1,0,3,2,23.240000000000002,0.028799999999999992,5
OC12CCC3NC1C32,111.14399999999998,2,2,0,3,2,32.26,-0.5185000000000002,4
CC1C2CC3(O)C1N23,111.14399999999999,2,1,0,3,2,23.240000000000002,-0.21880000000000005,5
CC1CC2CC3NC1C23O,139.198,2,2,0,3,2,32.26,0.11759999999999982,5
CN1C2NC3CC=C3C21C,136.19799999999998,2,1,0,3,2,15.04,0.3185,4
CC1C2CC3C(CC13)N2,123.19899999999998,1,1,0,3,1,12.03,1.0027,5
OC1C2CCN=C3C1C32,123.15499999999999,2,1,0,3,2,32.59,0.06780000000000008,4
CC1C2OC3COCC3C12,140.182,2,0,0,3,2,18.46,0.6660999999999999,5
CC1CC12NC1CC1O2,125.17099999999998,2,1,0,3,2,21.259999999999998,0.4831999999999999,4
CC12C=C(CNC1O)C2,125.17099999999999,2,2,0,3,2,32.26,0.24440000000000006,2
OC1C2CC3C4CC2NC143,137.182,2,2,0,4,2,32.26,-0.27250000000000013,6
OC1COC2C3=CC3C12,124.13899999999997,2,1,0,3,2,29.46,-0.06790000000000007,4
C1=C2OC3CC3C2CO1,124.13899999999998,2,0,0,3,2,18.46,0.8929,3
CC12C(O)CC3C1C32C,124.18299999999999,1,1,0,4,1,20.23,1.0232,5
CCC12CCC3OC1C32O,140.182,2,1,1,3,2,29.46,0.6886999999999999,4
CC1CC23CC2C(O1)C3O,140.182,2,1,0,4,2,29.46,0.5446,5
