SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
N=c1[nH]cnc(O)c1N,126.119,4,4,0,1,5,98.78,-0.8230300000000002,0
NC1C(=O)COC1=NO,130.103,5,2,0,1,5,84.91000000000001,-1.2993,1
COc1cnoc1N,114.104,4,1,1,1,4,61.28,0.26539999999999997,0
NC(=O)Cc1ncn[nH]1,126.119,3,2,2,1,5,84.66,-1.1675000000000002,0
N=Cc1[nH]nnc1N,111.10800000000002,4,3,1,1,5,91.44,-0.6154300000000001,0
COc1nnc(C#N)[nH]1,124.103,4,1,1,1,5,74.59,-0.31502,0
Nc1ccc(OC=O)[nH]1,126.115,3,2,2,1,4,68.11,0.1321,0
N=Cc1nc(N)c(O)o1,127.103,5,3,1,1,5,96.13000000000001,-0.03993000000000002,0
N=C1C=NCOC(=N)N1,126.119,4,3,0,1,5,81.32,-0.45346000000000014,0
O=Cc1n[nH]c(C=O)n1,125.08699999999997,4,1,2,1,5,75.71000000000001,-0.5703,0
COc1oc(=O)oc1N,131.087,5,1,1,1,5,78.6,-0.1764,0
CN1N=CN=CNC1=N,125.13499999999999,3,2,0,1,5,63.84,-0.57223,0
N=c1cc(O)nco1,112.08799999999998,4,2,0,1,4,70.11,-0.14033000000000007,0
Nc1cnc(=O)[nH]n1,112.092,4,2,0,1,5,84.66,-1.2529000000000001,0
C#Cc1cnnnc1N,120.11500000000001,4,1,0,1,4,64.69,-0.5649000000000002,0
N=CN1C=NC(=O)NC1,126.11899999999999,2,2,1,1,5,68.55,-0.39553000000000016,0
CNc1n[nH]ncc1=N,125.13499999999999,4,3,1,1,5,77.45,-0.6741300000000003,0
O=Cc1n[nH]c(CO)n1,127.10299999999998,4,2,2,1,5,78.87,-0.8905000000000001,0
N=C1COCOC(=N)C1=N,141.13,5,3,0,1,5,90.00999999999999,0.007510000000000017,0
N=c1[nH]cncc1O,111.10399999999998,3,3,0,1,4,72.76,-0.4052300000000001,0
N=C1COCOC(=N)N1,129.119,4,3,0,1,5,78.19,-0.50766,0
O=CN=C1NC(=O)O1,114.05999999999999,3,1,1,1,5,67.76,-0.7613999999999999,0
NC(=O)Nc1ccno1,127.10299999999998,3,2,1,1,5,81.15,0.16520000000000012,0
COc1cn[nH]c1N,113.12,3,2,1,1,4,63.92999999999999,0.0004999999999998894,0
CC1=NN=C1C(N)=O,111.104,3,1,1,1,4,67.81,-0.6978,0
CCC1=NC(=NO)OC1=O,142.11399999999998,4,1,1,1,5,71.25,0.13940000000000002,0
CC(=O)Nc1cnno1,127.103,4,1,1,1,5,68.02000000000001,0.02799999999999986,0
N=C1CNC(=O)COO1,130.10299999999998,4,2,0,1,5,71.41000000000001,-0.9583300000000003,0
N=C1OC=NCC1=O,112.088,4,1,0,1,4,62.51,-0.40873000000000004,0
Nc1[nH]cnc1NC=O,126.11899999999999,3,3,2,1,5,83.80000000000001,-0.4398000000000002,0
N=c1ocnnc1C=O,125.08699999999999,5,1,1,1,5,79.84,-0.6384300000000003,0
N=c1[nH]nncc1C=O,124.10299999999998,4,2,1,1,5,82.49000000000001,-0.9033300000000004,0
NC(=O)c1nc[nH]c1N,126.119,3,3,1,1,5,97.79,-0.9092000000000005,0
N#Cc1cnn[nH]c1=O,122.08699999999999,4,1,0,1,5,82.43,-0.9634200000000002,0
CC(=N)N1COC(N)=N1,128.135,4,2,0,1,5,74.7,-0.49703,0
Cc1[nH]nnc1NC=O,126.11899999999999,3,2,2,1,5,70.67,-0.31858000000000025,0
CNc1ncnc(=O)[nH]1,126.11899999999999,4,2,1,1,5,70.67,-0.7934000000000001,0
Cc1nc(=O)nc(O)[nH]1,127.10299999999998,4,2,0,1,5,78.87,-0.8210800000000003,0
Cc1nc(=N)[nH]c(=O)[nH]1,126.11899999999999,3,3,0,1,5,85.38999999999999,-1.1141099999999997,0
N=Cc1ncc(=N)[nH]n1,123.119,4,3,1,1,5,89.27,-0.7181600000000001,0
Cc1nc(N)[nH]c(=O)n1,126.119,4,2,0,1,5,84.66,-0.9444800000000002,0
NC(=O)c1cnn[nH]1,112.092,3,2,1,1,5,84.66,-1.0964000000000003,0
COc1cnc(=O)[nH]n1,127.103,4,1,1,1,5,67.87,-0.8265000000000002,0
N=CN=C1OCC(=O)O1,128.087,4,1,1,1,5,71.74,-0.47713000000000005,0
N=c1ncc(C=O)n[nH]1,124.103,4,2,1,1,5,82.49000000000001,-0.9033300000000002,0
CNc1nc(C=N)n[nH]1,125.13499999999999,4,3,2,1,5,77.45,-0.15593000000000024,0
Nc1ncnc(C=O)n1,124.10299999999998,5,1,1,1,5,81.76,-0.7337,0
N=C1NC(=N)OCO1,115.092,4,3,0,1,5,78.19000000000001,-0.55016,0
N#CCc1n[nH]nc1N,123.11900000000001,4,2,1,1,5,91.38,-0.5470200000000003,0
COC(=O)c1nnc[nH]1,127.10300000000001,4,1,1,1,5,67.87,-0.4087,0
Cc1[nH]nnc1C=O,111.10399999999998,3,1,1,1,4,58.64,-0.07438000000000006,0
