SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC(C=O)OC1(C)CN1,129.159,3,1,3,1,3,48.24,-0.09020000000000022,2
COC(=O)CC1CC1O,130.143,3,1,2,1,3,46.53,-0.06970000000000015,2
CC1(C=N)CCC1=O,111.144,2,1,1,1,2,40.92,1.0051700000000001,1
C#CC1CCNCN1,110.16000000000001,2,2,0,1,2,24.06,-0.4714,1
CC(=O)C(C=O)CCO,130.143,3,1,4,0,3,54.370000000000005,-0.22710000000000002,1
COCC(=O)C1CCCO1,144.17,3,0,3,1,3,35.53,0.3809,1
CC1(C=O)CCCO1,114.144,2,0,1,1,2,26.3,0.7544,1
COC(C)C1(C)CNCO1,145.202,3,1,2,1,3,30.49,0.3573,2
CC1(CCO)CC(=O)C1,128.171,2,1,2,1,2,37.3,0.738,0
C#CC(=N)COC1CC1,123.15499999999999,2,1,3,1,2,33.08,0.81837,0
CC(=O)C(C=O)CCO,130.143,3,1,4,0,3,54.370000000000005,-0.22710000000000002,1
CC1(CCO)CC(=O)C1,128.171,2,1,2,1,2,37.3,0.738,0
CCC(=O)NCC1CC1,127.18699999999998,1,1,3,1,2,29.1,0.9225999999999999,0
CN=CC(=O)OC1CC1,127.14299999999999,3,0,2,1,3,38.66,0.39259999999999984,0
CC(=O)NC1CCC1,113.16,1,1,1,1,2,29.1,0.675,0
CC(=O)CC1(C)CO1,114.14399999999999,2,0,2,1,2,29.6,0.7544,1
C#CCC(O)CC1CO1,126.15499999999999,2,1,3,1,2,32.76,0.15950000000000003,2
CCC1(C=O)CCCO1,128.171,2,0,2,1,2,26.3,1.1445,1
CC(=O)CC1CCOC1,128.171,2,0,2,1,2,26.3,1.002,1
CC1(CO)CC1OC=O,130.143,3,1,3,1,3,46.53,-0.0697000000000001,2
CCCC1CCOC1=O,128.171,2,0,2,1,2,26.3,1.3496,1
CC(=O)CC1CCO1,114.14399999999999,2,0,2,1,2,26.3,0.7544,1
CCC(NC=O)C(C)=O,129.159,2,1,4,0,3,46.17,0.0999999999999997,1
CCC1(C=O)CCCO1,128.171,2,0,2,1,2,26.3,1.1445,1
CCCC1OCCC1=O,128.171,2,0,2,1,2,26.3,1.1445,1
C#CCC1CN=CNC1,122.171,2,1,1,1,2,24.39,0.25740000000000013,1
CC1(C(C=O)CO)CO1,130.143,3,1,3,1,3,49.83,-0.4173,2
O=CCCC1(CO)CO1,130.143,3,1,4,1,3,49.83,-0.2732000000000001,1
CCCC1OCC1C#N,125.17099999999999,2,0,2,1,2,33.019999999999996,1.32508,2
CC(=O)CCC1COC1,128.171,2,0,3,1,2,26.3,1.002,0
CC(=O)CNC1CC1,113.15999999999998,2,1,3,1,2,29.1,0.32739999999999997,0
CC(=O)CCC1CO1,114.14399999999999,2,0,3,1,2,29.6,0.7544,1
CCC(=O)CC1CCO1,128.171,2,0,3,1,2,26.3,1.1445,1
CC1(C=O)CCNCC1,127.18700000000001,2,1,1,1,2,29.1,0.5749999999999997,0
CCC1(CCO)CO1,116.15999999999998,2,1,3,1,2,32.76,0.5478000000000001,1
CC1(CC=O)OCC1=O,128.127,3,0,2,1,3,43.370000000000005,-0.06659999999999999,1
CC(C=O)C1(C)CO1,114.14399999999999,2,0,2,1,2,29.6,0.6103,2
CC(O)CCC1OCC1=O,144.17,3,1,3,1,3,46.53,0.11529999999999996,2
CC(=O)C1CC1(C)CO,128.171,2,1,2,1,2,37.3,0.5939000000000001,2
CC1CCOC(=O)CC1,128.171,2,0,0,1,2,26.3,1.3496000000000001,1
C#CC1(CC=N)CCN1,122.17099999999999,2,2,2,1,2,35.88,0.3913699999999999,1
CC(=O)CC1(CO)CC1,128.171,2,1,3,1,2,37.3,0.738,0
