SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC(C)C(C)C1=CC=N1,123.19899999999998,1,0,2,1,1,12.36,2.2468000000000004,1
CC(C)C1=CC(F)=CNC=C1,153.2,1,1,1,1,2,12.03,2.496600000000001,0
CCOC(C)N(C)CC,131.21900000000002,2,0,4,0,2,12.47,1.3206,1
CC(C)C(C)C(C)([N+])F,131.194,0,0,2,0,2,22.3,2.0328999999999997,2
CC(C)CCCC(F)F,136.185,0,0,4,0,2,0.0,3.0778000000000016,0
CCCC(C)(C)F,104.16799999999999,0,0,2,0,1,0.0,2.534600000000001,0
CC(C)c1ccc(F)cc1,138.18499999999997,0,0,1,1,1,0.0,2.9491000000000014,0
CN=C1C=CC(F)C=C1,125.14599999999997,1,0,0,1,2,12.36,1.5213,0
COC(C)C(C)C(C)(F)F,152.18399999999997,1,0,3,0,3,9.23,2.3126000000000007,2
C=COC(C)C1CC1F,130.16199999999998,1,0,3,1,2,9.23,1.893,3
Cc1cc(F)cc(C)c1C,138.185,0,0,0,1,1,0.0,2.750960000000001,0
CCC(F)C(C)C(C)F,136.18499999999997,0,0,3,0,2,0.0,2.728600000000001,3
CC(C)OCC(C)C(F)F,152.18399999999997,1,0,4,0,3,9.23,2.3126000000000007,1
CCC(C)NC(C)CF,133.20999999999998,1,1,4,0,2,12.03,1.7325,2
CC(C=N)C(C)(C)F,117.167,1,1,2,0,2,23.85,2.0201700000000002,1
CC(F)OCC(C)(C)C,134.194,1,0,2,0,2,9.23,2.3646000000000003,1
CCC(F)C(C)(F)OC,138.15699999999998,1,0,3,0,3,9.23,2.0666,2
CCC1COCCC1=NC,141.214,2,0,1,1,2,21.59,1.5037,1
CCOC(F)C(C)(C)C(C)F,166.21099999999998,1,0,4,0,3,9.23,2.702700000000001,2
CCC(C)C(C)(F)CF,136.185,0,0,3,0,2,0.0,2.730200000000001,2
CC(F)CC1=NCC1C,129.178,1,0,2,1,2,12.36,1.8252000000000002,2
CCC(C)CC1=COC=NN1,154.213,3,1,3,1,3,33.62,1.8271,1
CCC(C)OCC(C)(F)F,152.18399999999997,1,0,4,0,3,9.23,2.4567000000000005,1
CCC(C)NC1=CNC=CO1,154.213,3,2,3,1,3,33.29,1.2644,1
CCC(C)C(F)NC(C)F,151.2,1,1,4,0,3,12.03,2.2332,3
CC(C)(C)c1[nH]ccc1F,141.18899999999996,0,1,0,1,2,15.79,2.4513,0
CC(C)c1ccn(C)c1,123.19899999999997,1,0,1,1,1,4.93,2.1485000000000003,0
CCC(C)c1ccc(F)[n-]1,140.18099999999998,0,0,2,1,2,14.100000000000001,2.2964,1
CC(C)C1C=COC=C1F,142.17299999999997,1,0,1,1,2,9.23,2.6134000000000013,1
CCC(C)CNC(C)(F)F,151.2,1,1,4,0,3,12.03,2.2348,1
CC(C)N(F)C1(C)C=C1,129.178,1,0,2,1,2,3.24,1.9098,0
CCC(C)(F)C(C)CF,136.18499999999997,0,0,3,0,2,0.0,2.730200000000001,2
