SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)C1NC(O)O1,127.09899999999998,4,2,1,1,4,58.56,-1.5895000000000004,2
N#CC(N)C1OC1CO,128.13099999999997,4,2,2,1,4,82.57000000000001,-1.4030200000000002,3
O=CC1(O)CNC1=O,115.088,3,2,1,1,4,66.4,-1.9538000000000002,1
N=C(O)C1COC1CO,131.131,3,3,2,1,4,73.54,-0.4710300000000002,2
NC(=O)C1NCC1CO,130.147,3,3,2,1,4,75.35000000000001,-1.9479999999999997,2
O=CC1NC(O)C1=O,115.08799999999998,4,2,1,1,4,66.4,-1.9554000000000007,2
N#CC1(O)CNC1CO,128.131,4,3,1,1,4,76.28,-1.7948199999999999,2
N=C(O)C1(CO)COC1,131.13099999999997,3,3,2,1,4,73.54,-0.46943,0
N#CC1NC1C(O)CO,128.13099999999997,4,3,2,1,4,86.19000000000001,-1.7964200000000001,3
O=CC1NC(=O)C1O,115.08799999999998,3,2,1,1,4,66.4,-1.9553999999999998,2
N#CC1(C=N)NCC1=O,123.11499999999998,4,2,1,1,4,76.74000000000001,-0.9293500000000003,1
N#CC(=O)C1CNC1O,126.11499999999998,4,2,1,1,4,73.12,-1.3831200000000003,2
NC(=O)C1COC1=O,115.088,3,1,1,1,4,69.39000000000001,-1.3553,1
O=CC1(O)C(O)C1CO,132.11499999999998,4,3,2,1,4,77.76,-2.1006,3
O=CC1NC(=O)C1CO,129.115,3,2,2,1,4,66.4,-1.7078,2
N#CC(O)C1(CO)CN1,128.131,4,3,2,1,4,86.19,-1.7948199999999996,2
COC1N=CC(=O)C1O,129.11499999999998,4,1,1,1,4,58.89,-1.0267,2
O=C(CO)C1CNC1=O,129.115,3,2,2,1,4,66.4,-1.7062000000000002,1
N#CC(=N)C1OCC1=O,124.09899999999998,4,1,1,1,4,73.94,-0.5023500000000001,1
O=C1CC(=O)C(CO)N1,129.11499999999998,3,2,1,1,4,66.4,-1.5637000000000003,1
N#CC1(C(N)=O)CNC1,125.131,3,2,1,1,4,78.91,-1.41512,0
N#CC1(CO)NC1CO,128.13099999999997,4,3,2,1,4,86.19,-1.7948200000000003,2
O=CNC1C(O)C1CO,131.131,3,3,3,1,4,69.56,-1.9160000000000006,3
N=C1CC1C(=O)NCO,128.131,3,3,2,1,4,73.18,-0.9079300000000001,1
N#CC(=N)C1NC1CO,125.13099999999997,4,3,2,1,4,89.81,-1.13755,2
O=CC1=CC(O)C1O,114.09999999999997,3,2,1,1,3,57.53,-1.1529000000000003,2
N=C1NC1CC(N)C=O,127.147,3,3,3,1,4,88.88,-1.1482299999999999,2
NC1=NC(=O)C1CO,114.10399999999997,3,2,1,1,4,75.67999999999999,-1.5077,1
N=C(N)C1NC1C(=O)CO,143.146,4,4,3,1,5,109.11,-2.175829999999999,2
NC1C(C=O)C1(O)C=O,129.11499999999998,4,2,2,1,4,80.39000000000001,-1.9276000000000002,3
O=CC1CNC(=O)C(=O)N1,142.11399999999998,3,2,1,1,5,75.27,-2.2001,1
NC(=O)NC1CC1=O,114.10399999999998,2,2,1,1,4,72.19,-1.0039,1
CN1C(=O)CC1NC#N,125.131,3,1,1,1,4,56.13,-0.7547200000000001,1
O=C1NCC(CO)C1O,131.131,3,3,1,1,4,69.56,-1.9144,2
O=CC1CC(O)C(=O)N1,129.11499999999998,3,2,1,1,4,66.39999999999999,-1.5653000000000001,2
N#CC(N)C(=N)C1CO1,125.13099999999999,4,2,2,1,4,86.19,-0.7441500000000001,2
CNC(=O)C1(CO)CN1,130.147,3,3,2,1,4,71.27,-1.9332999999999991,1
N#CC1(N)NC1C=O,111.10399999999997,4,2,1,1,4,88.82,-1.66432,2
CNCC1C(=N)NC1=O,127.14699999999999,3,3,2,1,4,64.98,-1.0709300000000004,1
NC(=O)C1CCOC1=O,129.115,3,1,1,1,4,69.39000000000001,-0.9652000000000001,1
N#CC1(C=O)CNC1=O,124.09899999999999,3,1,1,1,4,69.96000000000001,-1.1749200000000002,1
NCC1(C=O)COC1=O,129.11499999999998,4,1,2,1,4,69.39000000000001,-1.3128,1
CC1(O)C(=O)NC1O,117.10399999999998,3,3,0,1,4,69.56,-1.8144000000000005,2
N#CC1CCOC(O)N1,128.131,4,2,0,1,4,65.28,-0.83562,2
N=C1C(=O)CNC1C=O,126.11499999999998,4,2,1,1,4,70.02000000000001,-1.2540300000000002,1
NCC1C(=O)COC1=O,129.11499999999998,4,1,1,1,4,69.39000000000001,-1.3128,1
N#CC1(CN)CNC1O,127.14699999999998,4,3,1,1,4,82.07000000000001,-1.6233199999999999,2
NC1NC(C=O)CC1=O,128.131,4,2,1,1,4,72.19,-1.5989000000000004,2
NC(CO)C1C(=O)C1O,131.131,4,3,2,1,4,83.55,-2.1342,3
N=C(N)C1NCCC1=O,127.14699999999999,3,3,1,1,4,78.97,-1.1466299999999998,1
CC1(CN=O)NC1C=N,127.14699999999998,4,2,3,1,4,75.22,0.13286999999999993,2
NC(=O)C1C(=O)C1O,115.08799999999998,3,2,1,1,4,80.39,-1.9685000000000001,2
N#CC(N)C1(C=O)CN1,125.13099999999999,4,2,2,1,4,88.82,-1.62182,2
O=CC1(O)CC(=O)CN1,129.115,4,2,1,1,4,66.39999999999999,-1.5637000000000003,1
N=C1C(=O)OCC1CO,129.115,4,2,1,1,4,70.38000000000001,-0.82853,1
N#CC(N)C(=N)C1CN1,124.14699999999999,4,3,2,1,4,95.6,-1.1711499999999997,2
NC(=O)C1CNC1=O,114.104,2,2,1,1,4,72.19,-1.7823000000000004,1
NC(=O)C1(C=O)CCN1,128.131,3,2,2,1,4,72.19,-1.5973000000000002,1
NC(=O)C1(CO)CNC1,130.147,3,3,2,1,4,75.35000000000001,-1.9464,0
CNC1NC(=O)CC1=O,128.131,3,2,1,1,4,58.199999999999996,-1.3791,1
O=C1C(O)C(O)C1O,118.08799999999998,4,3,0,1,4,77.76,-2.3482,2
O=C1CNC(=O)N(CO)C1,144.13,3,2,1,1,5,69.64,-1.4694999999999998,0
