SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
COCC#CC(=O)C=N,125.12699999999998,3,1,2,0,3,50.150000000000006,-0.14512999999999993,0
CC(=O)OC=CC(C)O,130.143,3,1,2,0,3,46.53,0.444,1
CC(O)CNC#CC#N,124.14299999999999,3,2,2,0,3,56.05,-0.5587199999999999,1
CCCC(=O)C(C)NC=O,143.18599999999998,2,1,5,0,3,46.17,0.49010000000000004,1
N#CCCC(C#N)CC=N,135.17,3,1,4,0,3,71.43,1.46963,1
CC(C)(CO)C(=O)O,118.13199999999998,2,2,2,0,3,57.53,0.08950000000000002,0
CC(=N)CCOCC#N,126.159,3,1,4,0,3,56.87,0.95635,0
CC(CC=O)CC(N)C#N,140.186,3,1,4,0,3,66.88,0.4524800000000001,2
CC[N+](C)([O-])C(C)O,119.16399999999997,2,1,2,0,3,43.29,0.289,2
COC(=O)C=C(C)C=O,128.12699999999998,3,0,2,0,3,43.370000000000005,0.3046,0
C#CCCNC(O)CC#N,138.16999999999996,3,2,4,0,3,56.05,-0.16862000000000033,1
CC#CCC(N)OC#N,124.143,3,1,2,0,3,59.04,0.1822800000000001,1
C#CN(CC)CC(=O)O,127.14299999999999,2,1,3,0,3,40.540000000000006,-0.016400000000000026,0
CC#CC(CC#N)OC=N,136.154,3,1,3,0,3,56.87,0.9156500000000001,1
CC(C)(N)CC(=O)C#N,126.15899999999999,3,1,2,0,3,66.88,0.20647999999999989,0
CCNCC(=O)C(C)=O,129.159,3,1,4,0,3,46.17,-0.246,0
CC(=N)C(C)OC(C)=O,129.159,3,1,2,0,3,50.15,0.97767,1
CCNC(C)(C#N)OC,128.17499999999998,3,1,3,0,3,45.05,0.4820800000000001,1
CC#CC(O)C(=O)C#N,123.11099999999999,3,1,1,0,3,61.089999999999996,-0.5367200000000001,1
CC(C)(C#N)OCCC#N,138.17,3,0,3,0,3,56.809999999999995,1.21886,0
CC(=O)C=NC(C)O,115.13199999999998,3,1,2,0,3,49.66,-0.015500000000000014,1
C#CC(C=O)C(O)O,114.09999999999998,3,2,2,0,3,57.53,-1.2546000000000002,1
C#CC(O)=NC(C)O,113.11599999999999,2,2,1,0,3,52.82000000000001,-0.08560000000000012,1
CNC(C=O)C(O)CC#N,142.158,4,2,4,0,4,73.12,-0.9521200000000005,2
CC(=O)CN=C(C)C#N,124.14299999999999,3,0,2,0,3,53.22,0.5598799999999999,0
C#CC(C=O)CCN,111.14400000000002,2,1,3,0,2,43.09,-0.21650000000000003,1
C#CC(=O)CCC(C)=N,123.155,2,1,3,0,2,40.92,1.00857,0
CNC(C=O)CC(C)C#N,140.18599999999998,3,1,4,0,3,52.89,0.3230799999999996,2
C[N+](C)([O-])CCC=O,117.148,2,0,3,0,3,40.129999999999995,0.14959999999999973,0
C#CC(O)CC(=N)O,113.116,2,3,2,0,3,64.31,-0.09413000000000005,1
CCCC(=O)C(C)(O)C=O,144.16999999999996,3,1,4,0,3,54.37,0.30549999999999994,1
CC(C)(CC#N)N=O,112.132,3,0,2,0,3,53.22,1.4450800000000001,0
CC(C)(O)C(=N)CO,117.148,3,3,2,0,3,64.31,-0.23062999999999995,0
C#CCOCC(=N)OCC,141.17,3,1,4,0,3,42.31,0.6499699999999999,0
CC#CCOCC(=O)C=O,140.13799999999998,3,0,4,0,3,43.370000000000005,-0.2057,0
CN=C(O)C=C(C)C=O,127.14299999999997,2,1,2,0,3,49.660000000000004,0.7179000000000002,0
C#CCC(O)OCC=O,128.12699999999998,3,1,4,0,3,46.53,-0.45640000000000014,1
C#CCOCC(=N)C=O,125.12699999999998,3,1,4,0,3,50.15,-0.14512999999999993,0
CC(C=O)C(N)CC=O,129.159,3,1,4,0,3,60.160000000000004,-0.2623000000000002,2
C#CCC(=N)C(C)=N,108.14399999999999,2,2,2,0,2,47.7,1.06914,0
C#CC(=N)CCC(=O)O,125.12699999999998,2,2,3,0,3,61.150000000000006,0.50417,0
C#CC(C)(CO)COC=N,141.17,3,2,4,0,3,53.31,0.24187000000000003,1
CC(=N)C(=O)C(C)C=O,127.14299999999997,3,1,3,0,3,57.99,0.43017,1
CCCC(CC=O)C(N)=O,143.186,2,1,5,0,3,60.160000000000004,0.477,1
CC(=N)CC(C)(O)C=O,129.159,3,2,3,0,3,61.15,0.36606999999999995,1
C#CC(=O)CCC(N)C=O,139.154,3,1,4,0,3,60.160000000000004,-0.5049000000000001,1
CC(C)(C=O)C(N)C=N,128.175,3,2,3,0,3,66.94,0.18836999999999987,1
CCC(C#N)CC(O)C=N,140.18599999999998,3,2,4,0,3,67.87,0.93675,2
C#CCOC(O)C#N,111.09999999999998,3,1,2,0,3,53.25,-0.52182,1
CC(C)C(C[NH3+])OC#N,129.183,2,1,3,0,3,60.660000000000004,-0.24941999999999964,1
CC#CCC(O)(O)C=O,128.12699999999998,3,2,2,0,3,57.53,-0.7204000000000002,0
CC(C=O)C(C)OC#N,127.14299999999999,3,0,3,0,3,50.09,0.7075799999999999,2
CC#CCNCC(=O)O,127.14299999999997,2,2,3,0,3,49.33,-0.3160999999999999,0
CC(=O)NCC=C=O,113.11599999999999,2,1,2,0,3,46.17,-0.4897,0
CNC(C)CNC(C)=O,130.191,2,2,3,0,3,41.129999999999995,-0.2696000000000003,1
CCC(=O)C#CCC(=N)O,139.154,2,2,2,0,3,61.150000000000006,0.8942700000000001,0
C#CCOCC(O)C(C)=O,142.15399999999997,3,1,4,0,3,46.53,-0.41390000000000016,1
CC=C(O)C(O)CCO,132.159,3,3,3,0,3,60.69,0.19150000000000006,1
COC(C)CCNC#N,128.175,3,1,4,0,3,45.05,0.4820799999999999,1
C#CC(C)(C#N)NCO,124.14299999999999,3,2,2,0,3,56.05,-0.5587200000000001,1
C#CC(O)(O)COC,116.11599999999999,3,2,2,0,3,49.69,-1.0531000000000001,0
C#CCC(O)NC#CO,125.12699999999998,3,3,2,0,3,52.489999999999995,-0.7914000000000001,1
CC(O)=CC#COC=O,126.11099999999999,3,1,1,0,3,46.53,0.5821000000000001,0
CC(O)C(C)C(N)C=O,131.175,3,2,3,0,3,63.32,-0.47050000000000014,3
CNC(=O)C=C(C)O,115.13199999999998,2,2,1,0,3,49.33,0.19419999999999987,0
CC(=O)CCC(C)=[N+]=[N-],126.159,1,0,3,0,3,53.47,1.0463,0
CC(=O)C(C)(C=O)CN,129.159,3,1,3,0,3,60.16,-0.26070000000000004,1
CCC(=N)C(C#N)C=O,124.14299999999997,3,1,3,0,3,64.71000000000001,0.75485,1
C#CC(=O)C(C)CN=O,125.127,3,0,3,0,3,46.5,0.5912,1
