SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(C)C1C2CCC21,120.19499999999998,0,0,1,2,0,0.0,1.9117,3
CC1C=C=CC2CCC12,120.19499999999998,0,0,0,2,0,0.0,2.3736000000000006,3
C#CCC1C2CC(C)C12,120.19499999999998,0,0,1,2,0,0.0,1.9117,4
CC1CC=C2COC2C1,124.18299999999999,1,0,0,2,1,9.23,1.7415,2
CC1=CC(C)C2(C)CC12,122.211,0,0,0,2,0,0.0,2.608600000000001,3
CC#CC1CCC2CC12,120.195,0,0,0,2,0,0.0,2.0558,3
CC#CC1CC2(C)CC12,120.195,0,0,0,2,0,0.0,2.0558,3
CC1C=CCC2CCC12,122.211,0,0,0,2,0,0.0,2.608600000000001,3
C#CC1C(C)C2CC12C,120.195,0,0,0,2,0,0.0,1.9117,4
CC1C=CCC2C=C1C2,120.195,0,0,0,3,0,0.0,2.5287000000000006,2
CC1C=CC2CC=CC12,120.19499999999998,0,0,0,2,0,0.0,2.3846000000000007,3
C#CC1C=C2CC1C2C,118.17899999999999,0,0,0,3,0,0.0,1.8317999999999999,3
C#CCC1C=CC2CC12,118.17899999999997,0,0,1,2,0,0.0,1.8317999999999999,3
CC#CC1CC2CCC12,120.195,0,0,0,2,0,0.0,2.0558,3
CC1C2C=CC=CCCC12,134.222,0,0,0,2,0,0.0,2.774700000000001,3
CC1C=C2CC2C1C,108.18399999999998,0,0,0,2,0,0.0,2.2184999999999997,3
C#CCC1CC2CC1C2,120.195,0,0,1,3,0,0.0,2.0558,1
C#CCC1C2CCC12C,120.195,0,0,1,2,0,0.0,2.0558,3
C1=CC2C=CCC2CC1,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC1C=C2CC=CCC21,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
CC1=CCC2CC1C2C,122.21099999999998,0,0,0,3,0,0.0,2.608600000000001,3
C#CC1CCC2CC1C2,120.195,0,0,0,3,0,0.0,2.0558,1
CC1=CCCC2C(C)C12,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,3
CC1=CCC(C)C2CC12,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,3
CC1CC=CC2C=CC21,120.19499999999996,0,0,0,2,0,0.0,2.3846000000000007,3
CC1C2C=CC(CO)C12C,138.20999999999998,1,1,1,2,1,20.23,1.4368999999999998,4
CC1C=CC2CC=CC12C,134.22199999999998,0,0,0,2,0,0.0,2.774700000000001,3
CCC1C=C2CC=CCC21,134.222,0,0,1,2,0,0.0,2.918800000000002,2
CC1C2C=CC=CCC12C,134.22199999999998,0,0,0,2,0,0.0,2.774700000000001,3
CC1=CCC2CCC12C,122.211,0,0,0,2,0,0.0,2.752700000000001,2
CC#CC1C2C=CCC12,118.17899999999997,0,0,0,2,0,0.0,1.8317999999999999,3
CC1=CC2=CCC(C)C12,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
CC1C=C2C=CCCC21,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
C#CC1(C)CC2(C)CC12,120.19499999999998,0,0,0,2,0,0.0,2.0558,3
CC1=C2CC(C)(C)C12C,122.21099999999998,0,0,0,2,0,0.0,2.752700000000001,1
C#CC1CC2CC1(C)C2,120.195,0,0,0,3,0,0.0,2.0558,1
CC1C=CC2C(C)C12,108.18399999999998,0,0,0,2,0,0.0,2.0744,4
CC1=CC2CC=CC1C2,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
