SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1(O)OCOC(=O)C1=O,146.09799999999998,5,1,0,1,5,72.83,-1.2051,1
N#Cc1ncc(O)o1,110.07199999999997,4,1,0,1,4,70.05,0.25187999999999994,0
Nc1ncncc1NC=O,138.12999999999997,4,2,2,1,5,80.9,-0.3729000000000002,0
N=C1OC(O)C(C=O)O1,131.087,5,2,1,1,5,79.61,-1.1461300000000003,2
N=CC1(C=O)NC(=N)O1,127.103,4,3,2,1,5,86.03000000000002,-0.9142600000000001,1
N#CC(=O)C1OC(=N)O1,126.07099999999998,5,1,1,1,5,83.17,-0.6132500000000001,0
NC1=NC(CO)C1=O,114.10399999999998,4,2,1,1,4,75.68,-1.7128000000000003,1
C#Cc1nc(O)oc1N,124.09899999999999,4,2,0,1,4,72.28,-0.05629999999999996,0
C#Cc1onnc1CN,123.11500000000001,4,1,1,1,4,64.94,-0.4903999999999999,0
N#CC(N)NC1=CN=N1,123.11899999999999,5,2,2,1,5,86.56,-0.35092000000000007,1
N[NH+]c1cnc(=O)oc1,127.10299999999998,5,2,1,1,5,84.72000000000001,-2.1107999999999993,0
N=C1ON=C(C=O)OO1,130.05899999999997,6,1,1,1,6,80.97,-0.58803,0
N=C1CC(N)C(=O)OCO1,144.12999999999997,5,2,0,1,5,85.4,-0.7880300000000002,1
NCc1ccnnnc1=O,138.13,5,1,1,1,5,81.75999999999999,-1.3095000000000003,0
Cc1nnc(N)c(N)n1,125.13500000000002,5,2,0,1,5,90.71,-0.6555800000000003,0
N=C1N=CN=CN(C=O)O1,140.10199999999998,4,1,1,1,6,78.11,-0.61863,0
N=c1ccnc(N)n1C=O,138.13,5,2,1,1,5,84.75999999999999,-1.0169300000000001,0
N#Cc1ncoc(=N)[nH+]1,123.09499999999998,4,1,0,1,5,87.81,-1.16015,0
O=CNc1cnoc1,112.08799999999998,3,1,2,1,4,55.13,0.24290000000000006,0
N=c1[nH]c(N)cnc1CO,140.14600000000002,4,4,1,1,5,98.78,-1.0363300000000002,0
C#CNc1cnncn1,120.115,4,1,1,1,4,50.7,-0.12580000000000008,0
[NH3+]Nc1cncc(O)n1,127.12699999999998,4,3,1,1,5,85.68,-1.249,0
Cc1[nH]c(OC#N)c[n+]1[O-],139.114,3,1,1,1,5,75.75,-0.18360000000000004,0
Nc1ccoc(=O)[n+]1[O-],128.08700000000002,4,1,0,1,5,83.17,-1.1446,0
CN1C=NN=C(CN)O1,128.13500000000002,5,1,1,1,5,63.21000000000001,-0.8361000000000001,0
CC(N)(O)c1cocn1,128.13099999999997,4,2,1,1,4,72.28,-0.20169999999999982,1
N=c1cccc(N)nn1,122.13100000000001,4,2,0,1,4,75.65,-0.46173000000000014,0
N=c1cnnc(CN)o1,126.119,5,2,1,1,5,88.79,-0.9922300000000008,0
O=C1N=CCOC(=O)C1=O,141.082,4,0,0,1,5,72.8,-1.2903000000000002,0
C#Cc1non1CO,112.088,4,1,1,1,4,51.19,-0.5928,0
CC1=NN=CC(=O)NC=N1,138.12999999999997,4,1,0,1,5,66.18,-0.45130000000000003,0
C#CC1=CN=NON1N,124.10300000000001,5,1,0,1,5,63.21000000000001,-0.050899999999999945,0
Cn1onc(C#N)c1=O,125.08699999999999,5,0,0,1,5,71.82,-0.75502,0
Cn1c(CN)noc1=O,129.119,5,1,1,1,5,74.05000000000001,-1.1680000000000001,0
N=C(N)Cn1ccnc1,124.14699999999998,3,2,2,1,4,67.69,-0.18093000000000048,0
CN=c1nnc(O)co1,127.10299999999997,5,1,0,1,5,71.51,-0.6943000000000004,0
N=C1COC1=NC(=O)O,128.087,3,2,0,1,5,82.74,0.11287000000000003,0
