SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1C(O)=C2CC3C2C13C,136.194,1,1,0,3,1,20.23,2.1042,4
CC12CNC3CC1C32C#N,134.182,2,1,0,3,2,35.82,0.5079800000000001,4
OC12C=CC1C1COCC12,138.166,2,1,0,3,2,29.46,0.17969999999999997,4
C1OC2COCC3C1CC23,140.182,2,0,0,4,2,18.46,0.6677,4
OC1CC2CC3CC1C3O2,140.182,2,1,0,3,2,29.46,0.5446,5
O=C1CC23COCC2CC13,138.166,2,0,0,3,2,26.3,0.6119,3
C1=CC2CC3C2CN3C1,121.18299999999999,1,0,0,5,1,3.24,0.8765,4
CC1C2=C3CCC21CO3,122.16699999999999,1,0,0,3,1,9.23,1.7006,2
C1=C2CCC3OC1NC23,123.15499999999997,2,1,0,3,2,21.259999999999998,0.40330000000000005,3
O=CC1C2OCC13CC23,124.139,2,0,1,4,2,26.3,0.22019999999999995,4
O=C1C2CCC=C3OC2C13,136.15,2,0,0,4,2,26.3,0.8779999999999999,3
CC1C2OCC3=COC2C31,138.166,2,0,0,3,2,18.46,0.9338,4
CC12OC3C1OC21CC31,124.13899999999998,2,0,0,4,2,18.46,0.31499999999999984,5
CC1C2CC3C1C3(C)N2,123.19899999999998,1,1,0,4,1,12.03,1.0027,5
OC1C2C3CC=NC2C13,123.15499999999999,2,1,0,4,2,32.59,0.06619999999999981,2
CC12OCC3COC1C2C3,140.18199999999996,2,0,0,3,2,18.46,0.8101999999999999,4
CC1OC2CC1C1=CC2N1,137.182,2,1,0,4,2,21.259999999999998,0.6493,4
C1=CN2C3CC2C3C1,107.15599999999999,1,0,0,5,1,3.24,0.9764999999999999,2
CC12COC=CC3C1N32,123.15499999999997,2,0,0,3,2,12.24,0.35539999999999994,4
CC12CCC3CC1(O3)O2,126.15499999999999,2,0,0,4,2,21.759999999999998,1.0543,3
C1=C2C3CCCOC1C23,122.16699999999999,1,0,0,3,1,9.23,1.3514,3
C#CCC12CC13COC23,120.15099999999998,1,0,1,3,1,9.23,0.7986,3
CC1CC23CC2=CN13,107.15599999999999,1,0,0,3,1,3.24,1.1206,2
CC12OC3CCC1C(=O)C32,138.166,2,0,0,4,2,26.3,0.7527999999999999,4
CC12CC3CNC1C32C,123.199,1,1,0,3,1,12.03,1.0043,4
CC1CC2=CC3OC2OC13,138.16599999999997,2,0,0,4,2,18.46,1.0763,4
CC12CCC3(C=O)OC1C32,138.166,2,0,1,3,2,26.3,0.7527999999999999,4
CC1(O)C2C3CC(N3)C21,125.17099999999999,2,2,0,4,2,32.26,-0.27250000000000013,4
CCC12C3C=CN1CC32,121.18299999999998,1,0,1,3,1,3.24,1.2241,3
CC1(C)C2CC13OC23,110.15599999999999,1,0,0,4,1,12.53,1.1837,3
CC1C2C=C3CCC(O2)C31,136.19400000000002,1,0,0,3,1,9.23,1.7399,4
O=C1C2CC=CC3C1N23,121.13899999999998,2,0,0,3,2,20.08,-0.04960000000000009,4
CC1CCC2C3C(=O)C23N1,137.182,2,1,0,3,2,29.1,0.3257999999999999,4
CC1(C)C2OC3CC1C3O2,140.182,2,0,0,3,2,18.46,1.1562,4
CC1C2CNC3CC31C2,123.19899999999998,1,1,0,4,1,12.03,1.0043,4
OCC1C2CC3CC(O2)C31,140.18200000000002,2,1,1,3,2,29.46,0.4020999999999999,5
