SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CCC1C(N)CC1C=O,127.18699999999998,2,1,2,1,2,43.09,0.5586999999999999,3
CCCC(=O)C(C)NC=O,143.18599999999998,2,1,5,0,3,46.17,0.49010000000000004,1
CC(=O)COCC1CCN1,143.186,3,1,4,1,3,38.33,-0.046099999999999974,1
CC1(O)COCC1CC=O,144.17,3,1,2,1,3,46.53,-0.027200000000000113,2
CC1(C(N)C=O)CCC1,127.187,2,1,2,1,2,43.09,0.7027999999999998,1
CC(=O)C(C)CC1CO1,128.171,2,0,3,1,2,29.6,1.0004,2
CC(O)CCNC1CC1,129.203,2,2,4,1,2,32.26,0.5092999999999999,1
COC1CCC(=O)CCO1,144.17,3,0,1,1,3,35.53,0.7285,1
CC1(C#N)CCN1C=O,124.143,2,0,1,1,3,44.1,0.1307799999999999,1
CN1CCC1(C)CC=N,126.20299999999999,2,1,2,1,2,27.090000000000003,1.12027,1
CCNC(C)(C#N)OC,128.17499999999998,3,1,3,0,3,45.05,0.4820800000000001,1
C#CC1(CCN)CCN1,124.18700000000001,2,2,2,1,2,38.05,-0.29950000000000027,1
CC(C=O)C(O)C1CCO1,144.16999999999996,3,1,3,1,3,46.53,-0.028799999999999937,3
CCC(C)(C=N)C1CN1,126.20299999999997,2,2,3,1,2,45.790000000000006,1.02407,2
CCC1CC(C(N)=O)CO1,143.186,2,1,2,1,3,52.32000000000001,0.28680000000000005,2
O=CCC(=O)CC1CCC1,140.182,2,0,4,1,2,34.14,1.3347,0
CCC1(CO)CCN1C=O,143.18599999999998,2,1,3,1,3,40.54,-0.010400000000000187,1
CCCC1NCOC1=O,129.159,3,1,2,1,3,38.33,0.25899999999999995,1
CCC1(C(=O)O)CO1,116.11599999999997,2,1,2,1,3,49.83,0.24999999999999994,1
COC(C)(C)C1NCO1,131.17499999999998,3,1,2,1,3,30.49,0.3148,1
CCOC(=O)CC1CCC1,142.19799999999998,2,0,3,1,2,26.3,1.7397,0
COC(CN)CC#N,114.14800000000001,3,1,3,0,3,59.04,-0.12622000000000017,1
COCC(=O)CC(C)CO,146.18599999999998,3,1,5,0,3,46.53,0.22039999999999998,1
CCC1(CC(N)=O)CCC1,141.214,1,1,3,1,2,43.09,1.4421000000000002,0
CC1CCC(O)C(=O)CO1,144.16999999999996,3,1,0,1,3,46.53,0.11530000000000001,2
C#CC1(C=O)CCC=N1,121.139,2,0,1,1,2,29.43,0.42189999999999994,1
