SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
COC1OCC1C=N,115.13199999999999,3,1,2,1,3,42.31,0.2548699999999999,2
CC(=N)OC(=[NH2+])[O-],102.093,3,2,0,0,4,81.73,-2.5244299999999997,0
O=C1NCC2(CCO2)O1,129.115,3,1,0,2,4,47.56,-0.1572,1
C#CC1(C(=N)[O-])C[NH2+]C1,124.143,2,2,1,1,3,63.519999999999996,-2.479429999999999,0
C#CC12CCC13NC23,105.13999999999999,1,1,0,3,1,21.94,0.12399999999999994,3
CCC12CCC1C=CO2,124.18299999999996,1,0,1,2,1,9.23,2.0891,2
CCC(C)C(=O)C#[N+][O-],127.14299999999999,2,0,2,0,3,44.489999999999995,1.4323,1
C#CC1C2CC1C2C#N,117.151,1,0,0,3,1,23.79,1.02528,2
C#CC(=O)C(=N)C(C)C,123.15499999999999,2,1,2,0,2,40.92,0.8644700000000001,0
Cc1cc(=O)c(=O)[nH]o1,127.09899999999999,3,1,0,1,4,63.07,-0.36347999999999997,0
OCC12OC3C4C1C3N42,125.12699999999998,3,1,1,9,3,32.7,-1.2300000000000002,3
NC1=C2CC3COC3C12,123.15499999999997,2,1,0,3,2,35.25,0.24770000000000003,3
C#CC1CC12CNC2C,121.18299999999999,1,1,0,2,1,12.03,0.6175999999999999,3
CC1CC(OC=O)CO1,130.143,3,0,2,1,3,35.53,0.3368,2
CC(=O)C(C)(O)C=O,116.11599999999997,3,1,2,0,3,54.37,-0.4747000000000001,1
COCC(O)C1=NCC1,129.159,3,1,3,1,3,41.82,-0.16159999999999997,1
CC1=CC2NCC2C1=O,123.15499999999999,2,1,0,2,2,29.1,0.10339999999999999,2
OC12C=NC3CC1CC3C2,137.18199999999996,2,1,0,4,2,32.59,0.6004,4
CC1CC(N)(CO)C1C,129.20299999999997,2,2,1,1,2,46.25,0.3520999999999998,3
COC12CC=C3NC1C32,123.15499999999997,2,1,1,3,2,21.259999999999998,0.2608,3
C#CC1(C)CC(O)O1,112.12799999999997,2,1,0,1,2,29.46,0.11699999999999994,2
CC1=CC23CC(NO2)C13,123.15499999999999,2,1,0,4,2,21.259999999999998,0.6084,3
CC1=NC2=COCC2N1,124.14299999999997,3,1,0,2,3,33.62,0.24820000000000003,1
O=C1CN=C2CC(C1)C2,123.15499999999999,2,0,0,3,2,29.43,0.8102,0
CCC(=O)C(=O)O,102.08899999999998,2,1,2,0,3,54.370000000000005,0.05009999999999998,0
CC1(O)CC1CC(N)O,131.175,3,3,2,1,3,66.48,-0.5755,3
CC1=CC(C)N1CO,113.16000000000001,2,1,1,1,2,23.47,0.5441,1
N=COC1N2CC12C=O,126.11499999999998,4,1,3,2,4,53.16,-0.7969300000000001,3
N=COCC(O)=NCO,132.119,4,3,4,0,5,85.9,-0.48363,0
ON=C1C2CC1N2,98.105,3,2,0,3,3,44.620000000000005,-0.43929999999999997,2
COC1(C)COCC1=N,129.159,3,1,1,1,3,42.31,0.44146999999999986,1
CC1CC12OCN2C=O,127.14299999999999,2,0,1,2,3,29.54,0.16860000000000008,2
C#CC(O)C1CC(C)N1,125.17099999999999,2,2,1,1,2,32.26,-0.26910000000000006,3
CN1CC12C(=O)CC2=O,125.12699999999998,3,0,0,2,3,37.15,-0.7875000000000001,1
Cc1nc(N)[nH]c1C=O,125.13099999999999,3,2,1,1,4,71.77,0.11282000000000009,0
CC1(O)NC2C(C#N)C21,124.14299999999999,3,2,0,2,3,56.05,-0.5637200000000002,4
CC1OC2C1C1C(O)C21,126.15499999999996,2,1,0,3,2,29.46,0.01039999999999991,6
C1NC2C1CC21CO1,111.144,2,1,0,3,2,24.56,-0.2529000000000001,3
CN1C2CC1C(CO)O2,129.159,3,1,1,3,3,32.7,-0.5923000000000003,3
C#CC1CC12CNC2,107.156,1,1,0,2,1,12.03,0.22909999999999991,1
OC12C3CC4OC41C2C3,124.13899999999998,2,1,0,4,2,32.76,-0.09149999999999991,5
C1CC2C3CC1N2C3,109.17200000000001,1,0,0,4,1,3.24,0.8529,4
CC1=CCOCCC1=N,125.171,2,1,0,1,2,33.08,1.3727699999999998,0
CN(C)CC(=O)O,103.12099999999998,2,1,2,0,3,40.540000000000006,-0.3674,0
CCOC(=O)[O-],89.07,3,0,1,0,3,49.36,-0.6338000000000001,0
O=C1C=CC2(CN2)O1,111.10000000000001,3,1,0,2,3,48.24000000000001,-0.6011000000000002,1
CC12CC3CC1(O)C32N,125.171,2,2,0,3,2,46.25,-0.14150000000000007,4
CN=C(C=O)C1CC1,111.14399999999999,2,0,2,1,2,29.43,0.6660999999999999,0
CC(C)OC#CCC=O,126.15499999999999,2,0,2,0,2,26.3,0.9613,0
Cn1cnnc1CCO,127.14699999999999,4,1,2,1,4,50.94,-0.6501000000000001,0
