SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)c1cnno1,122.083,4,0,1,1,4,55.99,-0.11450000000000005,0
O=C1C2CC(O)CC12O,128.12699999999998,3,2,0,2,3,57.53,-0.9289000000000001,3
CC1OC2COC2(C)O1,130.143,3,0,0,2,3,27.69,0.49419999999999986,3
CC1C2CN1CC2=NO,126.15899999999999,3,1,0,3,3,35.83,0.1504999999999999,3
CC1C=CCC(=N)CC1,123.19900000000001,1,1,0,1,1,23.85,2.3823700000000008,1
COC(=O)C(=N)OC=O,131.087,5,1,1,0,5,76.45000000000002,-0.6903300000000003,0
C#CC12OC1NC2O,111.09999999999998,3,2,0,2,3,44.79,-1.3637000000000004,3
CC1COC2(C)OCN12,129.159,3,0,0,2,3,21.700000000000003,0.36849999999999994,2
C#CC12NC1C(C)C2O,123.15499999999996,2,2,0,2,2,42.17,-0.6592,4
CCC12CC1C2C(C)O,126.19899999999996,1,1,2,2,1,20.23,1.4133,4
C#CC12C=NC1CC2=O,119.12299999999998,2,0,0,2,2,29.43,0.03180000000000005,2
c1[nH]cc2c1CCCO2,123.15499999999999,1,1,0,2,2,25.02,1.3397,0
CC1C2(O)COC12C=O,128.12699999999998,3,1,1,2,3,46.53,-0.6649,3
O=Cc1cnccn1,108.09999999999998,3,0,1,1,3,42.85,0.2890999999999999,0
CN1C=C(CO)C1C=O,127.14299999999997,3,1,2,1,3,40.54,-0.6245,1
CC1C2=CCC2C1(O)O,126.15499999999997,2,2,0,2,2,40.46,0.2632999999999999,2
O=C1C=CCC2CC2O1,124.139,2,0,0,2,2,26.3,0.8779999999999999,2
CC(=O)C1CCN1O,115.132,3,1,1,1,3,40.540000000000006,0.03889999999999999,1
C#CC1CC12CCNC2,121.183,1,1,0,2,1,12.03,0.6192,2
CC1=NCC12C1CCC12,121.18299999999998,1,0,0,3,1,12.36,1.4871,2
O=CN1C(O)C12CCO2,129.115,3,1,1,2,4,49.540000000000006,-1.1066000000000003,2
CCC12CC13CC(C)C23,122.21099999999997,0,0,1,3,0,0.0,2.442500000000001,4
CC1(C(=N)O)OC1C=O,129.11499999999998,3,2,2,1,4,73.68,-0.12193000000000015,2
OCC1C=C2CCOC21,126.155,2,1,1,2,2,29.46,0.32379999999999987,2
CC1(O)CN2CC21C,113.16,2,1,0,2,2,23.240000000000002,-0.17470000000000008,3
CC1C(=O)NC2NCC21,126.15899999999998,2,2,0,2,3,41.13,-0.7021999999999999,3
CC1NN(C)CC(=O)O1,130.147,4,1,0,1,4,41.57000000000001,-0.6744000000000001,1
CC1C2CC2C1C1CO1,124.18299999999998,1,0,1,3,1,12.53,1.2872,5
CCC1OC1CC1CN1,127.18699999999998,2,1,3,2,2,34.47,0.5257000000000001,3
CC1NC(=O)C2CCN12,126.15899999999999,2,1,0,2,3,32.34,-0.46350000000000025,2
CC1=C(CC=O)CC1,110.15599999999999,1,0,2,1,1,17.07,1.6857,0
C#CC(C#N)CCCC,121.183,1,0,3,0,1,23.79,1.9495799999999999,1
CCC1=C(C)CC(O)C1,126.19899999999997,1,1,1,1,1,20.23,1.8676,1
C#CC1Cc2ccoc21,118.13499999999998,1,0,0,2,1,13.14,1.5525,1
CC1OC1CCCCO,130.187,2,1,4,1,2,32.76,0.9362999999999999,2
