SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)c1ccno1,121.09499999999998,3,0,1,1,3,43.1,0.4905,0
CC1(O)CCC12CC2O,128.171,2,2,0,2,2,40.46,0.28220000000000006,3
C#CC1C=CCOC1,108.14,1,0,0,1,1,9.23,0.8222,1
ON1C=C(C2CN2)CC1,126.159,3,2,1,2,3,45.41,-0.06300000000000017,1
CC1C2CN1COC2=O,127.14299999999999,3,0,0,3,3,29.54,-0.17900000000000005,3
CC1C=CCNC(N)=C1,124.18700000000001,2,2,0,1,2,38.05,0.5820000000000003,1
COC(=O)C(C=O)=NO,131.08700000000002,5,1,2,0,5,75.96000000000001,-0.8115000000000001,0
CC1COC2(C)OC1O2,130.14299999999997,3,0,0,3,3,27.69,0.6993,1
C#CC(=N)OC(C)C#N,122.12699999999998,3,1,1,0,3,56.87,0.52555,1
CCC12CN=C(C)C1O2,125.17099999999996,2,0,1,2,2,24.89,1.0085,2
O=CC1C=C2CC21O,110.112,2,1,1,2,2,37.3,-0.12370000000000009,2
N#CCNc1ncon1,124.103,5,1,2,1,5,74.74000000000001,0.005080000000000029,0
C#CC12C=NC1(C)CN2,120.15499999999999,2,1,0,2,2,24.39,-0.1953000000000002,2
OCC1C2OC3CC2C31,126.15499999999999,2,1,1,5,2,29.46,0.01200000000000001,5
CC1C(O)CC12C1CC12,124.18299999999999,1,1,0,3,1,20.23,1.0231999999999999,4
CC#CC(O)C#CC#N,119.12299999999999,2,1,0,0,2,44.019999999999996,-0.10242000000000007,1
CN1C=NCC(=O)C1O,128.13099999999997,4,1,0,1,4,52.900000000000006,-1.1524000000000003,1
C#CCOC1CC1(C)O,126.15499999999997,2,1,2,1,2,29.46,0.15950000000000003,2
CC1CN=CCC2OC12,125.17099999999996,2,0,0,2,2,24.89,0.8644000000000001,3
O=C1C=CCC2CC2O1,124.139,2,0,0,2,2,26.3,0.8779999999999999,2
CCN=c1ncon1N,128.135,5,1,1,1,5,69.34,-0.8895,0
N#CC1C=CCOC1=O,123.11099999999999,3,0,0,1,3,50.089999999999996,0.23917999999999995,1
CC(=O)C1C2NC1C2=O,125.12699999999998,3,1,1,3,3,46.17,-0.8853000000000002,2
CC1(C=O)CNC1,99.13300000000001,2,1,1,1,2,29.1,-0.2052,0
COC(C)C12CCC1C2,126.199,1,0,2,2,1,9.23,1.8214000000000001,3
CCCc1nnnc(C)n1,138.174,4,0,2,1,4,51.56,0.52752,0
C#CC1CC12CCNC2,121.183,1,1,0,2,1,12.03,0.6192,2
CC1=NCC(=O)C1C#N,122.12699999999998,3,0,0,1,3,53.22,0.16978000000000004,1
O=CNC1C(O)C1CO,131.131,3,3,3,1,4,69.56,-1.9160000000000006,3
CC12CC1(C#N)CCO2,123.155,2,0,0,2,2,33.019999999999996,1.07908,2
CC1(C(=N)OCO)CO1,131.131,4,2,2,1,4,65.84,-0.2810300000000001,1
OCC1C=CC=CCO1,126.15499999999999,2,1,1,1,2,29.46,0.4899,1
C1=C2CC3C1C2C1NC31,119.16699999999997,1,1,0,5,1,21.94,0.5327,5
CC12CN1CC2C1CO1,125.17099999999998,2,0,1,3,2,15.54,0.08929999999999993,4
O=C1CC2NCC2N1,112.13199999999999,2,2,0,2,3,41.13,-1.1532999999999998,2
CC1C2CC2C1C1CO1,124.18299999999998,1,0,1,3,1,12.53,1.2872,5
CCC1OC1CC1CN1,127.18699999999998,2,1,3,2,2,34.47,0.5257000000000001,3
NCCC12CC1OC2=O,127.14299999999997,3,1,2,2,3,52.32,-0.34929999999999994,2
COCCC1=C(C)CC1,126.199,1,0,3,1,1,9.23,2.1332000000000004,0
C#CC(C#N)CCCC,121.183,1,0,3,0,1,23.79,1.9495799999999999,1
CC(=O)C1(C)CCOC1,128.171,2,0,1,1,2,26.3,1.002,1
C#CC1Cc2c[nH]nc21,118.139,1,1,0,2,2,28.68,0.6825999999999999,1
C#CC(C)C1C2CC21C,120.19499999999998,0,0,1,2,0,0.0,1.9117,4
CC(CCO)C1OC1C,130.18699999999995,2,1,3,1,2,32.76,0.7922,3
CC1CC=C2OC2CC1,124.18299999999999,1,0,0,2,1,12.53,2.0891,2
CCCC1C=CCCO1,126.19899999999998,1,0,2,1,1,9.23,2.1315999999999997,1
CCC(O)C12CN3C1C32,125.17099999999999,2,1,2,4,2,23.240000000000002,-0.17630000000000012,3
