SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(C)Cc1ccn[nH]1,134.182,1,1,2,1,2,28.68,1.2214999999999998,1
CC(C)c1cc(F)co1,128.146,1,0,1,1,2,13.14,2.5421000000000005,0
CCC(NC)=C(C)C(C)(F)F,163.21099999999996,1,1,3,0,3,12.03,2.545000000000001,0
CC(C)C(C)c1ccc[nH]1,137.22599999999997,0,1,2,1,1,15.79,2.7742000000000004,1
CCC(C)c1ncc(C)[nH]1,138.214,1,1,2,1,2,28.68,2.23162,1
CCCc1cccc(F)c1,138.18499999999997,0,0,2,1,1,0.0,2.778200000000001,0
CCNC(C)(F)C(C)F,137.17299999999997,1,1,3,0,3,12.03,1.6396,2
CCC(C)C(C)(C)F,118.195,0,0,2,0,1,0.0,2.7806000000000015,1
CCNc1cccc(F)c1,139.17299999999997,1,1,2,1,2,12.03,2.2575000000000003,0
CCC(C)c1ccc(F)o1,142.17299999999997,1,0,2,1,2,13.14,2.9322000000000017,1
CCOC(C)c1ccc[nH]1,139.19799999999998,1,1,3,1,2,25.02,2.1122,1
CCC(C)c1cc[nH]c1,123.19899999999997,0,1,2,1,1,15.79,2.5282,1
CCC(C)C1=CC(F)=C1,126.17399999999998,0,0,2,1,1,0.0,2.8259000000000016,1
CCCN1CCC(C)C1,127.23099999999998,1,0,2,1,1,3.24,1.7382,1
CCC(C)C(F)CC,118.195,0,0,3,0,1,0.0,2.7806000000000015,2
CCc1cc(C)cc(F)c1,138.185,0,0,1,1,1,0.0,2.6965200000000014,0
CCC(F)(F)CC(C)C,136.185,0,0,3,0,2,0.0,3.0778000000000016,0
CCC(C)(F)C(C)C,118.19499999999998,0,0,2,0,1,0.0,2.7806000000000015,1
CCCCC(C)C(C)F,132.22199999999998,0,0,4,0,1,0.0,3.170700000000002,2
C#CCCC(F)C(C)F,132.153,0,0,3,0,2,0.0,2.0959,2
