SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CCC12C=CC1CCO2,124.18299999999998,1,0,1,2,1,9.23,1.7414999999999998,2
CC1=CC2CCOCC12,124.183,1,0,0,2,1,9.23,1.599,2
O=C1CC2NCC2CO1,127.14299999999999,3,1,0,2,3,38.33,-0.4787000000000001,2
CC1=CC2OC=CC12C,122.16699999999999,1,0,0,2,1,9.23,1.8651,2
CC12OC=C1C=CCO2,124.13899999999998,2,0,0,2,2,18.46,1.2030999999999998,1
CC1(C)CC2OC=CN21,125.17099999999998,2,0,0,2,2,12.47,1.2982,1
O=C1CCN2C=C1CC2,123.15499999999999,2,0,0,2,2,20.310000000000002,0.5488000000000001,0
C1=NC2CCC2OC1,111.14399999999999,2,0,0,2,2,21.59,0.6184000000000001,2
O=C1C=C2CCC1CC2,122.167,1,0,0,3,1,17.07,1.6857,0
CC1C=C2CC(=O)C2OC1,138.16599999999997,2,0,0,2,2,26.3,0.9205000000000001,2
C1=CC2CCC=NC2C1,121.18299999999999,1,0,0,2,1,12.36,1.7957,2
CC12C=NC1CCC2O,125.17099999999998,2,1,0,2,2,32.59,0.6004,3
C#CC1CC2COC(=O)C12,136.15,2,0,0,2,2,26.3,0.42869999999999997,3
CC1(C)CCC2=NCC21,123.199,1,0,0,2,1,12.36,1.8772,1
CC1C2=CCN1CO2,111.144,2,0,0,2,2,12.47,0.5620999999999999,2
O=C1CC2=CCC(C2)O1,124.13899999999998,2,0,0,2,2,26.3,1.0221,1
OC=CC1OC2C=CC12,124.13899999999997,2,1,1,2,2,29.46,1.0114999999999998,3
CC1CC12CC2C1CO1,124.18299999999998,1,0,1,3,1,12.53,1.4313,4
CC12C=COC1CC2O,126.15499999999999,2,1,0,2,2,29.46,0.6698,3
CC1C(C)C2OC=COC12,140.182,2,0,0,2,2,18.46,1.5273999999999999,4
CC1=CC2NC(C)C12O,125.17099999999998,2,2,0,2,2,32.26,0.037699999999999956,3
CCC1=CC2(CC2)CN1,123.199,1,1,1,2,1,12.03,1.6637,0
CC1COC12CCC21CO1,140.182,2,0,0,3,2,21.759999999999998,0.9543,3
C#CCC1C2CC(O)C1O2,138.16599999999997,2,1,1,3,2,29.46,0.15789999999999998,4
C1=CN=CC2OCCC2C1,137.182,2,0,0,2,2,21.59,1.3797,2
CC1=CCC2OC2COC1,140.182,2,0,0,2,2,21.759999999999998,1.1204,2
COC1C=CC2CC1=N2,123.155,2,0,1,3,2,21.59,0.7845,2
CC1OC2CC1C2=CO,126.15499999999997,2,1,0,3,2,29.46,1.2355,3
CC1C2=COCC1CC2,124.18299999999999,1,0,0,2,1,9.23,1.9465999999999999,2
CC1CC2COC1(C)C2=O,140.182,2,0,0,2,2,26.3,1.0004,3
CC1OC1=C1CCCO1,126.15499999999999,2,0,0,2,2,21.759999999999998,1.4271,1
CC1C=C2CC2(CO)C1,124.18299999999999,1,1,1,2,1,20.23,1.335,2
CC1CCC2OC2(C)O1,128.171,2,0,0,2,2,21.759999999999998,1.3003,3
O=CC1C=C2CC(CO)C21,138.166,2,1,2,2,2,37.3,0.36989999999999995,3
CC1COCC2(C)C(=O)C12,140.182,2,0,0,2,2,26.3,0.8579000000000001,3
CC1C2COC(C=O)CC12,140.182,2,0,1,2,2,26.3,0.8563,4
CC1COC2(C)OCC12,128.171,2,0,0,2,2,18.46,1.0152999999999999,3
CC1CC2(CO)C=CN12,125.17099999999998,2,1,1,2,2,23.47,0.339,2
C=C1CC2(COC)CN12,125.17099999999999,2,0,2,2,2,12.24,0.6046,1
COC1C=C2OCC2C1,126.155,2,0,1,2,2,18.46,0.9354,2
CC1=C2CC(CC1)CO2,124.18299999999999,1,0,0,2,1,9.23,2.0907,1
COC1=CC2CC1C2=O,124.13899999999998,2,0,1,3,2,26.3,0.7355,2
CC1=C2COCOC1C2,126.15499999999999,2,0,0,3,2,18.46,1.0795,1
CC1C=C2C(CO)OC21,126.15499999999997,2,1,1,2,2,29.46,0.3222000000000001,3
O=C1CC=C2CCN2C1,123.15500000000002,2,0,0,2,2,20.310000000000002,0.5488,0
C#CC1CC2N=CCC12,119.16699999999999,1,0,0,2,1,12.36,1.0988,3
CC1=CCCC2OC12,110.15599999999999,1,0,0,2,1,12.53,1.4939,2
CC1=CCC2N=CC(C1)O2,137.182,2,0,0,2,2,21.59,1.5222,2
O=CC1=CC2CCC12O,124.13899999999998,2,1,1,2,2,37.3,0.2663999999999999,2
O=C1CC(CO)C2CCC12,140.18200000000002,2,1,1,2,2,37.3,0.5939000000000001,3
C1=CC2(CCO1)CC2,110.15599999999999,1,0,0,2,1,9.23,1.7006,0
CC12CC1(C)N1CC2C1,123.199,1,0,0,4,1,3.24,1.1005,2
CC1C2COC(C2)N1C,127.187,2,0,0,2,2,12.47,0.6829,3
CC1(C)CC1=C1CCO1,124.18299999999999,1,0,0,2,1,9.23,2.0907,0
CC1C(=O)CC2CCN1C2,139.198,2,0,0,2,2,20.310000000000002,0.6696,3
OCC1C=CC12CC2O,126.15499999999999,2,2,1,2,2,40.46,-0.08429999999999999,3
O=CC1CC2CCC1=CN2,137.182,2,1,1,3,2,29.1,0.8411,2
CC1=CC2CC2=NCO1,123.15500000000002,2,0,0,2,2,21.59,1.3388,1
CC1=CC2CC(=O)C12N,123.15500000000002,2,1,0,2,2,43.09,0.2328,2
CCC1C2CC=COC12,124.18299999999998,1,0,1,2,1,9.23,1.945,3
CC1CC2CC(C)(C)N12,125.215,1,0,0,2,1,3.24,1.6315,2
CC1C2(C)CC12CC=O,124.18299999999998,1,0,2,2,1,17.07,1.6215,3
CN1CC2C=CC1N2C,124.18699999999998,2,0,0,2,2,6.48,0.12809999999999988,2
CC1OC2(C)CC12CC#N,137.182,2,0,1,2,2,33.019999999999996,1.46758,3
O=C1CC2C=NC1CC2,123.155,2,0,0,3,2,29.43,0.8086,2
O=CC1C=C2CC(CO2)C1,138.166,2,0,1,2,2,26.3,1.1256,2
O=CC12C=CC(CC1)N2,123.15499999999999,2,1,1,2,2,29.1,0.24590000000000006,2
COC1=C2C=NCC1C2,123.15499999999999,2,0,1,3,2,21.59,0.9912000000000001,1
CC1=CC2NC1(C)CO2,125.17099999999999,2,1,0,2,2,21.259999999999998,0.6509,2
CN=C1CC2CCOC12,125.17099999999998,2,0,0,2,2,21.59,0.8660000000000001,2
CC1(O)OCCC2CC21,128.171,2,1,0,2,2,29.46,0.7513000000000001,3
C1=CC2OCCCNC12,125.17099999999999,2,1,0,2,2,21.259999999999998,0.30329999999999996,2
CC1OC12CCCCN2,127.187,2,1,0,2,2,24.56,0.8749,2
C1=CCC2(C1)COCO2,126.15499999999999,2,0,0,2,2,18.46,1.0795,0
CC1COC2CC(C#N)C12,137.182,2,0,0,2,2,33.019999999999996,1.1809800000000001,4
CC1C2CCNC12C=O,125.17099999999999,2,1,1,2,2,29.1,0.18329999999999985,3
CC1CC12C(C)C2C#N,121.18299999999998,1,0,0,2,1,23.79,1.80208,4
O=C1CCC12CCNC2,125.171,2,1,0,2,2,29.1,0.329,1
CC1(C)OCC2CCN21,127.18700000000001,2,0,0,2,2,12.47,0.8270000000000001,1
CC1CC2CC(CN1)O2,127.187,2,1,0,3,2,21.259999999999998,0.5257000000000001,3
CC1C2=NCC2C1C#N,120.15499999999999,2,0,0,2,2,36.15,0.8466800000000001,3
CC12COC=CC1CO2,126.15499999999997,2,0,0,2,2,18.46,0.9354,2
O=C1C=CCC2NCC2O1,139.154,3,1,0,2,3,38.33,-0.17010000000000014,2
CC1(O)CC12CN2C=O,127.143,2,1,1,2,3,40.31,-0.6481000000000001,2
CC1N2C=CC12CCO,125.17099999999999,2,1,2,2,2,23.240000000000002,0.339,2
CC12CC=CN1CC2=O,123.155,2,0,0,2,2,20.310000000000002,0.5471999999999999,1
CC1N=CC2(CO)CC12,125.17099999999999,2,1,1,2,2,32.59,0.45790000000000003,3
CC1OC2C=CC=CC12,122.16699999999996,1,0,0,2,1,9.23,1.5158999999999998,3
CCC1OCC12CC2C=O,140.182,2,0,2,2,2,26.3,1.0004,3
CC1COC2=CCC21,110.15599999999998,1,0,0,2,1,9.23,1.5565,2
CCC1C(C=O)C2COC12,140.182,2,0,2,2,2,26.3,0.8563000000000001,4
O=C1C2CCCCC12O,126.155,2,1,0,2,2,37.3,0.4904,2
