SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)NC1(O)CO1,127.09899999999998,3,2,1,1,4,61.86,-1.5879,1
O=CC1(O)CNC1=O,115.088,3,2,1,1,4,66.4,-1.9538000000000002,1
NC(=O)C1C(O)C1CO,131.131,3,3,2,1,4,83.55000000000001,-1.9291000000000003,3
NC1CC(=O)C1(N)C=O,128.131,4,2,1,1,4,86.18,-1.8171000000000002,2
O=CC1NC(=O)C1O,115.08799999999998,3,2,1,1,4,66.4,-1.9553999999999998,2
N#CCNC(=O)C1(O)CN1,141.13,4,3,2,1,5,95.06,-2.08202,1
NC1C(=O)COC1C=O,129.11499999999998,4,1,1,1,4,69.39000000000001,-1.5195000000000007,2
O=CC1(O)C(=O)C1CO,130.099,4,2,2,1,4,74.6,-1.8924000000000003,2
NC(=O)C1CNC1C=O,128.131,3,2,2,1,4,72.19,-1.7414,2
O=C1CC(O)CNC1=O,129.115,3,2,0,1,4,66.4,-1.5637000000000003,1
NC(=O)C(=O)C1CNC1O,144.13,4,3,2,1,5,92.42,-2.421399999999999,2
N#CC1(CO)NC1C=O,126.11499999999997,4,2,2,1,4,83.03,-1.5882200000000002,2
O=CC1NC(=O)C1O,115.08799999999998,3,2,1,1,4,66.4,-1.9553999999999998,2
N=C1C(O)C(=O)C1O,115.08799999999998,4,3,0,1,4,81.38,-1.6893300000000004,2
O=CC1(CO)CNC1=O,129.11499999999998,3,2,2,1,4,66.4,-1.7062000000000002,1
O=C1CNC(=O)C1O,115.08799999999998,3,2,0,1,4,66.4,-1.9538,1
N=C1C(CO)OC(=O)C1O,145.11399999999998,5,3,1,1,5,90.61,-1.7152300000000005,2
NC1(C=O)C(=O)C1CO,129.115,4,2,2,1,4,80.39,-1.9260000000000004,2
O=CC1C(O)C(=O)C1O,130.099,4,2,1,1,4,74.6,-1.8940000000000001,2
N#CC(N)C1(O)CN1,113.11999999999999,4,3,1,1,4,91.98,-1.87092,2
O=CC1C(=O)NC1CO,129.115,3,2,2,1,4,66.4,-1.7078,2
O=C(O)C1COC1O,118.088,3,2,1,1,4,66.76,-0.9642,2
N#CC1NC(O)C1OC=O,142.11399999999998,5,2,2,1,5,82.35,-1.6582200000000005,3
N#CC1(N)CNC1=O,111.10399999999998,3,2,0,1,4,78.91,-1.6627200000000002,1
NC1C(O)C(=O)C1C=O,129.11499999999998,4,2,1,1,4,80.39,-1.9276000000000002,3
N#CC(=O)C1NC1CO,126.11499999999998,4,2,2,1,4,83.03,-1.5882200000000002,2
NC1NC(C=O)NCC1=O,143.146,5,3,1,1,5,84.22,-2.4418999999999995,2
NC1(O)COC(=O)C1O,133.103,5,3,0,1,5,92.78000000000002,-2.4485999999999994,2
O=CC(O)C1NC1C=O,129.11499999999998,4,2,3,1,4,76.31,-1.9145000000000005,3
O=CC1NCC(=O)C1O,129.115,4,2,1,1,4,66.4,-1.9128999999999998,2
O=CC1NC(=O)CC1=O,127.09899999999999,3,1,1,1,4,63.24,-1.3571,1
O=CC(=O)C1(CO)CN1,129.115,4,2,3,1,4,76.31,-1.9112999999999998,1
O=C1C(O)C1CO,102.089,3,2,1,1,3,57.53,-1.4615,2
CC1(O)OC(C=O)C1=O,130.099,4,1,1,1,4,63.6,-1.1383,2
O=CC1OCC1(O)C=O,130.099,4,1,2,1,4,63.6,-1.4859,2
O=C(O)C1(CO)CNC1,131.131,3,3,2,1,4,69.56,-1.3471000000000002,0
CC(O)C(=O)C1NCO1,131.131,4,2,2,1,4,58.56,-1.1603000000000003,2
O=CC1(C=O)C(O)C1O,130.099,4,2,2,1,4,74.60000000000001,-1.8940000000000006,2
O=CC1OC(=O)C1CO,130.099,4,1,2,1,4,63.60000000000001,-1.2808,2
N#CC(O)C1NCC1=O,126.115,4,2,1,1,4,73.12,-1.5882200000000002,2
O=CC1(CO)NCC1O,131.131,4,3,2,1,4,69.56,-2.1194999999999995,2
O=CNC1C(O)C1(O)C=O,145.11399999999998,4,3,3,1,5,86.63,-2.5945,3
N#CC1(O)C(=O)C1O,113.07199999999997,4,2,0,1,4,81.32,-1.81532,2
NC(=O)C1(O)CC(=O)C1,129.11499999999998,3,2,1,1,4,80.39000000000001,-1.4343000000000004,0
NC1C(=O)C(=O)C1O,115.08799999999998,4,2,0,1,4,80.39,-2.1736,2
CNC(=O)C1(O)CN1CO,146.146,4,3,2,1,5,72.57,-2.3135999999999988,2
NC(=O)C1OCC1=O,115.088,3,1,1,1,4,69.39000000000001,-1.5604000000000002,1
NCC1OCC(=O)C1O,131.131,4,2,1,1,4,72.55,-1.7260999999999995,2
O=C(O)C1(O)COC1=O,132.071,4,2,1,1,5,83.83000000000001,-1.6411,1
O=CC1NCC(=O)C1O,129.115,4,2,1,1,4,66.4,-1.9128999999999998,2
N#CC(=O)NC1CC1CO,140.142,3,2,2,1,4,73.12,-0.99302,2
O=CC1OCC(=O)C1O,130.099,4,1,1,1,4,63.60000000000001,-1.4859000000000002,2
N#CC(=O)N1CC1CO,126.11499999999998,3,1,1,1,4,64.1,-1.28692,1
O=CC(=O)C1NC1O,115.08799999999998,4,2,2,1,4,76.31,-1.9553999999999998,2
NC1C(=O)C(=O)C1N,114.104,4,2,0,1,4,86.18,-2.2071999999999994,2
CC1(O)C(=O)C1(N)C=O,129.115,4,2,1,1,4,80.38999999999999,-1.7834999999999999,2
N#CC(O)(O)C1NC1=O,128.087,4,3,1,1,5,103.25999999999999,-2.31072,1
N#CC(=O)C1NC1(O)C=O,140.09799999999998,5,2,2,1,5,100.1,-2.0616200000000005,2
N#CC(O)C(O)C1CN1,128.131,4,3,2,1,4,86.19,-1.7964199999999995,3
NC(C=O)C1(N=O)CC1O,144.13,5,2,3,1,5,92.75000000000001,-1.2176000000000002,3
NC(=O)C1(O)CNC1=O,130.10299999999998,3,3,1,1,5,92.42000000000002,-2.6673999999999998,1
O=C(O)C1COCC1O,132.115,3,2,1,1,4,66.76,-0.9217,2
CC1(O)CNC(=O)C1=O,129.11499999999998,3,2,0,1,4,66.4,-1.5637000000000003,1
N=C(O)C1(O)CNC1=O,130.10299999999998,3,4,1,1,5,93.41,-1.6174300000000001,1
O=C1CC(O)C(O)C1=O,130.099,4,2,0,1,4,74.6,-1.7499,2
O=CC1(O)COCC1=O,130.099,4,1,1,1,4,63.6,-1.4843000000000002,1
NC(=O)C1OCC1O,117.10399999999998,3,2,1,1,4,72.55000000000001,-1.7686000000000002,2
O=C(O)C1(O)COC1,118.088,3,2,1,1,4,66.76,-1.1677,0
NC1(C(=O)O)CC1=O,115.088,3,2,1,1,4,80.39000000000001,-1.2587000000000002,1
O=CC(O)C1(O)CNC1,131.131,4,3,2,1,4,69.56,-2.1194999999999995,1
O=C1CNCC(O)C1O,131.131,4,3,0,1,4,69.56,-2.1194999999999995,2
O=CC1C(=O)COC1O,130.099,4,1,1,1,4,63.60000000000001,-1.2808000000000004,2
O=CC(O)C1OC1CO,132.115,4,2,3,1,4,70.06,-1.6941000000000002,3
NC1(C=O)CN=C1CO,128.131,4,2,2,1,4,75.68,-1.6703,1
O=C1C(=O)C(CO)C1O,130.099,4,2,1,1,4,74.60000000000001,-1.8924000000000003,2
O=CC(O)C1(O)COC1,132.11499999999998,4,2,2,1,4,66.76,-1.6925000000000006,1
NC1=CC(=O)NCC1O,128.131,3,3,0,1,4,75.35000000000001,-1.6803,1
NC(=O)C1(O)COC1=O,131.087,4,2,1,1,5,89.62,-2.2404,1
O=CC1CNC(C=O)C1O,143.14199999999997,4,2,2,1,4,66.4,-1.6668999999999996,3
NC(=O)C1OC1CO,117.10399999999998,3,2,2,1,4,75.85000000000001,-1.7686000000000002,2
O=CC(=O)C1NCC1O,129.115,4,2,2,1,4,66.4,-1.9128999999999998,2
N#CC1(CO)NC1=CN,125.13099999999999,4,3,1,1,4,91.97999999999999,-1.3556200000000003,1
O=CNC1(C=O)COC1O,145.11399999999998,4,2,3,1,5,75.63000000000001,-1.9812999999999994,2
NC(=O)C1(O)COC1,117.10399999999998,3,2,1,1,4,72.55000000000001,-1.767,0
CN=C1OC(C=O)C1O,129.11499999999998,4,1,1,1,4,58.89,-1.0267,2
N#CC(O)C1(O)CN1,114.104,4,3,1,1,4,86.19,-1.83732,2
O=C(CO)C1C(=O)C1O,130.099,4,2,2,1,4,74.6,-1.8924000000000003,2
N#CCC1NC1(O)CO,128.13099999999997,4,3,2,1,4,86.19000000000001,-1.44722,2
N=C1C(N)C(=O)C1CO,128.13099999999997,4,3,1,1,4,87.17,-1.4753299999999998,2
N#CC1(O)CNC(=O)C1,126.115,3,2,0,1,4,73.12,-1.23902,1
O=C(O)C1C(O)C1O,118.08799999999998,3,3,1,1,4,77.76,-1.5774000000000001,2
O=CC1CC(O)C(=O)O1,130.099,4,1,1,1,4,63.599999999999994,-1.1383000000000003,2
NC(=O)C1CN1CO,116.12,3,2,2,1,4,66.33,-1.8942999999999999,2
O=CC(=O)C1(O)COC1,130.099,4,1,2,1,4,63.60000000000001,-1.4843000000000004,0
O=CC1(O)CC(=O)C1O,130.099,4,2,1,1,4,74.6,-1.7499000000000002,2
NC(C=O)C1NC1C=O,128.13099999999997,4,2,3,1,4,82.1,-1.9480999999999995,3
CC(=O)C1(O)CNC1=O,129.11499999999998,3,2,1,1,4,66.4,-1.5637000000000003,1
NC1(CCO)C(=O)C1=O,129.11499999999998,4,2,2,1,4,80.39,-1.7819000000000003,0
CNC1(C=O)C(=O)C1O,129.115,4,2,2,1,4,66.4,-1.9128999999999996,2
O=C1CC(=O)C(O)CO1,130.099,4,1,0,1,4,63.60000000000001,-1.1367,1
NC(=O)C1OC1CO,117.10399999999998,3,2,2,1,4,75.85000000000001,-1.7686000000000002,2
O=C(O)C1C(=O)C1CO,130.09900000000002,3,2,2,1,4,74.6,-1.1216,2
O=C1CNC(=O)C(O)N1,130.10299999999998,3,3,0,1,5,78.43,-2.4492,1
O=CC(O)C1OC1O,118.08799999999998,4,2,2,1,4,70.06,-1.7366000000000001,3
N#CC1(O)CNC1CO,128.131,4,3,1,1,4,76.28,-1.7948199999999999,2
O=CC1(CO)C(=O)C1O,130.099,4,2,2,1,4,74.6,-1.8924000000000003,2
N#CC(O)C1(CO)CN1,128.131,4,3,2,1,4,86.19,-1.7948199999999996,2
NC1NC(=O)C(=O)C1O,130.10299999999998,4,3,0,1,5,92.42,-2.669,2
NC1C(=O)C1(O)C=O,115.08799999999998,4,2,1,1,4,80.39000000000001,-2.1736000000000004,2
NC(=O)C1(O)CC1O,117.10399999999997,3,3,1,1,4,83.55000000000001,-2.0326000000000004,2
NC(=O)C1OC1CO,117.10399999999998,3,2,2,1,4,75.85000000000001,-1.7686000000000002,2
