SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)C1=CN=N1,106.084,3,0,1,1,3,41.79,0.4959,0
N#CC1=CC(O)CO1,111.09999999999998,3,1,0,1,3,53.25,-0.21502000000000004,1
CC1(C#N)COC1=O,111.1,3,0,0,1,3,50.089999999999996,0.07308000000000003,1
N#CC1CC(=N)CCO1,124.143,3,1,0,1,3,56.870000000000005,0.70875,1
N#CC#CCC1=CN=N1,117.11099999999999,3,0,1,1,3,48.51,1.21068,0
CC1N=NC1(C)C#N,109.13199999999999,3,0,0,1,3,48.51,1.12298,2
N#CC1=NC=NCC1,107.116,3,0,0,1,3,48.51,0.38298000000000004,0
N#CC1CN=CN1C#N,120.115,4,0,0,1,4,63.18,-0.2964399999999999,1
N#CC1=NCCC1=N,107.116,3,1,0,1,3,60.0,0.37445000000000006,0
N#CC1CN=CCO1,110.11599999999999,3,0,0,1,3,45.379999999999995,-0.020419999999999994,1
N#CC1CC(=N)N1C=O,123.115,3,1,1,1,4,67.95,-0.2820500000000001,1
C#CC1OCOC1=N,111.1,3,1,0,1,3,42.31,-0.030230000000000035,1
CN=C1C=C(C=O)O1,111.09999999999998,3,0,1,1,3,38.66,0.12769999999999998,0
O=C1CCOC(=O)C1,114.1,3,0,0,1,3,43.370000000000005,-0.10750000000000004,0
CN1C=NCCC1=O,112.13199999999999,2,0,0,1,3,32.67,-0.12319999999999998,0
C#Cc1nccn1C#N,117.11099999999999,3,0,0,1,3,41.61,0.19357999999999995,0
CC1(C=O)COC1=O,114.1,3,0,1,1,3,43.370000000000005,-0.25160000000000005,1
O=C1C=CCC(=O)O1,112.084,3,0,0,1,3,43.370000000000005,0.016099999999999948,0
CN1C=NCC1C#N,109.13199999999999,3,0,0,1,3,39.39,-0.14772000000000007,1
CC(=O)C1COC1=O,114.1,3,0,1,1,3,43.370000000000005,-0.25160000000000005,1
N#CC1(O)CC1CO,113.11599999999999,3,2,1,1,3,64.25,-0.74672,2
N#CC1CCOC1=N,110.116,3,1,0,1,3,56.87,0.5237499999999999,1
CC1=NCC(=O)C1=NO,126.11499999999998,4,1,0,1,4,62.019999999999996,-0.13979999999999998,0
O=C1CCOCC1=O,114.1,3,0,0,1,3,43.370000000000005,-0.45510000000000006,0
N=C1C=CC(N)OC1,112.132,3,2,0,1,3,59.10000000000001,-0.12263000000000018,1
N#CC1=NCOC1,96.089,3,0,0,1,3,45.379999999999995,-0.06131999999999993,0
N#CC1COCC1=O,111.1,3,0,0,1,3,50.089999999999996,-0.2745200000000001,1
CC1(C(=N)C=O)CO1,113.11599999999999,3,1,2,1,3,53.45,-0.006030000000000146,1
O=C1OCCC=C1O,114.09999999999998,3,1,0,1,3,46.53,0.37520000000000003,0
CC1C(=N)CN1C=O,112.13199999999999,2,1,1,1,3,44.160000000000004,-0.13333000000000017,1
N#CC1N=CCC(=N)O1,123.11499999999998,4,1,0,1,4,69.23,0.30445,1
N#CC1=NCNC1C=O,123.11499999999998,4,1,1,1,4,65.25,-0.9208200000000002,1
N#CCC1=C(O)CO1,111.09999999999998,3,1,1,1,3,53.25,0.69988,0
N#CC(C#N)C1CO1,108.1,3,0,1,1,3,60.11,0.04855999999999999,1
N#CC1NCCC1=N,109.132,3,2,0,1,3,59.67,-0.10834999999999989,1
N#CC1CCNC(=O)O1,126.115,3,1,0,1,4,62.120000000000005,0.008480000000000099,1
N#CCCC1N=C1C#N,119.127,3,0,2,1,3,59.94,0.6369600000000001,1
CC1N=CNC1C#N,109.13199999999999,3,1,0,1,3,48.18,-0.10142000000000001,2
CC1=C(CC(=O)O)CN1,127.14299999999999,2,2,2,1,3,49.33,0.33830000000000005,0
C#CC1(N)CN1C=O,110.11599999999999,2,1,1,1,3,46.1,-1.2533999999999998,1
N#CC1CCN=CN1,109.132,3,1,0,1,3,48.18,-0.09981999999999996,1
CC1=C(C=O)C(=O)N1,111.1,2,1,1,1,3,46.17,-0.4109,0
N#CC1CN=NC1C=N,122.13099999999999,4,1,1,1,4,72.36,0.61015,2
