SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
O=CC1C=CNCCO1,127.143,3,1,1,1,3,38.33,-0.3126000000000002,1
CC#COC(=O)C1CN1,125.127,3,1,1,1,3,48.24,-0.5178,1
CCC1(C#N)CCOCO1,141.17,3,0,1,1,3,42.25,1.05318,1
Cc1c[nH][n+]([O-])c1C=O,126.11499999999998,2,1,1,1,4,59.8,-0.23098000000000013,0
CN=COC1=CCCN1,126.15899999999999,3,1,2,1,3,33.62,0.49579999999999996,0
COC(=N)C1CCOC1=O,143.142,4,1,1,1,4,59.38,0.17316999999999988,1
CC1=CN(CCO)OC1,129.159,3,1,2,1,3,32.7,0.12969999999999998,0
COC1COC(=N)C=N1,128.131,4,1,1,1,4,54.67,0.03716999999999976,1
CCC1=CC(=O)OCN1,127.14299999999999,3,1,1,1,3,38.33,0.38420000000000004,0
O=CCN1COCC=N1,128.13099999999997,4,0,2,1,4,41.900000000000006,-0.5391999999999999,0
CC(C)(N)C1=NN=C1,111.148,3,1,1,1,3,50.739999999999995,0.16410000000000002,0
CN=C1C(=N)COC1C,126.15899999999998,3,1,0,1,3,45.44,0.49567,1
CN=C1C(=N)OCC1O,128.13099999999997,4,2,0,1,4,65.67,-0.57443,1
COC1CC(=O)C(=N)CN1,142.15800000000002,4,2,1,1,4,62.18000000000001,-0.45893,1
N=C1CNC(=N)C(=O)C1,125.13099999999999,3,3,0,1,4,76.80000000000001,-0.45416000000000034,0
N=CNC1CC(CO)=N1,127.147,3,3,3,1,4,68.47,-0.6538299999999999,1
CCOC1=NCC1=NC,126.159,3,0,1,1,3,33.95,0.5058,0
COC1CCN=CC(=O)N1,142.15800000000002,3,1,1,1,4,50.69,-0.4504000000000001,1
CNC1OC=C(C)C1=O,127.14299999999999,3,1,1,1,3,38.33,0.0349999999999997,1
NC1CCNC(=O)C1,114.14799999999998,2,2,0,1,3,55.12,-0.7763000000000002,1
CCn1cc(CC#N)o1,124.143,3,0,2,1,3,41.86,1.1670800000000001,0
CCNc1cc(=O)ocn1,140.14199999999997,4,1,2,1,4,55.13,0.46659999999999996,0
O=CCN1CCN1C=O,128.131,3,0,3,1,4,40.620000000000005,-1.1256999999999997,0
CC1(N)CCNC1=O,114.148,2,2,0,1,3,55.12,-0.7763000000000002,1
O=C1CCCNCN1,114.14800000000001,2,2,0,1,3,41.13,-0.5565000000000002,0
N#CC1COC(=O)C=N1,124.09899999999999,4,0,0,1,4,62.449999999999996,-0.49382000000000015,1
N#CCN1CCOC1=C=N,137.142,4,1,1,1,4,60.11000000000001,-0.06795000000000012,0
COC1=CCNC(=O)CN1,142.15800000000002,3,2,1,1,4,50.36,-0.8063999999999998,0
CC(=O)c1ccoc1CO,140.13799999999998,3,1,2,1,3,50.44,0.9745000000000001,0
COC1=CC(CO)CO1,130.143,3,1,2,1,3,38.69,0.11289999999999994,1
CC1NC(=O)CC1O,115.13199999999998,2,2,0,1,3,49.33,-0.7443000000000002,2
N=C1CCOC(C=O)C1=N,140.14199999999997,4,2,1,1,4,74.0,0.013739999999999919,1
CN=C1C(=O)OC1NC,128.13099999999997,4,1,1,1,4,50.69,-0.8405000000000002,1
CNC1CCN=C(C=O)O1,142.158,4,1,2,1,4,50.69,-0.45040000000000013,1
Nc1ccc(C#CC=O)[nH]1,134.138,2,2,0,1,3,58.88,0.14729999999999988,0
O=CC1=C=CCC(=O)C1,122.12299999999998,2,0,1,1,2,34.14,0.6296999999999999,0
CNC1=NCCC(=O)OC1,142.158,4,1,0,1,4,50.69,-0.4488000000000003,0
O=CC1=NC(O)CCO1,129.11499999999998,4,1,1,1,4,58.89,-0.6775,1
COC1(C#N)CN1C=O,126.115,3,0,2,1,4,53.099999999999994,-0.6753200000000001,1
CCNC1CC(=O)CO1,129.159,3,1,2,1,3,38.33,-0.08860000000000001,1
N=C1C=NCNCC1C=O,139.158,4,2,1,1,4,65.31,-0.5472300000000003,1
CC(=O)NC1NC1C=O,128.13099999999997,3,2,2,1,4,68.11000000000001,-1.3806999999999998,2
O=C1COCC=CC1=NO,141.126,4,1,0,1,4,58.89,-0.02789999999999998,0
N=CC1=CC(=O)C(N)O1,126.115,4,2,1,1,4,76.17,-0.5960300000000001,1
N=C1C=NCNCC1=O,125.131,4,2,0,1,4,65.31,-0.7932300000000003,0
O=C1CCN=CCOC1,127.14299999999999,3,0,0,1,3,38.66,0.046599999999999975,0
CNC(=O)C1=CCN1,112.13199999999999,2,2,1,1,3,41.13,-0.7805000000000002,0
O=CC(=O)NC1C=CO1,127.09899999999996,3,1,2,1,4,55.400000000000006,-0.8285000000000002,1
C#CCC(=N)C1OCO1,125.12699999999998,3,1,2,1,3,42.31,0.35986999999999997,0
N=CC1CCOC1=N,112.132,3,2,1,1,3,56.93,0.64974,1
CN=C1C=NC(C)=C1N,123.15899999999999,3,1,0,1,3,50.739999999999995,0.3318,0
CCC1(O)CC(=N)O1,115.13199999999999,3,2,1,1,3,53.31,0.48257,1
N=COC1COC=CC1=N,140.142,4,2,2,1,4,66.16,0.54234,1
CC#CC1=NC(C=O)=N1,120.11099999999999,3,0,1,1,3,41.79,0.019200000000000106,0
