SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1=C2CCCC(CC1)C2,136.238,0,0,0,2,0,0.0,3.286900000000002,1
CC1=CC2CCOCC12,124.183,1,0,0,2,1,9.23,1.599,2
CC(C)C12CCC(C)(C1)C2,138.254,0,0,1,3,0,0.0,3.2227000000000023,0
CC1C=CC2CC(C)(C)N12,137.226,1,0,0,2,1,3.24,1.7976,2
C=C1C=CC2CCC2C1,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CCC1=CC1CC1CC1,122.21099999999998,0,0,3,2,0,0.0,2.752700000000001,1
CC1=CC2CC=C2CCC1,134.222,0,0,0,2,0,0.0,3.0629000000000017,1
C1=CNC=CC2CC2=C1,119.16699999999997,1,1,0,2,1,12.03,1.5633,1
C=C1C=CC2CCC1C2,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC1CC2CC3(C=CC3)C12,134.222,0,0,0,3,0,0.0,2.608600000000001,4
CC1=CC2C3CCC12C3,120.19500000000001,0,0,0,4,0,0.0,2.3626000000000005,3
C#CC1C2CC(C)C1C2,120.195,0,0,0,3,0,0.0,1.9117,4
CC1=CCCC2CC2(C)C1,136.238,0,0,0,2,0,0.0,3.142800000000002,2
C1=C2CC=C2CCCC1,120.19500000000001,0,0,0,2,0,0.0,2.8169000000000013,0
C1=CC2C=CN(C1)CC2,121.183,1,0,0,3,1,3.24,1.3918,1
CC12C#CCCCC1C2,120.195,0,0,0,2,0,0.0,2.1999000000000004,2
CC1=CC2CC3(CC3)C12,120.19500000000001,0,0,0,3,0,0.0,2.3626000000000005,2
CC1(C)C=C2C=CCC21,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,1
CC1=CC=C(C)C12CC2,120.19500000000001,0,0,0,2,0,0.0,2.6728000000000014,0
CC1CC=CC12C=CC2,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
C#CC12CCCC1C2=C,118.17899999999999,0,0,0,2,0,0.0,1.9759,2
CC1=CC=C(C)C2CC12,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CCC1(C)CC2CCN21,125.21499999999999,1,0,1,2,1,3.24,1.6331,2
C=C1C2C=CCC1CC2,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
C=C1C2C=C(C)C1CC2,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC12C=CC(C=CC1)C2,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC1C=C2NCCC2C1,123.199,1,1,0,2,1,12.03,1.5196,2
CC1C=CCC2NC2C1,123.199,1,1,0,2,1,21.94,1.3129,3
CC1C(C)N2CC=CC12,123.19899999999998,1,0,0,2,1,3.24,1.2650000000000001,3
C#CC1CCC2C=C12,104.15199999999999,0,0,0,2,0,0.0,1.5857999999999999,2
CC(C)C1CC2C=CC21,122.21099999999997,0,0,1,2,0,0.0,2.4645,3
CC12CC1=CC1CCC12,120.19499999999998,0,0,0,3,0,0.0,2.3626000000000005,3
CC1=CC2CC2=CCC1,120.19500000000001,0,0,0,2,0,0.0,2.6728000000000014,1
CC1CC12CCC(C)(C)C2,138.254,0,0,0,2,0,0.0,3.2227000000000023,2
C=C1CCCC2C(C)C12,122.21099999999997,0,0,0,2,0,0.0,2.608600000000001,3
CC1CCC2C=C=C2C1,120.19499999999998,0,0,0,2,0,0.0,2.5177000000000005,2
C=C1CC2C(C)CCN12,123.199,1,0,0,2,1,3.24,1.6141999999999999,2
CC1CCC2CC2=C=N1,121.18299999999999,1,0,0,2,1,12.36,1.7847,2
CC1=C(C)C1C1CC1,108.18399999999998,0,0,1,2,0,0.0,2.3626000000000005,0
C1=CC2=CCC(C1)C2,106.16799999999999,0,0,0,2,0,0.0,2.2827,1
CC1C=C2OC2CC(C)C1,138.20999999999998,1,0,0,2,1,12.53,2.3351000000000006,3
CC1C=C2CC=CCCC21,134.222,0,0,0,2,0,0.0,2.918800000000002,2
CCC1=CC2C=CC2C1,120.19499999999996,0,0,1,2,0,0.0,2.5287000000000006,2
CCC1C=C2CC2C1C,122.21099999999998,0,0,1,2,0,0.0,2.608600000000001,3
CC#CC12CC(C)C(C1)O2,136.194,1,0,0,3,1,9.23,1.5772,3
CC1(C)CC2C=C1CC2,122.21099999999998,0,0,0,2,0,0.0,2.752700000000001,1
CC1=C2CCOCC2C1,124.18299999999999,1,0,0,2,1,9.23,1.7431,1
CC(O)C12CC1(C)C2,112.172,1,1,1,2,1,20.23,1.1673,1
CC1CC=C2C=CCC21C,134.22199999999998,0,0,0,2,0,0.0,2.918800000000002,2
CCC1C2CC=CC12C,122.21099999999998,0,0,1,2,0,0.0,2.608600000000001,3
CC1CC2C=CC3(CC3)C12,134.222,0,0,0,3,0,0.0,2.608600000000001,3
CC1CC2C3CC1C2C3C,136.23799999999997,0,0,0,4,0,0.0,2.5444000000000004,6
O=C1CCC2CCC2C1,124.18299999999999,1,0,0,2,1,17.07,1.7656,2
C=CC1CCC12CC2C,122.21099999999998,0,0,1,2,0,0.0,2.608600000000001,3
CCC1C=CC=C2CCC21,134.222,0,0,1,2,0,0.0,2.918800000000002,2
C1=CC2CCC2NC1,109.172,1,1,0,2,1,12.03,0.9244000000000001,2
CC(C)C12CC(CO1)C2,126.19899999999998,1,0,1,3,1,9.23,1.8214000000000001,0
CC1Cc2cc[nH]c21,107.15599999999998,0,1,0,2,1,15.79,1.6743,1
CN1C2C=CCC1C=C2,121.18299999999998,1,0,0,2,1,3.24,1.1851,2
CC1=CC2C3CCCC123,120.19500000000001,0,0,0,3,0,0.0,2.3626000000000005,3
CC1=C2NCCCCC12,123.199,1,1,0,2,1,12.03,1.6637,1
C#CCC1(C)C2CC21C,120.19499999999998,0,0,1,2,0,0.0,2.0558,3
CC1(C)C#CC12CCC2,120.195,0,0,0,2,0,0.0,2.1999000000000004,0
CC1C=CC2C3CCC123,120.195,0,0,0,3,0,0.0,2.2184999999999997,4
CC1C2CCC1(C)C2(C)C,138.254,0,0,0,3,0,0.0,3.0786000000000016,3
C1#CC2C=CCC(C1)C2,118.17900000000002,0,0,0,2,0,0.0,1.9759,2
CC1(O)CCC2C=CC21,124.18299999999998,1,1,0,2,1,20.23,1.3334,3
CC1=CCC2CN2CC1,123.19900000000001,1,0,0,2,1,3.01,1.4107,2
CC1N=C2CCC1CC2,123.199,1,0,0,3,1,12.36,2.0197000000000003,1
CC1=CC2=CCC(C)C12,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
CC1=C2CC(C)CC1C2,122.21099999999998,0,0,0,3,0,0.0,2.752700000000001,2
C=CC1CC2CCC12C,122.21099999999998,0,0,1,2,0,0.0,2.608600000000001,3
CCC1=C2C=CC(C)C21,120.19499999999995,0,0,1,2,0,0.0,2.5287000000000006,2
CC12C=CC13CC=CC23,118.17899999999999,0,0,0,3,0,0.0,2.1386000000000003,3
CC1CC2(C)CC(CO)C12,140.226,1,1,1,2,1,20.23,1.6609,4
