SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC1N=CC2CC1C2,119.16699999999997,1,0,0,3,1,12.36,1.0988,1
CCN1CC12CCC2,111.188,1,0,1,2,1,3.01,1.2446,1
CC1=C2CCCC(CC1)C2,136.238,0,0,0,2,0,0.0,3.286900000000002,1
CCC12C=CC1CCO2,124.18299999999998,1,0,1,2,1,9.23,1.7414999999999998,2
CC1=CC2CCOCC12,124.183,1,0,0,2,1,9.23,1.599,2
COC1=CC2CCC12,110.15599999999999,1,0,1,2,1,9.23,1.5565,2
CCC1C2=CC2C1OC,124.18299999999996,1,0,2,2,1,9.23,1.5974,3
CC12C=CC1CNCC2,123.19900000000001,1,1,0,2,1,12.03,1.172,2
CC1=CC2CC(C)C12,108.184,0,0,0,2,0,0.0,2.2184999999999997,3
CC1CC=C2CC(C)N21,123.199,1,0,0,2,1,3.24,1.7567,2
CC1=CCCC2CC2(C)C1,136.238,0,0,0,2,0,0.0,3.142800000000002,2
C#CC1C2CC(C)C1C2,120.195,0,0,0,3,0,0.0,1.9117,4
CN1C2=CC1C(C)(C)C2,123.19899999999998,1,0,0,3,1,3.24,1.6141999999999999,1
COC1C2=CCC1CC2,124.18299999999999,1,0,1,2,1,9.23,1.7415,2
CC1=CC2CC3(CC3)C12,120.19500000000001,0,0,0,3,0,0.0,2.3626000000000005,2
CC1(C)C=C2C=CCC21,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,1
CC1=CC=C(C)C2CC12,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CCC1(C)CC2CCN21,125.21499999999999,1,0,1,2,1,3.24,1.6331,2
C=C1C2C=C(C)C1CC2,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC12C=CC(C=CC1)C2,120.195,0,0,0,2,0,0.0,2.5287000000000006,2
CC1C=CCC2NC2C1,123.199,1,1,0,2,1,21.94,1.3129,3
CCC1=CC2C=CC12,106.16799999999996,0,0,1,2,0,0.0,2.1386000000000003,2
CC1=CCCC2OC12,110.15599999999999,1,0,0,2,1,12.53,1.4939,2
C#CC1CCC2C=C12,104.15199999999999,0,0,0,2,0,0.0,1.5857999999999999,2
CC(C)C1CC2C=CC21,122.21099999999997,0,0,1,2,0,0.0,2.4645,3
CC(=O)CC1C2CC12,110.15599999999998,1,0,2,2,1,17.07,1.2314,2
CC12CC1(C)N1CC2C1,123.199,1,0,0,4,1,3.24,1.1005,2
CC1=CC2CC=C2C1,106.168,0,0,0,2,0,0.0,2.2827,1
CCC1C2CC1C2NC,125.21499999999999,1,1,2,3,1,12.03,1.2503,2
CC1=CC2CC2=CCC1,120.19500000000001,0,0,0,2,0,0.0,2.6728000000000014,1
CCN1C=C2CCCC21,123.199,1,0,1,2,1,3.24,1.7583,1
CC1CCC12C(C)N2C,125.21499999999999,1,0,0,2,1,3.01,1.489,4
CN1CCC12CCC2,111.188,1,0,0,2,1,3.24,1.2446,0
CC(C)[NH2+]C1C2CCC21,126.22299999999997,0,1,2,2,1,16.61,0.36659999999999965,2
C=C1CC2C(C)CCN12,123.199,1,0,0,2,1,3.24,1.6141999999999999,2
CC1=C2CCC=C2C1,106.16799999999999,0,0,0,2,0,0.0,2.426800000000001,0
CC1=CC2C(C)OCC12,124.18299999999999,1,0,0,2,1,9.23,1.5974,3
C=C1C2CC(C)C1(C)C2,122.21099999999998,0,0,0,3,0,0.0,2.608600000000001,3
CC1=C(C)C1C1CC1,108.18399999999998,0,0,1,2,0,0.0,2.3626000000000005,0
CC1CCC12CC21CC1,122.211,0,0,0,3,0,0.0,2.5866000000000007,2
C1=CC2=CCC(C1)C2,106.16799999999999,0,0,0,2,0,0.0,2.2827,1
CC1=C2CC(C)(C)C2C1,122.21099999999998,0,0,0,2,0,0.0,2.752700000000001,1
CC1CC2(C1)C1CC12C,122.21099999999998,0,0,0,3,0,0.0,2.442500000000001,2
C1=CC2CC=CC(C1)N2,121.18299999999998,1,1,0,2,1,12.03,1.2329999999999999,2
CC12CCOC1C21CC1,124.18299999999999,1,0,0,3,1,9.23,1.5754000000000001,2
CC1C=C2OC2CC(C)C1,138.20999999999998,1,0,0,2,1,12.53,2.3351000000000006,3
CC1C=C2CC=CCCC21,134.222,0,0,0,2,0,0.0,2.918800000000002,2
CCC1=CC2C=CC2C1,120.19499999999996,0,0,1,2,0,0.0,2.5287000000000006,2
CC1CCC2(CC2)OC1,126.199,1,0,0,2,1,9.23,1.9655,1
CCC1C=C2CC2C1C,122.21099999999998,0,0,1,2,0,0.0,2.608600000000001,3
CC1(C)CC2C=C1CC2,122.21099999999998,0,0,0,2,0,0.0,2.752700000000001,1
CC1=C2CCOCC2C1,124.18299999999999,1,0,0,2,1,9.23,1.7431,1
CC1C2CC=CC1(C)N2,123.19899999999998,1,1,0,3,1,12.03,1.3129,3
CC(O)C12CC1(C)C2,112.172,1,1,1,2,1,20.23,1.1673,1
