SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)C(N)COC,127.143,3,1,3,0,3,52.32000000000001,-0.8375999999999997,1
C#CCC(C)(O)OC,114.14399999999998,2,1,2,0,2,29.46,0.3646,1
C#CCC(O)CC(=O)C=O,140.13799999999998,3,1,4,0,3,54.37,-0.47130000000000005,1
CC(C)C(O)CC(=O)O,132.159,2,2,3,0,3,57.53,0.478,1
COCC(=O)C(=N)CCO,145.158,4,2,5,0,4,70.38000000000001,-0.39593000000000006,0
CC(O)C(C)(C=O)NC=O,145.158,3,2,4,0,4,66.4,-0.9292000000000002,2
CCNC(=O)C(C)NC=O,144.17399999999998,2,2,4,0,4,58.2,-0.7430000000000001,1
C#CC(C)(O)C(C)=N,111.14399999999998,2,2,1,0,2,44.08,0.41027,1
C#CCCNCOC#N,124.14299999999999,3,1,4,0,3,45.05,0.05447999999999992,0
C#CC(O)(C=O)C(C)N,127.14299999999999,3,2,2,0,3,63.31999999999999,-1.1032000000000002,2
CC(C)NC#CCOC=O,141.17,3,1,3,0,3,38.33,0.1182999999999999,0
C#CCC(C)(O)C=N,111.14399999999998,2,2,2,0,2,44.08,0.41027,1
CC#CCOCC(=O)C=N,139.154,3,1,4,0,3,50.150000000000006,0.24497000000000008,0
CCC(N)C(C#N)N=O,127.14699999999999,4,1,3,0,4,79.24000000000001,0.38227999999999995,2
C#CC(O)CCN=O,113.11600000000001,3,1,3,0,3,49.660000000000004,0.13699999999999996,1
CC(O)CC(=O)C#CO,128.12699999999998,3,2,2,0,3,57.53,-0.3401999999999999,1
CNC(O)=CC(C)=O,115.13199999999999,3,2,2,0,3,49.33,0.1942000000000001,0
COC#CC(C)OC=O,128.12699999999998,3,0,2,0,3,35.53,0.1552,1
CN(C#N)C(C=O)CO,128.13099999999997,4,1,3,0,4,64.33,-1.04092,1
C#CCC(O)OC(C)C#N,139.15399999999997,3,1,3,0,3,53.25,0.2567799999999999,2
C#CCC(CCN)OC#N,138.17000000000002,3,1,4,0,3,59.04,0.2247800000000001,1
C#CCC(=O)COCC=O,140.13799999999998,3,0,5,0,3,43.370000000000005,-0.20570000000000022,0
CCOC(C=O)C(N)C=O,145.15800000000002,4,1,5,0,4,69.39,-0.8833999999999995,2
CC(=N)C(=O)CC(C)O,129.159,3,2,3,0,3,61.150000000000006,0.36606999999999995,1
CCOC(C)(O)C#N,115.13199999999999,3,1,2,0,3,53.25,0.25498000000000004,1
N#CC(CC=N)NC=O,125.13099999999999,3,2,4,0,4,76.74000000000001,-0.33575000000000016,1
CC(N)=C(O)C(=O)O,117.10399999999997,3,3,1,0,4,83.55,-0.18079999999999996,0
CC(C)(O)N(C=O)C=O,131.131,3,1,3,0,4,57.61,-0.6704000000000001,0
CCNC(C#N)CCN,127.19100000000002,3,2,4,0,3,61.84,-0.1631199999999996,1
COC(=O)C#CC(C)C=O,140.13799999999998,3,0,1,0,3,43.370000000000005,-0.0021999999999999797,1
CC(C)COC(N)C=O,131.17499999999998,3,1,4,0,3,52.32,0.14270000000000016,1
N#CC(C=O)CC(N)C=O,140.142,4,1,4,0,4,83.94999999999999,-0.7586200000000001,2
C#CCOC(C)NC(C)=O,141.17,2,1,3,0,3,38.33,0.11830000000000013,1
CCC(N)(C#N)C[O-],113.13999999999999,3,1,2,0,3,72.87,-1.0222200000000001,1
CCC(=N)C(N)C#N,111.148,3,2,2,0,3,73.66,0.2670500000000002,1
NC(C=O)C(C=O)C=O,129.11499999999998,4,1,4,0,4,77.23,-1.4734000000000005,1
C#CCOC(C)=NCO,127.14299999999999,3,1,2,0,3,41.82,0.004400000000000015,0
CNC(C)C(=O)N=O,116.11999999999999,3,1,2,0,4,58.53,-0.11270000000000024,1
CC(=O)C(O)C(C)CN,131.17499999999998,3,2,3,0,3,63.31999999999999,-0.46890000000000004,2
CCC#CC(=N)C(C)=O,123.15499999999997,2,1,1,0,2,40.92,1.00857,0
COCC(=O)CC(=N)C=O,143.142,4,1,5,0,4,67.22,-0.18932999999999994,0
CCCC(O)C(=O)C(C)N,145.20199999999997,3,2,4,0,3,63.31999999999999,0.06369999999999998,2
C#CCC(O)OC#N,111.1,3,1,2,0,3,53.25,-0.17422000000000004,1
CC(C)OC#CC#N,109.128,2,0,1,0,2,33.019999999999996,0.89588,0
CC#CC(=N)C(C)O,111.14399999999998,2,2,1,0,2,44.08,0.41026999999999997,1
C#CC(C)(N)OC#N,110.116,3,1,1,0,3,59.04,-0.20782,1
CNCC(C=O)C(O)C=O,145.158,4,2,5,0,4,66.4,-1.4192999999999998,2
CC(C)OCC(=O)O,118.13199999999999,2,1,3,0,3,46.53,0.49600000000000005,0
CC(CO)(CC#N)CC#N,138.17000000000002,3,1,3,0,3,67.81,0.81236,0
CCC(N)C(O)C#[N+][O-],130.147,3,2,2,0,4,73.67,-0.08469999999999983,2
CC(=O)COC(C)CN,131.17499999999998,3,1,4,0,3,52.32,-0.060800000000000076,1
C#CC(CC=N)OC=N,124.14299999999999,3,2,4,0,3,56.93,0.65154,1
C#CC(=O)OC(C)N,113.116,3,1,1,0,3,52.32,-0.5325,1
COCC(C)C(=O)C(=O)O,146.142,3,1,4,0,4,63.60000000000001,-0.07740000000000019,1
CC(=O)CC(C#N)CN,126.159,3,1,3,0,3,66.88,0.06398000000000004,1
CC(=O)NC(=O)C(C)C=O,143.14199999999997,3,1,2,0,4,63.24,-0.5159,1
CC[N+](C)([O-])C(C)NC,132.207,2,1,3,0,3,35.089999999999996,0.5161,2
CC(=O)OC(C)C(=O)O,132.115,3,1,2,0,4,63.60000000000001,0.022599999999999898,1
CCC(CO)=NCC(C)=O,143.18599999999998,3,1,4,0,3,49.660000000000004,0.4186999999999999,0
CONC(C)(C)C#N,114.148,3,1,2,0,3,45.05,0.43958,0
CC(C)(C#CO)C(N)=O,127.14299999999999,2,2,1,0,3,63.32,-0.16869999999999996,0
CC(C#CC=O)NC#N,122.12699999999998,3,1,1,0,3,52.89,-0.35211999999999993,1
CNC(C=O)CCC#N,126.159,3,1,4,0,3,52.89,0.0770799999999996,1
CC(C=O)C(C)(C)N=O,129.159,3,0,3,0,3,46.5,1.3664,1
CC(O)=C(O)CC(C)O,132.159,3,3,2,0,3,60.69,1.1047999999999998,1
