SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC12C=CC(O)C1C2O,126.15499999999997,2,2,0,2,2,40.46,-0.08589999999999998,4
CC1(O)CCC2OC21O,130.143,3,2,0,2,3,52.989999999999995,-0.3813999999999999,3
CC1=CN(O)C12COC2,127.14299999999999,3,1,0,2,3,32.7,0.36400000000000005,0
CC12OCCCC1C2=O,126.15499999999999,2,0,0,2,2,26.3,0.7544,2
OC1C=CC2NC2CN1,126.15899999999999,3,3,0,2,3,54.2,-1.1954000000000002,3
O=C1CC2OC=CC1O2,126.11099999999998,3,0,0,2,3,35.53,0.21440000000000003,2
O=C1CC2C=CC1OC2,124.13899999999998,2,0,0,3,2,26.3,0.5304,2
CC1(O)CC2COC21,114.14399999999999,2,1,0,2,2,29.46,0.1560999999999999,3
O=C1OCC2CCOC12,128.12699999999998,3,0,0,2,3,35.53,-0.05170000000000008,2
O=C1CCC2(CN2)CO1,127.143,3,1,0,2,3,48.24000000000001,-0.3346,1
O=C1CC(O)C12CCN2,127.143,3,2,0,2,3,49.33,-0.9478,2
C1COC2CCC(C2)O1,128.171,2,0,0,2,2,18.46,0.9543,2
CC1C2CCC1(O)CO2,128.171,2,1,0,2,2,29.46,0.5462,3
O=C1OC2CC2C1CO,128.12699999999998,3,1,1,2,3,46.53,-0.45980000000000015,3
CC1CNCCC12CO2,127.187,2,1,0,2,2,24.56,0.38479999999999986,2
O=C1OCC2CCC1O2,128.12699999999998,3,0,0,2,3,35.53,0.09079999999999999,2
CC1C2=CCC2OC1O,126.15499999999997,2,1,0,2,2,29.46,0.6698,3
O=C1C=CCC2CC2O1,124.139,2,0,0,2,2,26.3,0.8779999999999999,2
O=C1CC2CC1(O)C2O,128.12699999999998,3,2,0,3,3,57.53,-0.9289000000000001,3
O=C1CC2(CO)CC12O,128.12699999999998,3,2,1,2,3,57.53,-0.9273000000000002,2
O=C1CCCC2CC1O2,126.15499999999999,2,0,0,3,2,26.3,0.8969,2
O=C1CCC2(C1)NC2O,127.14299999999999,3,2,0,2,3,59.24000000000001,-0.6002000000000002,2
CC1CC23CC2(C3)OCO1,140.182,2,0,0,3,2,18.46,1.3019,1
CC1C2C(O)C(=O)CN12,127.143,3,1,0,2,3,40.309999999999995,-0.9973000000000001,4
CC1(O)CC12COC2,114.144,2,1,0,2,2,29.46,0.15769999999999995,1
OCC1CC2=CC1OC2,126.15499999999999,2,1,1,2,2,29.46,0.32379999999999987,2
N=C1C2COCCC12O,127.14299999999999,3,2,0,2,3,53.31,-0.21263000000000004,2
N#CC1C(=O)CC2NCC21,136.154,3,1,0,2,3,52.89,-0.3130200000000001,3
ON=C1CC2COC2C1,127.14299999999999,3,1,0,2,3,41.82000000000001,0.6254,2
CC1C(=O)C12CCOC2,126.155,2,0,0,2,2,26.3,0.6119,2
NCC12CCC1OC(=O)C2,141.16999999999996,3,1,1,2,3,52.32,0.04080000000000017,2
O=C1CCC2NC1CC2O,141.17,3,2,0,2,3,49.33,-0.5593000000000001,3
CC1=C2OCC2C(C)O1,126.15499999999999,2,0,0,2,2,18.46,1.283,2
CC12OCC1OC1CC12,126.15499999999997,2,0,0,3,2,18.46,0.5625999999999999,4
CC1OC12CCCOC2,128.171,2,0,0,2,2,21.759999999999998,0.9543,2
CC1C2CC(=O)C1CO2,126.15499999999999,2,0,0,2,2,26.3,0.6103,3
CC1(O)CC2OCC21,114.14399999999999,2,1,0,2,2,29.46,0.1560999999999999,3
O=C1CCC2OCC1O2,128.12699999999998,3,0,0,2,3,35.53,0.09079999999999999,2
O=C1OCC2CCC1O2,128.12699999999998,3,0,0,2,3,35.53,0.09079999999999999,2
