SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CCC1C2CC(C=O)=NC12,137.18200000000002,2,0,2,2,2,29.43,1.0546,3
CC12CC1NCCC2=O,125.17099999999999,2,1,0,2,2,29.1,0.32739999999999997,2
CCC1CC2=NCC2N1,124.187,2,1,1,2,2,24.39,0.5814999999999999,2
O=C1CC2NCC2CO1,127.14299999999999,3,1,0,2,3,38.33,-0.4787000000000001,2
CC(O)N1CC2CC21,113.15999999999998,2,1,1,2,2,23.47,0.028799999999999937,3
CC1COC2OCC12,114.14399999999998,2,0,0,2,2,18.46,0.6252,3
C#CCC12C=NC1CO2,121.13899999999998,2,0,1,2,2,21.59,0.23170000000000002,2
CC12CCC1OC=C=N2,123.15499999999999,2,0,0,2,2,21.59,1.1211,2
CC12CC(O)N1CC=N2,126.159,3,1,0,2,3,35.83,-0.18890000000000007,2
CC12CCNC1OC2=O,127.14299999999997,3,1,0,2,3,38.33,-0.13110000000000016,2
OCC12CCC1=COC2,126.15499999999999,2,1,1,2,2,29.46,0.673,1
CC1(C)CC2OC=CN21,125.17099999999998,2,0,0,2,2,12.47,1.2982,1
OC1CC2COC(CO1)C2,144.17,3,1,0,2,3,38.69,0.1302000000000001,3
C1=NC2CCC2OC1,111.14399999999999,2,0,0,2,2,21.59,0.6184000000000001,2
O=C1CC(O)C12CCC2O,142.154,3,2,0,2,3,57.53,-0.5388,3
O=CC1COC=C2OC21,126.11099999999998,3,0,1,2,3,38.83,0.07190000000000007,2
N=C1OCCC2NCC12,126.15899999999999,3,2,0,2,3,45.11,-0.028030000000000166,2
O=C1CN=CC2CC2C1,123.15499999999997,2,0,0,2,2,29.43,0.6661,2
CC1(C2CO2)CCON1,129.15900000000002,3,1,1,2,3,33.79,0.06880000000000003,2
O=CC12COC1C=CO2,126.11099999999996,3,0,1,2,3,35.53,-0.13319999999999999,2
CC1(CN2CO2)CC1=O,127.14299999999999,3,0,2,2,3,32.61,0.1701999999999999,2
OCC1CN=CC2(CN2)C1,140.18599999999998,3,2,1,2,3,54.53,-0.5886,2
CC12C=NC1CCC2O,125.17099999999998,2,1,0,2,2,32.59,0.6004,3
