SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)C1=NN=N1,107.07200000000002,4,0,1,1,4,54.15,-0.032,0
O=Cc1cnoc1O,113.07199999999997,4,1,1,1,4,63.33,0.19269999999999993,0
ON=C1COC1=NO,116.076,5,2,0,1,5,74.41000000000001,-0.3655000000000001,0
Cc1nc(=O)on1C,114.10399999999998,4,0,0,1,4,48.03,-0.3182800000000001,0
Nc1cnnnc1CO,126.119,5,2,1,1,5,84.92,-1.0539000000000003,0
CN=C1OC=NC1=N,111.104,3,1,0,1,4,57.800000000000004,0.05046999999999996,0
CNc1cnc(C=O)o1,126.11499999999998,4,1,2,1,4,55.13,0.5287999999999999,0
Cc1onnc1CO,114.10399999999998,4,1,1,1,4,59.150000000000006,-0.12968000000000007,0
CN=C1OCOC1=NO,130.103,5,1,0,1,5,63.41,-0.19329999999999997,0
Cn1cnnc1C=N,110.11999999999999,4,1,1,1,4,54.56,-0.18723000000000017,0
CN=C1OCC(=O)O1,115.088,4,0,0,1,4,47.89,-0.4543999999999999,0
N=C1COCN=CO1,114.104,4,1,0,1,4,54.67,-0.003730000000000011,0
Cc1nnc(=N)on1,112.092,5,1,0,1,5,75.66,-0.7475100000000001,0
Cn1cnc(C=O)n1,111.10399999999998,4,0,1,1,4,47.78,-0.37240000000000006,0
CC1=NCOC(=O)O1,115.08799999999998,4,0,0,1,4,47.89,0.5291000000000001,0
CNC1=CN=NC1=O,111.104,3,1,1,1,4,53.82,0.03959999999999991,0
N=Cc1noc(CO)n1,127.103,5,2,2,1,5,83.0,-0.44043000000000004,0
CN=C1CC(=O)OCO1,129.11499999999998,4,0,0,1,4,47.89,-0.06430000000000002,0
COC1=NN=C1C=N,111.10399999999998,4,1,1,1,4,57.800000000000004,0.05046999999999996,0
CN=C1N=COC1=N,111.10399999999998,3,1,0,1,4,57.800000000000004,0.05047000000000007,0
O=C1CNCC1=NO,114.104,4,2,0,1,4,61.69,-1.0110999999999999,0
CN1C=NON1C=N,114.10799999999999,4,1,1,1,5,51.92,-0.3692300000000001,0
CN=c1ocnn1C,113.12,4,0,0,1,4,43.32,-0.45640000000000014,0
CCC1=NC(=NO)O1,114.10399999999998,3,1,1,1,4,54.18000000000001,0.5703,0
Cn1ncc(=N)nn1,111.10800000000002,5,1,0,1,5,67.45,-1.3104300000000002,0
CNC1=CN=NC1=N,110.12,3,2,1,1,4,60.6,0.49027,0
N=C1OCC1OCO,117.10399999999998,4,2,2,1,4,62.540000000000006,-0.67113,1
N=C1COC(=N)CO1,114.104,4,2,0,1,4,66.16,-0.012260000000000104,0
CN=C1CN=COCO1,128.13099999999997,4,0,0,1,4,43.18000000000001,0.04730000000000001,0
Cn1cc[nH]c1=NO,113.11999999999999,3,2,0,1,4,53.31,-0.35690000000000016,0
COC1=CN=NC1=N,111.104,3,1,1,1,4,57.800000000000004,0.91727,0
Nc1cn(CO)cn1,113.11999999999999,4,2,1,1,4,64.07,-0.5849,0
Cn1cnc(CO)n1,113.11999999999999,4,1,1,1,4,50.94,-0.6926000000000001,0
CN=C1C=NOC1=N,111.10399999999998,4,1,0,1,4,57.800000000000004,0.05046999999999996,0
Cn1cnc(N)c1O,113.11999999999999,4,2,0,1,4,64.07000000000001,-0.2921000000000001,0
COC1=C(CO)N=N1,114.104,4,1,2,1,4,54.18,0.25999999999999995,0
CC1=NC(=O)N=C1O,112.08799999999998,1,1,0,1,4,62.019999999999996,0.5374000000000001,0
Cn1cnnc1CO,113.11999999999999,4,1,1,1,4,50.94,-0.6926000000000001,0
O=CC1COC(=O)O1,116.07199999999999,4,0,1,1,4,52.60000000000001,-0.2792999999999999,1
OCn1cc(O)cn1,114.10399999999998,4,2,1,1,4,58.28,-0.46150000000000024,0
CN=c1cnon1C,113.11999999999999,4,0,0,1,4,43.32,-0.45640000000000014,0
Cn1nc(CO)n1C=N,128.135,5,2,2,1,5,66.83,-0.83093,0
COC1=NC(=O)N=C1,112.088,2,0,0,1,4,51.019999999999996,0.23570000000000002,0
COCC1=NN=C1N,113.12000000000002,4,1,2,1,4,59.97,-0.6403999999999999,0
COc1cnon1,100.077,4,0,1,1,4,48.150000000000006,0.07819999999999994,0
CC(=O)n1ncn1C,113.11999999999999,4,0,0,1,4,39.82,-0.11829999999999996,0
CNC1N=C(CO)O1,116.11999999999999,4,2,2,1,4,53.85000000000001,-1.0896000000000003,1
Cc1nnnc(C=N)n1,123.11899999999999,5,1,1,1,5,75.41,-0.42731,0
CNc1noc(=O)n1C,129.11899999999997,5,1,1,1,5,60.06,-0.5850000000000002,0
Cc1onnc1C=N,111.10399999999998,4,1,1,1,4,62.77,0.37568999999999997,0
O=COC1C=NO1,101.06099999999999,4,0,2,1,4,47.89,-0.49850000000000005,1
Cn1c(O)cc[n+]1[O-],114.10399999999998,3,1,0,1,4,52.099999999999994,-0.6359000000000001,0
