SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
N=C1CC(N)N=CC1=O,125.13099999999999,4,2,0,1,4,79.30000000000001,-0.6654300000000002,1
N=C1CC(=O)NCC1=O,126.11499999999998,3,2,0,1,4,70.02000000000001,-0.9048300000000002,0
NC1=CC=C1C(=O)NO,126.115,3,3,1,1,4,75.35000000000001,-0.7256,0
NC(=O)C1CC1=NO,114.104,3,2,1,1,4,75.68,-0.6782000000000001,1
N#CC1NC=C(N)C1O,125.13099999999999,4,3,0,1,4,82.07000000000001,-1.35722,2
N#CC1NC(=N)NC1=O,124.103,3,3,0,1,5,88.77000000000001,-1.4672500000000008,1
C#CC1(C(=N)N)NC1=O,123.115,2,3,1,1,4,88.88,-1.5758300000000007,1
NCc1cc(C=O)n[nH]1,125.13099999999999,3,2,2,1,4,71.77000000000001,-0.3191000000000001,0
CN1C=NC(=O)CC1O,128.13099999999997,3,1,0,1,4,52.900000000000006,-0.8048,1
CC1(N)CC(=O)C1O,115.13199999999998,3,2,0,1,3,63.32000000000001,-0.9625000000000004,2
N=C1N=CC(=O)C(O)N1,127.10299999999998,3,3,0,1,5,85.54,-1.5173300000000003,1
N=C1CNC(=O)C(N)C1,127.14699999999999,3,3,0,1,4,78.97,-1.1466299999999998,1
N=c1[nH]cc(O)[nH]c1=O,127.103,3,4,0,1,5,92.72999999999999,-1.11193,0
N=C1CCC(=N)C(=O)N1,125.13099999999999,3,3,0,1,4,76.80000000000001,-0.1065600000000001,0
N#CC1(C(N)=O)CNC1,125.131,3,2,1,1,4,78.91,-1.41512,0
N=C1C=C(N)NC1O,113.11999999999999,4,4,0,1,4,82.13000000000001,-1.2721300000000002,1
N#CCC1=NC(O)=C1N,123.115,4,2,1,1,4,82.39999999999999,0.04048000000000013,0
N=C1N=C(N)C1CO,113.11999999999999,3,3,1,1,4,82.46000000000001,-1.05703,1
N=C1NC(C=O)CC1=O,126.115,3,2,1,1,4,70.02000000000001,-0.9064300000000001,1
NC(=O)NC1CCC1=O,128.131,2,2,1,1,4,72.19,-0.6138000000000003,1
CC1=C(N)NC(=O)NC1,127.14699999999999,2,3,0,1,4,67.14999999999999,-0.5105999999999999,0
