SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(C)C1C2CCC21,120.19499999999998,0,0,1,2,0,0.0,1.9117,3
CC1C=CC2CC2C1C,122.21099999999998,0,0,0,2,0,0.0,2.4645,4
C#CCC1C2C=CCC21,118.17899999999997,0,0,1,2,0,0.0,1.8317999999999999,3
CC1CC2C=COC1C2,124.18299999999998,1,0,0,2,1,9.23,1.945,3
CC1=CC(C)CC2CC12,122.211,0,0,0,2,0,0.0,2.608600000000001,3
CC#CC1CCC2CC12,120.195,0,0,0,2,0,0.0,2.0558,3
CC#CC1CC2(C)CC12,120.195,0,0,0,2,0,0.0,2.0558,3
CC1C=CCC2CCC12,122.211,0,0,0,2,0,0.0,2.608600000000001,3
C#CC12CC=CCC1C2,118.17899999999997,0,0,0,2,0,0.0,1.9759,2
CC1=CCC2CCC12C,122.211,0,0,0,2,0,0.0,2.752700000000001,2
C#CC1CC2CCC1C2,120.195,0,0,0,2,0,0.0,2.0558,3
C#CC1C=C2CC1C2C,118.17899999999999,0,0,0,3,0,0.0,1.8317999999999999,3
C#CCC1(C)C2C(C)C21,120.19499999999996,0,0,1,2,0,0.0,1.9117,2
C#CCC1C=CC2CC12,118.17899999999997,0,0,1,2,0,0.0,1.8317999999999999,3
CC#CC1CC2CCC12,120.195,0,0,0,2,0,0.0,2.0558,3
CC1C2C=CC=CC1C2,120.19499999999998,0,0,0,3,0,0.0,2.3846000000000007,2
CC#CC1CC2CC12C,120.195,0,0,0,2,0,0.0,2.0558,3
C#CCC1CC2CCC12,120.195,0,0,1,2,0,0.0,2.0558,3
C#CCC1C2CCC12C,120.195,0,0,1,2,0,0.0,2.0558,3
C1=CC2=CCCCC2C1,120.195,0,0,0,2,0,0.0,2.6728000000000014,1
CC1C=C2CCC2CC1,122.211,0,0,0,2,0,0.0,2.752700000000001,2
CCC1C=C2CCC21C,122.211,0,0,1,2,0,0.0,2.752700000000001,2
CC1=CCC2C=CCC12,120.19499999999998,0,0,0,2,0,0.0,2.5287000000000006,2
CC1=CCC2CC1C2C,122.21099999999998,0,0,0,3,0,0.0,2.608600000000001,3
CCC#CC12CC1C2C,120.19499999999996,0,0,0,2,0,0.0,2.0558,3
C#CC1CCC2CC1C2,120.195,0,0,0,3,0,0.0,2.0558,1
CC1=CCCC2C(C)C12,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,3
CC1=CCC(C)C2CC12,122.21099999999998,0,0,0,2,0,0.0,2.608600000000001,3
CC1CC=CC2C=CCC21,134.22199999999998,0,0,0,2,0,0.0,2.774700000000001,3
