SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
NC(F)(F)C(F)(F)F,135.035,1,1,0,0,6,26.02,1.1002,0
Fc1cc(F)c(F)cn1,133.072,1,0,0,1,4,12.89,1.4989,0
N#CC(F)(F)C1N=C1F,134.06,2,0,1,1,5,36.15,0.89548,1
N#CC1C(F)OC1(F)CO,149.096,3,1,1,1,5,53.25,0.11008000000000001,3
CC(O)(F)C1N=CC=NN1,145.137,4,2,1,1,5,56.980000000000004,-0.34970000000000007,2
NC1(F)CCC(F)N1,122.118,2,2,0,1,4,38.05,0.24740000000000012,2
FC(F)c1cncn1F,136.076,2,0,1,1,5,17.82,1.5532999999999995,0
CC1N=CC1COCC#N,138.17,3,0,3,1,3,45.379999999999995,0.61568,2
O=C1CC(F)C(F)O1,122.07,2,0,0,1,4,26.3,0.567,2
COC(O)C1=NC1(F)F,137.085,3,1,2,1,5,41.82,-0.0014000000000000123,1
N#CC(O)N1CCC1F,130.12199999999999,3,1,1,1,4,47.26,-0.17032000000000003,2
CN1CC(F)C1C(F)F,139.11999999999998,1,0,1,1,4,3.24,0.9036,2
COC(F)C1CN(F)C1,137.129,2,0,2,1,4,12.47,0.7447,1
CC1COC=NC1F,117.12299999999999,2,0,0,1,3,21.59,0.9766,2
N#CC1(F)CCC1=NO,128.106,3,1,0,1,4,56.379999999999995,0.8422799999999999,1
CCC1C(O)CN1C=N,128.175,2,2,2,1,3,47.32,0.048569999999999836,2
CC(F)(F)C(F)(F)F,134.047,0,0,0,0,5,0.0,2.2039,0
CN1C(F)CC1(F)F,125.093,1,0,0,1,4,3.24,1.2103,1
NCC1C(OF)C1(F)F,141.092,2,1,2,1,5,35.25,0.4798999999999999,2
CC(F)C1=COC1CO,132.134,2,1,2,1,3,29.46,0.6194,2
OC1C=CNC1C(F)C(F)F,167.12999999999997,2,2,2,1,5,32.26,0.436,3
NC(F)C(F)(F)CF,131.072,1,1,2,0,5,26.02,0.8455000000000001,1
N#CCCOC(F)F,121.086,2,0,3,0,4,33.019999999999996,1.13928,0
OC(F)CC(F)(F)F,132.056,1,1,1,0,5,20.23,1.2267,1
N#CC(F)C(F)F,109.05,1,0,1,0,4,23.79,1.11318,1
N=C(F)C(F)CCC(F)F,157.10999999999999,1,1,4,0,5,23.85,2.3165700000000005,1
ON=C1C(F)=CC1O,117.07899999999998,3,2,0,1,4,52.82000000000001,0.044499999999999984,1
N#CC1OC(F)C1F,119.07,2,0,0,1,4,33.019999999999996,0.5424800000000001,3
NC(F)c1con1F,122.074,3,1,1,1,5,44.089999999999996,0.7405,1
FC1(F)CCOC1,108.087,1,0,0,1,3,9.23,1.0419999999999998,0
C#CC1COC1C(F)F,132.10899999999998,1,0,1,1,3,9.23,0.8996999999999999,2
FC(F)OCC1C=CC1F,152.11499999999998,1,0,3,1,4,9.23,1.7497,2
OC(F)(F)CC(F)F,132.056,1,1,2,0,5,20.23,1.2267,0
COC1CCC1OCC#N,141.17,3,0,3,1,3,42.25,0.70398,2
O=C1N=COC1C(F)F,135.069,2,0,1,1,5,38.66,0.20520000000000005,1
N=C1OC(O)OCC1F,135.094,4,2,0,1,5,62.540000000000006,-0.37553000000000014,2
N=C1CC(O)C1OC(F)F,151.11199999999997,3,2,2,1,5,53.31,0.37856999999999996,2
N=CN1CCC(F)(F)C1,134.129,1,1,1,1,4,27.090000000000003,0.93447,0
N#CCC1C(F)C1(F)F,135.088,1,0,1,1,4,23.79,1.5032800000000002,2
N=C1CCNC(F)CO1,132.13799999999998,3,2,0,1,4,45.11,0.26916999999999996,1
CNOC(F)C(F)(F)F,147.071,2,1,2,0,6,21.259999999999998,0.9953000000000001,1
CON=C1CCC1C#N,124.14299999999999,3,0,1,1,3,45.379999999999995,0.9223800000000001,1
CCN1CC1OC(F)(F)F,155.11899999999997,2,0,2,1,5,12.24,1.1844,2
CC1OC(F)(F)C1C,122.11399999999999,1,0,0,1,3,9.23,1.6340000000000001,2
CC(F)(F)C1NC=CO1,135.11299999999997,2,1,1,1,4,21.259999999999998,1.0587,1
FCc1cn[nH]c1F,118.086,1,1,1,1,4,28.68,1.0183,0
CC1NCC(F)(F)O1,123.102,2,1,0,1,4,21.259999999999998,0.5449999999999999,1
O=CN1CCCCC1F,131.15,1,0,1,1,3,20.310000000000002,0.9243,1
CCC1NC=NC1C(F)F,148.15599999999998,2,1,2,1,4,24.39,1.0301999999999998,2
FC1CNC1F,93.07600000000001,1,1,0,1,3,12.03,0.2233,2
FC1CCC(F)(F)CO1,140.104,1,0,0,1,4,9.23,1.7277000000000002,1
N=C1COC1CCC(F)F,149.14,2,1,3,1,4,33.08,1.45027,1
CC1(C#N)OCC=NC1F,142.13299999999998,3,0,0,1,4,45.379999999999995,0.66528,2
OC1=C(F)C(F)=C1F,122.045,1,1,0,1,4,20.23,1.8897,0
COC1C=NCOC1C(F)F,165.13899999999998,3,0,2,1,5,30.82,0.6936,2
COC1COC1(F)F,124.08600000000001,2,0,1,1,4,18.46,0.6244000000000001,1
Cn1c(O)cc(F)c1F,133.09699999999998,2,1,0,1,4,25.16,1.0089,0
CN1C(F)CC(F)C1O,137.129,2,1,0,1,4,23.47,0.27399999999999997,3
CCN1C=CC1(F)CO,131.15,2,1,2,1,3,23.47,0.49369999999999997,1
CN1CC1C(F)(F)F,125.09300000000002,1,0,0,1,4,3.01,0.8626999999999999,2
OCC1C(O)COC1F,136.12199999999999,3,2,1,1,4,49.69,-0.7184000000000001,3
