SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1(O)C2OC1C1CC12,126.15499999999999,2,1,0,4,2,29.46,0.15450000000000008,4
OC1C2CC3C(CC13)O2,126.15499999999997,2,1,0,3,2,29.46,0.15450000000000008,5
OC1C2CC3OC1C32,112.12799999999997,2,1,0,3,2,29.46,-0.23560000000000003,5
ON1C=C2CC3CC1(O)C23,139.154,3,2,0,3,3,43.7,0.3035,3
CC1NC2NC3C1CC23,124.18699999999997,2,2,0,5,2,24.06,-0.08790000000000031,5
CC1COC2C3COC132,126.15499999999997,2,0,0,3,2,18.46,0.4200999999999999,4
OC1C2CCC3C1C23O,126.15499999999997,2,2,0,3,2,40.46,-0.25199999999999995,5
OC1C=C2C3COC1C23,124.13899999999997,2,1,0,3,2,29.46,-0.06790000000000007,4
C1C2=NOC3C1CC3C2,123.15499999999997,2,0,0,5,2,21.59,1.1711,2
C1CC2NC3C1COC23,125.17099999999998,2,1,0,4,2,21.259999999999998,0.13559999999999978,4
CC1C2OCC3OC1C32,126.15499999999997,2,0,0,3,2,18.46,0.41849999999999987,5
OC1CC2C3CCC1N32,125.17099999999999,2,1,0,3,2,23.240000000000002,-0.03380000000000005,5
OC12C=CC3CC1C2O3,124.13899999999998,2,1,0,4,2,29.46,0.0746,4
CC12CC3C(O)CN1C32,125.17099999999999,2,1,0,3,2,23.240000000000002,-0.17630000000000012,5
OC1C2C=CC3CC2N31,123.15499999999999,2,1,0,4,2,23.47,-0.05270000000000019,4
CC12NC1C1COC2C1,125.17099999999999,2,1,0,3,2,31.17,0.13559999999999972,4
CC12OCC1C1C3CC312,122.16699999999997,1,0,0,4,1,9.23,1.0412,5
CC1C2C3OCCC3N12,125.171,2,0,0,3,2,12.24,0.23019999999999996,5
OC1CC2C3C(O)C2C13,126.15499999999996,2,2,0,5,2,40.46,-0.3961000000000001,3
CC12COC3C1C3(O)C2,126.15499999999997,2,1,0,3,2,29.46,0.15609999999999996,4
OC12CC3CNC3C1C2,125.17099999999999,2,2,0,3,2,32.26,-0.2708999999999999,4
CC1CC2OC3C1C23O,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999992,5
CC1=CC2C3OCC3C12,122.16699999999999,1,0,0,3,1,9.23,1.2073,4
CC1C2CC1C1(O)NCC21,139.198,2,2,0,4,2,32.26,0.18020000000000003,5
CC12C3CCC1(O)C32O,126.15499999999999,2,2,0,4,2,40.46,-0.1079,4
CC12CC3C(O)C3C1C2,124.18299999999998,1,1,0,3,1,20.23,1.0231999999999999,5
CC1OC2C3CC1C32O,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999992,5
CC1C2CC3OC1C32O,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999992,5
CCC12CC3OC1C3C2O,140.18199999999996,2,1,1,5,2,29.46,0.5446,5
CC12COC1C1OC1C2,126.15499999999997,2,0,0,3,2,21.759999999999998,0.5625999999999999,4
C1OC2C1C1C3CC1N32,123.15499999999999,2,0,0,6,2,12.47,0.04520000000000013,4
CC12CN1C1C(O)CC12,125.17099999999996,2,1,0,3,2,23.240000000000002,-0.17630000000000035,5
CC1(O)C2OC3C1C32C,126.15499999999999,2,1,0,3,2,29.46,0.15450000000000008,5
CC12CC3OCC1OC32,126.15499999999999,2,0,0,4,2,18.46,0.5626,4
OC1CC2OC13CC2C3,126.15499999999999,2,1,0,4,2,29.46,0.2986,2
CC1C2CC3OC1C32,110.15599999999998,1,0,0,3,1,9.23,1.0396,5
C#CC1C(O)C2C3C1C23,120.15099999999997,1,1,0,4,1,20.23,0.1023,4
OC1=CC2CC3C(O)C123,124.13899999999998,2,2,0,3,2,40.46,0.4388999999999999,4
C1OC2C3CC1C2CN3,125.17099999999999,2,1,0,3,2,21.259999999999998,-0.006899999999999851,4
CC1C2CC1N1C(O)C21,125.17099999999998,2,1,0,4,2,23.240000000000002,0.027199999999999946,6
CC1OC2C1C1C(O)C21,126.15499999999996,2,1,0,3,2,29.46,0.01039999999999991,6
CC1C2C3CCOC3C12,124.18299999999999,1,0,0,3,1,9.23,1.2872,5
CC1C2C3OCC2(O)C13,126.15499999999999,2,1,0,5,2,29.46,0.011999999999999955,2
CC1C2C3CC(CO3)N12,125.171,2,0,0,3,2,12.24,0.23019999999999996,5
CC1OC=C2C3NCC1C23,137.182,2,1,0,3,2,21.259999999999998,0.5067999999999999,4
CC1C2C(O)C3C1C23O,126.15499999999997,2,2,0,3,2,40.46,-0.3961,6
CC12C3CC(O)N1C2C3,125.17099999999999,2,1,0,3,2,23.240000000000002,0.17129999999999995,5
O=CC1C2OCC3C1C32,124.13899999999998,2,0,1,3,2,26.3,0.07609999999999995,5
CC1C2NC1C1(O)CC21,125.17099999999998,2,2,0,4,2,32.26,-0.2725000000000001,5
OC12CCC3OC1C32,112.12799999999997,2,1,0,3,2,29.46,-0.09150000000000014,4
CC12CC3OC1C2C3O,126.15499999999997,2,1,0,4,2,29.46,0.15449999999999992,5
CC12C3=C(CO)CC1C32,122.16699999999997,1,1,1,4,1,20.23,0.9449000000000001,3
OCC1OC2C3CC1C32,126.15499999999997,2,1,1,3,2,29.46,0.01200000000000001,5
CC1C2CC1C1OC2O1,126.15499999999997,2,0,0,6,2,18.46,0.9712,2
CC1C2OCC3C2CN13,125.17099999999999,2,0,0,4,2,12.47,0.08769999999999989,5
CC1C2OC1(C)C1OC21,126.15499999999997,2,0,0,4,2,21.759999999999998,0.5609999999999999,5
CC12OC3CC3C1C2O,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999992,5
CC1C2C3COC2C13O,126.15499999999999,2,1,0,5,2,29.46,0.011999999999999955,5
CC12C(O)C1C1OCC12,126.15499999999999,2,1,0,3,2,29.46,0.01200000000000001,5
O=CCC12C3CC1C32,108.13999999999997,1,0,2,4,1,17.07,0.8412999999999999,2
CC1OC2C3OC=C1C32,124.13899999999997,2,0,0,3,2,18.46,0.6861999999999999,4
CC1CC2CN3C(C)C23O1,139.198,2,0,0,3,2,12.24,0.8254000000000001,5
OC1C2CC3NC1C3C2,125.17099999999998,2,2,0,3,2,32.26,-0.2725000000000002,5
CC1C2OC3C(O)C2C13,126.15499999999996,2,1,0,5,2,29.46,0.01039999999999991,6
CC12COCC3C1C32O,126.15499999999997,2,1,0,3,2,29.46,0.013600000000000001,4
OC12CC3CC1CC2O3,126.15499999999999,2,1,0,3,2,29.46,0.2986,4
CC1COC2C3OC1C23,126.15499999999996,2,0,0,3,2,18.46,0.41849999999999987,5
O=C1C2C=CC3NC1C32,121.13899999999998,2,1,0,3,2,29.1,-0.2883000000000002,4
CC12C=CC3C(O)C1N32,123.15499999999999,2,1,0,3,2,23.240000000000002,-0.2578,5
OC1CC2CC3NC3C12,125.17099999999998,2,2,0,3,2,42.17,-0.2725000000000002,5
CC12CC3C(CC1O)C32O,140.182,2,2,0,3,2,40.46,0.1381,5
OC1CC2CC3OC1C23,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999986,5
CC1OC12C1CC12CO,126.15499999999997,2,1,1,3,2,32.76,0.15609999999999996,4
OC1C2CC3CC1(O)C32,126.15499999999997,2,2,0,3,2,40.46,-0.25199999999999995,5
CC1C2NC1C1CC1O2,125.17099999999998,2,1,0,4,2,21.259999999999998,0.3391,5
CC1C2CC3N1C3(C)O2,125.17099999999999,2,0,0,4,2,12.24,0.5778,5
CC1C2OC3CC1(O)C32,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999992,5
CC1C2CC3OC1C2O3,126.15499999999997,2,0,0,3,2,18.46,0.7661,5
OC1C2CC3C1C3(O)C2,126.15499999999997,2,2,0,4,2,40.46,-0.25199999999999995,5
CC1OC2CC3C(O1)C23,126.15499999999997,2,0,0,3,2,18.46,0.7661,5
CC1OC2C3(C)C1C23O,126.15499999999997,2,1,0,4,2,29.46,0.15449999999999992,5
C1=C2CCC3NC2C1O3,123.15499999999997,2,1,0,3,2,21.259999999999998,0.40330000000000005,3
CC12CC3C(COC31)O2,126.15499999999999,2,0,0,4,2,18.46,0.5626,4
O=C1CC2C3OCC3C12,124.13899999999998,2,0,0,3,2,26.3,0.22019999999999995,4
OC1C2CCC3OC2C31,126.15499999999997,2,1,0,4,2,29.46,0.15449999999999986,5
OC1C2CC3CC2C1O3,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999986,5
CC12CC3CC3NC1C2O,139.198,2,2,0,3,2,32.26,0.11759999999999982,5
CC12CNC3CC1(O)C32,125.17099999999998,2,2,0,3,2,32.26,-0.2708999999999998,4
CC1CN2C1C21CC1O,125.17099999999996,2,1,0,3,2,23.240000000000002,-0.17629999999999985,5
OC1C2C=C3CC1C2O3,124.13899999999998,2,1,0,3,2,29.46,0.27969999999999995,4
CC12CC3OCC1C32O,126.15499999999999,2,1,0,3,2,29.46,0.15609999999999996,4
CC12CC(O)C3C1C32O,126.15499999999997,2,2,0,4,2,40.46,-0.252,5
OC12CCC1C1CC2O1,126.15499999999997,2,1,0,4,2,29.46,0.2986,4
CC1OC2CC1C1OC21,126.15499999999997,2,0,0,3,2,21.759999999999998,0.5609999999999999,5
O=C1OC2CC3CC1C32,124.13899999999998,2,0,0,3,2,26.3,0.5678,4
OC1CC2C3C(O)C1C23,126.15499999999996,2,2,0,3,2,40.46,-0.3961000000000001,6
C1C2CC1C1OCC2O1,126.15499999999997,2,0,0,4,2,18.46,0.7677,2
OC1=C2CC3C(O)C(C1)N23,139.15399999999997,3,2,0,3,3,43.7,-0.022900000000000087,3
CC12CC3OC1C2(C)O3,126.15499999999999,2,0,0,4,2,18.46,0.9101999999999999,4
CC12CC1OC1CC1N2,125.17099999999999,2,1,0,3,2,21.259999999999998,0.27809999999999985,4
CC12OCC3COC1C32,126.15499999999997,2,0,0,3,2,18.46,0.4200999999999999,4
OC1C2CC3CC1OC3C2,140.18199999999996,2,1,0,4,2,29.46,0.5446,5
OC12C3CCC1OC2C3,126.15499999999999,2,1,0,3,2,29.46,0.2986,4
CC1C2OC3CC3C12O,126.15499999999997,2,1,0,3,2,29.46,0.15449999999999992,5
CC12COC1C1(C)OC21,126.15499999999997,2,0,0,3,2,21.759999999999998,0.5626,4
CC12CC3C(O)C1C32O,126.15499999999997,2,2,0,3,2,40.46,-0.252,5
OC1CC2C3CCN2C13,125.17099999999999,2,1,0,5,2,23.47,-0.17630000000000012,5
OC12COC3CC1CC32,126.15499999999997,2,1,0,4,2,29.46,0.1560999999999999,4
OC1C2CC3OC3C1C2,126.15499999999997,2,1,0,4,2,32.76,0.15450000000000008,5
CC1(O)C2CC3(O)C2C13,126.15499999999999,2,2,0,3,2,40.46,-0.25199999999999995,5
CC1OC2C=C3CC1N32,123.15499999999999,2,0,0,3,2,12.47,0.703,3
CC12OC3C1CC(O)C32,126.15499999999997,2,1,0,5,2,29.46,0.15449999999999992,5
CC12C=CC3NC1(C)C32O,137.18200000000002,2,2,0,3,2,32.26,0.037699999999999956,4
CC12COC3CC(C1)C32O,140.182,2,1,0,3,2,29.46,0.5462,4
CC12CC3C(O)C1N3C2,125.17099999999999,2,1,0,5,2,23.47,-0.17630000000000012,5
CC12CC1CC2C1CO1,124.18299999999999,1,0,1,3,1,12.53,1.4313,4
CC1OC2C3CC1CC32,124.18299999999998,1,0,0,4,1,9.23,1.4297,3
CC1C2C(O)CC3C1N32,125.17099999999999,2,1,0,3,2,23.240000000000002,-0.17790000000000017,6
CC1(O)C2C3CNC3C21,125.17099999999999,2,2,0,3,2,32.26,-0.41500000000000004,5
CC12CC3OC1C21CN31,123.155,2,0,0,5,2,12.24,0.18930000000000002,5
CC1(O)OC2C3CC1C32,126.15499999999997,2,1,0,3,2,29.46,0.3596,5
CC1C2OC1C1(C)OC21,126.15499999999997,2,0,0,4,2,21.759999999999998,0.5609999999999999,5
CC1C2CC3CC(O3)C12,124.18299999999998,1,0,0,4,1,9.23,1.4297,5
CC1C2CC1C1NC21,109.17199999999998,1,1,0,4,1,21.94,0.6125999999999998,4
CC1C(O)C2C3CN2C13,125.17099999999999,2,1,0,5,2,23.47,-0.3204,6
OC1C2COC3CC1C32,126.15499999999997,2,1,0,3,2,29.46,0.01200000000000001,5
CC1(O)C2CC3C2CN31,125.171,2,1,0,5,2,23.47,0.028799999999999937,5
OCC1C2OC1C1CC12,126.15499999999999,2,1,1,4,2,29.46,0.01200000000000001,4
C1=CC2C3NC2C1CO3,123.15499999999997,2,1,0,4,2,21.259999999999998,0.11669999999999986,4
CC1(O)C2C3NC3(C)C21,125.17099999999999,2,2,0,3,2,42.17,-0.2725000000000002,5
CCC12CC3OC1C32O,126.15499999999996,2,1,1,3,2,29.46,0.29860000000000003,4
CC1OC2C=C3C(O)C312,124.13899999999997,2,1,0,3,2,29.46,0.07459999999999994,4
OC12C3CCC1C2OC3,126.15499999999999,2,1,0,3,2,29.46,0.1560999999999999,4
CC12CC3C(C=CO1)N32,123.15499999999999,2,0,0,3,2,12.24,0.703,4
OC12C=CC3(O)C(C1)C23,124.13899999999998,2,2,0,3,2,40.46,-0.3319000000000001,4
OC12CCC3OC3C1C2,126.15499999999997,2,1,0,3,2,32.76,0.2986,4
OC1CC2C3CC2(O)C13,126.15499999999997,2,2,0,5,2,40.46,-0.25199999999999995,5
OC1CC2(O)C3CC3C12,126.15499999999996,2,2,0,3,2,40.46,-0.252,5
CC12CC3OC1CC32O,126.15499999999999,2,1,0,5,2,29.46,0.29860000000000003,4
CC12CC1C1CN(C2)O1,125.171,2,0,0,4,2,12.47,0.642,4
O=C1CC2OC3CC3C12,124.13899999999998,2,0,0,3,2,26.3,0.3626999999999999,4
CC12CC3OC1C32CO,126.15499999999999,2,1,1,3,2,29.46,0.15609999999999996,4
OC12C3CN4C3CC1C42,123.15499999999997,2,1,0,5,2,23.47,-0.5664,6
OC1C2CC3CC1C3N2,125.17099999999998,2,2,0,3,2,32.26,-0.27250000000000013,5
CC12C3OC1C21CC31,108.13999999999999,1,0,0,4,1,9.23,0.7936,5
