SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)C1=NN=N1,107.07200000000002,4,0,1,1,4,54.15,-0.032,0
N=c1ncc(CO)no1,127.103,5,2,1,1,5,83.0,-0.9586300000000001,0
N#CC(=O)n1nc[nH]1,110.076,4,1,0,1,5,74.47,-0.6250200000000001,0
N=C1OC(=NO)CC1=O,128.087,5,2,0,1,5,82.74000000000001,-0.25923000000000007,0
N=C1N=NC=C1CN,110.12,3,2,1,1,4,74.59,0.27207000000000015,0
N#CC1(O)N=CN=C1N,124.10300000000001,5,2,0,1,5,94.75999999999999,-1.4023200000000002,1
N=C1OCC(=NO)CO1,130.103,5,2,0,1,5,74.9,-0.20183000000000012,0
N#CC1N=NC(C=O)O1,125.08699999999997,5,0,1,1,5,74.81,-0.15652,2
N#CCC1=NN=C1N,108.10400000000001,4,1,1,1,4,74.53,-0.37311999999999984,0
N#Cc1noc(C=O)n1,123.07099999999998,5,0,1,1,5,79.78,-0.24622,0
N#Cc1nc(CCN)no1,138.13000000000002,5,1,2,1,5,88.73,-0.55752,0
COc1n[nH]ncc1=O,127.10299999999998,4,1,1,1,5,67.87,-0.8265,0
N=C1OC(=O)C(=O)O1,115.04399999999998,5,1,0,1,5,76.45,-0.9788300000000001,0
N=c1occ(O)c(=O)o1,129.071,5,2,0,1,5,87.42999999999999,-0.58213,0
Nc1coc(=O)c(=O)o1,129.071,5,1,0,1,5,86.44,-0.8248,0
NC1=NC(=O)CC(=O)O1,128.087,4,1,0,1,5,81.75,-1.2254000000000003,0
NC(=O)n1ccc(=O)o1,128.087,4,1,0,1,5,78.23,-0.6318999999999999,0
N#CCn1ncnc1N,123.119,5,1,1,1,5,80.52,-0.61612,0
NC1=NC(C=O)OC1=O,128.087,5,1,1,1,5,81.75,-1.5746000000000002,1
N#CC1=NCOC1=NO,125.08699999999999,5,1,0,1,5,77.97,-0.27362000000000003,0
CN=C1N=NC(C=O)=N1,124.10299999999998,3,0,1,1,5,66.50999999999999,0.0354000000000001,0
N=CC1COC(=N)OCO1,144.13,5,2,1,1,5,75.39,-0.03975999999999996,1
N#CC1NC=NC(N)CO1,140.14600000000002,5,2,0,1,5,83.43,-1.2310199999999998,2
CN=C1N=COC1=N,111.10399999999998,3,1,0,1,4,57.800000000000004,0.05047000000000007,0
CC(=O)C1=NC(=N)O1,112.088,3,1,1,1,4,62.510000000000005,-0.06112999999999996,0
N=C1OC(C=O)OC1=O,129.071,5,1,1,1,5,76.44999999999999,-0.9379300000000002,1
N#Cc1cnn(CN)n1,123.11900000000001,5,1,1,1,5,80.52,-0.9340200000000001,0
N#CCC1=C(N)N=C1N,122.13100000000001,4,2,1,1,4,88.19,-0.5588200000000001,0
N=CC1=NC=NC1=N,108.104,3,2,1,1,4,72.42,0.09614,0
N=c1oc(N)noc1=O,129.07500000000002,6,2,0,1,6,106.11000000000001,-1.3105299999999998,0
N=C1COC(=N)N=CO1,127.103,4,2,0,1,5,78.52,-0.026460000000000095,0
N=C1NC(=N)C(=O)CO1,127.103,4,3,0,1,5,86.03000000000002,-0.91266,0
N#CCc1noc(N)n1,124.10300000000001,5,1,1,1,5,88.73,-0.28212000000000004,0
N=C1NCC(=O)C(N)O1,129.119,4,3,0,1,5,88.2,-1.60513,1
N=c1cnc(N)nn1O,127.10700000000001,6,3,0,1,6,100.81000000000002,-1.42293,0
