SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
O=C1CC23CN2CCC13,123.155,2,0,0,3,2,20.08,0.03349999999999986,3
CC1(C)C2CN3CC2C31,123.199,1,0,0,5,1,3.24,0.9564,4
C1=NC2CCC3CC3=C12,119.16699999999999,1,0,0,3,1,12.36,1.5497,2
C1OC2CC3C4C1C2C34,122.16699999999996,1,0,0,4,1,9.23,0.8971,6
CCC1COC2C3NC1C32,139.19799999999998,2,1,1,3,2,21.259999999999998,0.3816,5
C1=C2CCC3CC1N2C3,121.18299999999999,1,0,0,3,1,3.24,1.3682,2
CCC1OC2CC13CC23,124.18299999999998,1,0,1,4,1,9.23,1.5737999999999999,4
O=C1C2CC3CC(C2)C1O3,138.166,2,0,0,4,2,26.3,0.7527999999999999,4
CC1=C2C3OC1(C)C23,108.13999999999999,1,0,0,3,1,9.23,1.1038000000000001,3
CC12CCC3CC1N2C3,123.199,1,0,0,4,1,3.01,1.243,4
C1OC23CC1C1C2C13,108.13999999999997,1,0,0,5,1,9.23,0.6511,3
C1OC2C3C1C1CNC123,123.15499999999999,2,1,0,4,2,21.259999999999998,-0.39699999999999996,5
CC12CC(O)CC3=C1N32,123.155,2,1,0,3,2,23.240000000000002,0.4406,2
CC1C2CN1C13OC1C23,123.15499999999997,2,0,0,5,2,15.77,0.04519999999999991,6
OC12OC=C1C1CCC12,124.139,2,1,0,3,2,29.46,0.6289,3
CC1=CC2CC3NC2C13,121.18299999999999,1,1,0,4,1,12.03,0.9228000000000001,4
CCC12CCC3(C1)OC23,124.18299999999998,1,0,1,4,1,12.53,1.7179,3
OC1C2=CCC3CN2C31,123.155,2,1,0,4,2,23.47,-0.051100000000000145,3
CC12C=C3CC(C1)C2O3,122.16699999999999,1,0,0,3,1,9.23,1.699,3
OC12C=CN3CC1C32,109.12799999999999,2,1,0,3,2,23.47,-0.44120000000000004,3
CC12CCC3CN1C3C2,123.199,1,0,0,4,1,3.24,1.243,4
C1=CN2CCCC3C1C32,121.18299999999998,1,0,0,3,1,3.24,1.2241,3
C#CC12CC3C(C=N1)C32,117.15099999999997,1,0,0,3,1,12.36,0.7087,4
O=CC1C2CC3OCC312,124.139,2,0,1,3,2,26.3,0.22019999999999995,4
O=C1C2CCC3OC2C13,124.13899999999998,2,0,0,4,2,26.3,0.3627,4
CC12NCC=CC3N1C32C,136.19799999999998,2,1,0,3,2,15.04,0.3185,4
CC1C2N1C1CC2(C)O1,125.17099999999998,2,0,0,4,2,12.24,0.5778,5
C1NC2CC3CC1CC32,123.19899999999998,1,1,0,3,1,12.03,1.0043,4
CC1C(O)C2C3C2C13C,124.18299999999998,1,1,0,4,1,20.23,0.8791,4
CC1C2CC3C1OC3C2O,140.182,2,1,0,3,2,29.46,0.4004999999999999,6
OC1=CC2C3CC2C3O1,124.13899999999998,2,1,0,5,2,29.46,1.0505,2
CC12C3CC(C=O)C1N32,123.15499999999999,2,0,1,4,2,20.08,0.030299999999999994,5
CC12CC3C=C(O1)C2C3,122.16699999999999,1,0,0,3,1,9.23,1.699,3
O=CC1C2CC3CC312,108.14,1,0,1,3,1,17.07,0.8412999999999999,4
CC1CC2=C3CC(N1)C23,121.18299999999998,1,1,0,3,1,12.03,1.0669,3
O=C1C2CCC3CCC13N2,137.18200000000002,2,1,0,4,2,29.1,0.46990000000000004,3
C1OC2COC2CC2CC12,140.182,2,0,0,3,2,18.46,0.8102,4
CC1C(C)C23C1C2N3C,123.19899999999998,1,0,0,3,1,3.01,0.9548,6
O=C1C=C2C3NCCC123,121.139,2,1,0,3,2,29.1,-0.14260000000000028,2
CC1C2C1C13COC1C23,122.16699999999999,1,0,0,4,1,9.23,0.8971,6
C1OCC2C1CC1CC2N1,139.19799999999998,2,1,0,4,2,21.259999999999998,0.38320000000000004,4
CC12CC3CC(C1)C2(O)C3,138.20999999999998,1,1,0,3,1,20.23,1.5574,4
CC1C2CC34ON3C1C24,123.15499999999999,2,0,0,4,2,15.54,0.5979,6
OC1C2CC1C21CCN1,125.17099999999999,2,2,0,4,2,32.26,-0.2709000000000001,2
OC1C2CCC3C14CC234,122.16699999999999,1,1,0,4,1,20.23,0.7772,5
CC1OC23CCC2C1O3,126.15499999999997,2,0,0,4,2,18.46,0.9101999999999999,4
CC12C(O)C=CC13CC32,122.16699999999999,1,1,0,3,1,20.23,0.9433,4
CC12CCC3OC1(C)C32,124.18299999999998,1,0,0,3,1,9.23,1.5737999999999999,4
CC1OC2CC1C1COC21,140.182,2,0,0,3,2,18.46,0.8086,5
CC1C2OC3CC2C2OC312,138.16599999999997,2,0,0,5,2,21.759999999999998,0.5609999999999999,6
CC1C2CC3C1C(C=O)C23,136.194,1,0,1,5,1,17.07,1.3333,6
O=C1C2CC3C(O)CC123,124.13899999999998,2,1,0,3,2,37.3,-0.043800000000000006,4
CCN1C2=CC3(C)C2C13,121.18299999999996,1,0,1,3,1,3.24,1.2241,3
C1OCC23CCC2C2C1OC23,152.19299999999998,2,0,0,5,2,18.46,0.8102,5
CC1OCC2C3OC3C12,126.15499999999996,2,0,0,3,2,21.759999999999998,0.41849999999999987,5
CC1N2C3CCC34CC124,121.183,1,0,0,4,1,3.01,0.9954000000000001,5
C1=CC2CC3C2CN3C1,121.18299999999999,1,0,0,5,1,3.24,0.8765,4
CC1(O)C2NC13CCC2C3,139.19799999999998,2,2,0,4,2,32.26,0.2616999999999996,4
OC1CC2C3CC(CC23)O1,140.182,2,1,0,4,2,29.46,0.7497,3
CC12CC3C1N1CC32C1,121.183,1,0,0,8,1,3.24,0.7104,3
C1COC2CC3(C1)CC23,124.18299999999999,1,0,0,4,1,9.23,1.5754000000000001,3
C#CC12OC3C(C)C1N32,121.13899999999998,2,0,0,3,2,12.24,0.006099999999999994,5
COC1C2=CCC1CC2,124.18299999999999,1,0,1,2,1,9.23,1.7415,2
CC1N=C2C3CC2C13O,123.15499999999997,2,1,0,5,2,32.59,0.2103,3
C1=CC2OC3CCC2C1N3,137.182,2,1,0,4,2,21.259999999999998,0.6493,4
CC1C2C3CC13C2OO,126.15499999999999,2,1,1,4,2,29.46,1.1304,5
O=CC1=CC2C3COC123,122.12299999999998,2,0,1,3,2,26.3,0.14029999999999987,3
OC12CC3CC1N2C3,111.144,2,1,0,4,2,23.240000000000002,-0.21720000000000006,4
O=C1CC2C=C3C1CC32,120.15099999999998,1,0,0,5,1,17.07,1.1515,3
CC1C2CC13C(O)CC23,124.18299999999998,1,1,0,4,1,20.23,1.0231999999999999,5
OC12CCC3CC1C2N3,125.17099999999998,2,2,0,4,2,32.26,-0.12840000000000001,4
C1CN2C1C1CC3CC312,121.18299999999998,1,0,0,4,1,3.24,0.8529,4
CC12CC3CC(O1)N32,111.144,2,0,0,3,2,12.47,0.5368999999999999,3
C1CC23CC1C1(C2)OC31,122.16699999999997,1,0,0,5,1,12.53,1.3277999999999999,4
CC1CC2C3CC(O1)C2N3,139.19799999999998,2,1,0,4,2,21.259999999999998,0.5240999999999998,5
CC1C2C=CNC3C1C23,121.18299999999998,1,1,0,3,1,12.03,0.9838,5
C1C2CC3OC1C31OC21,124.13899999999997,2,0,0,4,2,21.759999999999998,0.31499999999999995,3
C1=CC2C3CC1C2CN3,121.18299999999999,1,1,0,3,1,12.03,0.7803,4
CC1C2CCC3(C)C1OC23,138.21,1,0,0,4,1,9.23,1.8197999999999999,5
COC12CC3CCC1N2C3,139.19799999999998,2,0,1,4,2,12.24,0.827,4
CC12CCC3C4CC41N32,121.18299999999999,1,0,0,4,1,3.01,0.9954000000000001,5
CC12C3OC4(CC4)C1C32,122.16699999999999,1,0,0,5,1,9.23,1.1837,4
C1COC2C3CCC(O1)C32,140.182,2,0,0,3,2,18.46,0.8102,4
