SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)CC1COC1,124.139,2,0,2,1,2,26.3,0.22519999999999996,0
CC(N)CC1OC1C,115.17599999999997,2,1,2,1,2,38.55,0.5109999999999999,3
CCC1(COC=O)CC=N1,141.16999999999996,3,0,4,1,3,38.66,0.7827000000000001,1
COCC(C)(C=O)OC,132.159,3,0,4,0,3,35.53,0.23680000000000012,1
COC(=O)CC1CCO1,130.143,3,0,2,1,3,35.53,0.3383999999999999,1
CCC1OCCC(=O)CO1,144.17,3,0,1,1,3,35.53,0.7285,1
CC1(C=N)CC1(N)C=O,126.159,3,2,2,1,3,66.94,-0.05762999999999996,2
O=CC1CCNC(=O)C1,127.143,2,1,1,1,3,46.17,-0.2885,1
CC(NCC=O)C1CO1,129.159,3,1,4,1,3,41.63,-0.4378000000000002,2
CCC1(C=O)CCO1,114.14399999999999,2,0,2,1,2,26.3,0.7544,1
O=CC(CO)C1COC1,130.14299999999997,3,1,3,1,3,46.53,-0.5598000000000001,1
COCCC(=O)CC1CO1,144.17,3,0,5,1,3,38.83,0.3809,1
CCN=CNC1CCC1=O,140.18599999999998,2,1,3,1,3,41.46,0.35569999999999996,1
COCC1=CCC(O)CO1,144.16999999999996,3,1,2,1,3,38.69,0.2979,1
COC(C)C1(C)CN1,115.176,2,1,2,1,2,31.17,0.38320000000000004,2
CC1(CCCO)COC1,130.18699999999998,2,1,3,1,2,29.46,0.7954000000000001,0
CC1(CCO)CN1C=O,129.159,2,1,3,1,3,40.31,-0.4005000000000001,1
O=CCC1OCCC1=O,128.127,3,0,2,1,3,43.370000000000005,-0.06659999999999999,1
CCC1OCNC1CC=O,143.18599999999998,3,1,3,1,3,38.33,0.2999000000000001,2
N=C1OCCCC1C=O,127.14299999999999,3,1,1,1,3,50.15,0.58917,1
C#CC(=N)OC1CC1,109.12799999999999,2,1,1,1,2,33.08,0.7758700000000001,0
CCOC(C)(O)CC#N,129.159,3,1,3,0,3,53.25,0.6450799999999999,1
CC(C)C1(C=O)COC1,128.17099999999996,2,0,2,1,2,26.3,0.8579,0
CC1(CCO)CC(=O)CO1,144.17,3,1,2,1,3,46.53,0.11690000000000006,1
O=CC(O)CCC1CO1,130.143,3,1,4,1,3,49.83,-0.27480000000000016,2
CN1CC(C=O)C1CO,129.159,3,1,2,1,3,40.540000000000006,-0.8922000000000003,2
COCC(N)CC1CN1,130.191,3,2,4,1,3,57.19,-0.6779999999999986,2
CC1=C(CCO)COC1,128.171,2,1,2,1,2,29.46,0.7155,0
C#CCC(N)CN1CC1,124.18700000000001,2,1,3,1,2,29.03,-0.34739999999999993,1
CCC1(C(C)C=O)OCO1,144.16999999999996,3,0,3,1,3,35.53,0.9319999999999999,1
CC(=O)CC1CCO1,114.14399999999999,2,0,2,1,2,26.3,0.7544,1
CC1(CO)CN1CC=O,129.15900000000002,3,1,3,1,3,40.31,-0.7481000000000002,2
CCCN1CC1(N)C=O,128.17499999999998,3,1,3,1,3,46.1,-0.43409999999999993,2
CCCC1(C=O)CN1,113.15999999999998,2,1,3,1,2,39.010000000000005,0.32739999999999997,1
CCC(O)C1(C=O)CO1,130.143,3,1,3,1,3,49.83,-0.27480000000000016,2
CC1(CCO)NC1C=O,129.159,3,2,3,1,3,59.24,-0.7018000000000002,2
CCC1(C=O)CC1O,114.14399999999998,2,1,2,1,2,37.3,0.3463,2
CCCC1COCC1=O,128.171,2,0,2,1,2,26.3,1.002,1
O=CC(O)C1CCOC1,130.143,3,1,2,1,3,46.53,-0.4173,2
O=CCCC1(CO)CO1,130.143,3,1,4,1,3,49.83,-0.2732000000000001,1
CCCC1OCC1OC=O,144.17,3,0,4,1,3,35.53,0.7268999999999999,2
CC(O)C(CO)C1CO1,132.159,3,2,3,1,3,52.99,-0.6255000000000002,3
CC(C)(O)CC1COC1,130.18699999999998,2,1,2,1,2,29.46,0.7938000000000001,0
CCN1C(C)C1COC=O,143.18599999999998,3,0,4,1,3,29.310000000000002,0.252,3
CCC1(C(C)O)COC1,130.18699999999998,2,1,2,1,2,29.46,0.7938000000000001,1
CCC(O)CC1COC1,130.18699999999998,2,1,3,1,2,29.46,0.7938000000000001,1
