SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
O=C1CCCCCNC1,127.18700000000001,2,1,0,1,2,29.1,0.7191000000000001,0
CCC(=O)C=NO,101.10499999999999,3,1,2,0,3,49.66,0.42550000000000004,0
CC(=N)OC(=[NH2+])[O-],102.093,3,2,0,0,4,81.73,-2.5244299999999997,0
O=C1C(O)CCC2NC12,127.143,3,2,0,2,3,59.239999999999995,-0.9494000000000002,3
C1=CCC23CC(C1)C2C3,120.19499999999998,0,0,0,4,0,0.0,2.3626000000000005,3
C#CC1C2CC1C2C#N,117.151,1,0,0,3,1,23.79,1.02528,2
O=c1ccncc2c1C2,119.12299999999999,2,0,0,2,2,29.96,0.3460000000000001,0
C1CC23CN(CC2O1)C3,125.17099999999998,2,0,0,4,2,12.47,0.09089999999999998,1
CNc1onc(C)c1C,126.15899999999999,3,1,1,1,3,38.06,1.3331399999999998,0
CC#Cc1cccc(C)n1,131.17799999999997,1,0,0,1,1,12.89,1.76142,0
CN=c1nc(O)cc[nH]1,125.13099999999997,3,2,0,1,4,61.27,-0.35420000000000024,0
NC1=CCN2CC2CO1,126.15899999999999,3,1,0,2,3,38.260000000000005,-0.4991000000000001,2
C#CC1CC12CNC2C,121.18299999999999,1,1,0,2,1,12.03,0.6175999999999999,3
CC1CC=C2NC2CC1,123.199,1,1,0,2,1,21.94,1.6621,2
COC(C)(C)CC=NO,131.175,3,1,3,0,3,41.82,1.2614999999999998,0
COC(C#N)C(=N)C=O,126.115,4,1,3,0,4,73.94,-0.25635,1
CCC1C2(C)OC12CO,128.171,2,1,2,2,2,32.76,0.5462,3
C1=CC2CC3CC(=C1)C23,118.17899999999997,0,0,0,3,0,0.0,2.1386000000000003,3
CC1=CC2NCC2C1=O,123.15499999999999,2,1,0,2,2,29.1,0.10339999999999999,2
C#CC1CNC(=N)CN1,123.15899999999999,2,3,0,1,3,47.910000000000004,-0.8417300000000003,1
CC1CN=CC(C)(O)O1,129.15899999999996,3,1,0,1,3,41.82000000000001,0.18439999999999995,2
O=C1CC=CC=C1CO,124.13899999999998,2,1,1,1,2,37.3,0.4341,0
C#CC#CC(C)C(C)N,121.18299999999999,1,1,1,0,1,26.02,0.6063000000000001,2
