SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)c1ccno1,121.09499999999998,3,0,1,1,3,43.1,0.4905,0
CC1(O)CCC(O)C1O,132.159,3,3,0,1,3,60.69,-0.7470000000000001,3
C#CC1C=CCOC1,108.14,1,0,0,1,1,9.23,0.8222,1
OC1C2CC3C(CC13)O2,126.15499999999997,2,1,0,3,2,29.46,0.15450000000000008,5
NC(=C=NO)N(O)C=O,131.09099999999998,5,3,2,0,6,99.15,-1.3070000000000002,0
CC1C2CN1COC2=O,127.14299999999999,3,0,0,3,3,29.54,-0.17900000000000005,3
CC1C=CCNC(=N)C1,124.18700000000001,1,2,0,1,2,35.88,1.14927,1
COC(=O)C(C=O)=NO,131.08700000000002,5,1,2,0,5,75.96000000000001,-0.8115000000000001,0
O=C1C2CCC1OC=N2,125.127,3,0,0,2,3,38.66,0.14500000000000002,2
CC1COC2(C)OC1O2,130.14299999999997,3,0,0,3,3,27.69,0.6993,1
C#CC12NC1C(C)C2O,123.15499999999996,2,2,0,2,2,42.17,-0.6592,4
C#CC12C=NC1(C)C2O,121.13899999999997,2,1,0,2,2,32.59,-0.17640000000000006,3
C1OC2C3CCC2C1O3,126.15499999999999,2,0,0,3,2,18.46,0.5626,4
CC1C2(O)COC12C=O,128.12699999999998,3,1,1,2,3,46.53,-0.6649,3
CN1C=C(CO)C1C#N,124.14299999999999,3,1,1,1,3,47.26,-0.2998199999999999,1
C#CC1NC2(CC2)CO1,123.155,2,1,0,2,2,21.259999999999998,0.09809999999999985,1
O=C1C=CCC2CC2O1,124.139,2,0,0,2,2,26.3,0.8779999999999999,2
CCN=C1NCC1C=O,126.15899999999998,2,1,2,1,3,41.46,-0.17690000000000006,1
N#CC1C=CCOC1O,125.12699999999998,3,1,0,1,3,53.25,0.030979999999999952,2
CC(=O)C1CCN1O,115.132,3,1,1,1,3,40.540000000000006,0.03889999999999999,1
CC1(C=O)CNC1,99.13300000000001,2,1,1,1,2,29.1,-0.2052,0
CC1=NCC1(C)C1CN1,124.18699999999998,2,1,1,2,2,34.3,0.4389999999999999,2
O=CNC1C(O)C1CO,131.131,3,3,3,1,4,69.56,-1.9160000000000006,3
CC1(C(=N)O)OC1C=O,129.11499999999998,3,2,2,1,4,73.68,-0.12193000000000015,2
C1=C2CC3C4NC4CC123,119.16699999999999,1,1,0,4,1,21.94,0.6768000000000001,4
CC12CN1CC(C=O)O2,127.14299999999997,3,0,1,2,3,29.31,-0.3841000000000001,3
O=C1CC2CNC2N1,112.132,2,2,0,2,3,41.13,-0.9482000000000004,2
CCC1OC1CC1CN1,127.18699999999998,2,1,3,2,2,34.47,0.5257000000000001,3
CC1=CC2C(C#N)CC12,119.167,1,0,0,2,1,23.79,1.72218,3
C#CCC1(C#N)CCC1,119.167,1,0,1,1,1,23.79,1.7035799999999999,0
CCC1(C)CC2(C)OC12,126.19899999999997,1,0,1,2,1,12.53,1.9639,3
C#CC1Cc2c[nH]nc21,118.139,1,1,0,2,2,28.68,0.6825999999999999,1
C#CC(C)C1C2CCN21,121.18299999999999,1,0,1,2,1,3.01,0.7121999999999999,4
CC1CC2=NC=C2CO1,123.15499999999999,2,0,0,2,2,21.59,1.1337,1
CC1CC=C2OC2C1,110.15599999999999,1,0,0,2,1,12.53,1.699,2
CC1NC12CC1CC12,109.17199999999998,1,1,0,3,1,21.94,0.7566999999999999,4
CCCC1C=CC1O,112.17199999999997,1,1,2,1,1,20.23,1.3334000000000001,2
CCC(O)C12CN3C1C32,125.17099999999999,2,1,2,4,2,23.240000000000002,-0.17630000000000012,3
N#CC12COC1CCO2,125.12699999999998,3,0,0,2,3,42.25,0.06787999999999994,2
N#CC12OC3CCC1C32,121.13899999999998,2,0,0,3,2,33.019999999999996,0.68738,4
CCCC1CC1(O)C#N,125.17099999999999,2,1,2,1,2,44.019999999999996,1.06108,2
C#CC1CC2C3NC1C23,119.16699999999997,1,1,0,3,1,12.03,0.22590000000000005,5
